,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Stephen Curry,0.8170000000000001,0.922,32.7,23.8,4.3,7.7,2.0,0.2,0.48700000000000004,0.44299999999999995,0.914,15.7
1,James Harden,0.6829999999999999,0.72,36.8,27.4,5.7,7.0,1.9,0.7,0.44,0.375,0.868,16.4
2,LeBron James,0.6459999999999999,0.425,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.71,10.4
3,Russell Westbrook,0.5489999999999999,0.271,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6
4,Anthony Davis,0.5489999999999999,0.156,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0
5,Chris Paul,0.6829999999999999,0.095,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.39799999999999996,0.9,16.1
6,LaMarcus Aldridge,0.622,0.005,35.4,23.4,10.2,1.7,0.7,1.0,0.466,0.35200000000000004,0.845,8.6
7,Marc Gasol,0.6709999999999999,0.002,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.17600000000000002,0.795,10.2
8,Blake Griffin,0.6829999999999999,0.002,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9.0
9,Tim Duncan,0.6709999999999999,0.001,28.9,13.9,9.1,3.0,0.8,2.0,0.512,0.28600000000000003,0.74,9.6
10,Kawhi Leonard,0.6709999999999999,0.001,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6
11,Klay Thompson,0.8170000000000001,0.001,31.9,21.7,3.2,2.9,1.1,0.8,0.46299999999999997,0.439,0.879,8.8
