,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Shaquille O'Neal,0.8170000000000001,0.998,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6
1,Kevin Garnett,0.61,0.337,40.0,22.9,11.8,5.0,1.5,1.6,0.49700000000000005,0.37,0.765,11.6
2,Alonzo Mourning,0.634,0.303,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9
3,Karl Malone,0.6709999999999999,0.258,35.9,25.5,9.5,3.7,1.0,0.9,0.509,0.25,0.797,15.3
4,Tim Duncan,0.6459999999999999,0.205,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.7609999999999999,13.0
5,Gary Payton,0.5489999999999999,0.149,41.8,24.2,6.5,8.9,1.9,0.2,0.44799999999999995,0.34,0.735,13.9
6,Allen Iverson,0.598,0.109,40.8,28.4,3.8,4.7,2.1,0.1,0.42100000000000004,0.341,0.713,6.9
7,Grant Hill,0.512,0.09300000000000001,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.34700000000000003,0.795,10.7
8,Chris Webber,0.537,0.079,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.7509999999999999,10.7
9,Vince Carter,0.5489999999999999,0.042,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.40299999999999997,0.7909999999999999,11.8
10,Jason Kidd,0.6459999999999999,0.021,39.0,14.3,7.2,10.1,2.0,0.4,0.409,0.337,0.8290000000000001,8.5
11,Kobe Bryant,0.8170000000000001,0.002,38.2,22.5,6.3,4.9,1.6,0.9,0.46799999999999997,0.319,0.821,10.6
12,Darrell Armstrong,0.5,0.001,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.9109999999999999,8.0
13,Michael Finley,0.488,0.001,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3
14,Reggie Miller,0.6829999999999999,0.001,36.9,18.1,3.0,2.3,1.0,0.3,0.44799999999999995,0.408,0.919,10.1
15,Jalen Rose,0.6829999999999999,0.001,37.2,18.2,4.8,4.0,1.1,0.6,0.47100000000000003,0.39299999999999996,0.8270000000000001,7.3
