,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Larry Bird,0.7559999999999999,0.858,38.3,24.2,10.1,6.6,1.8,0.9,0.49200000000000005,0.247,0.888,13.6
1,Bernard King,0.573,0.491,34.6,26.3,5.1,2.1,1.0,0.2,0.5720000000000001,0.0,0.779,12.1
2,Magic Johnson,0.659,0.401,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2
3,Kareem Abdul-Jabbar,0.659,0.201,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0.0,0.723,8.9
4,Isiah Thomas,0.598,0.151,36.7,21.3,4.0,11.1,2.5,0.4,0.462,0.33799999999999997,0.733,9.1
5,Julius Erving,0.634,0.129,34.8,22.4,6.9,4.0,1.8,1.8,0.512,0.33299999999999996,0.754,10.1
6,Adrian Dantley,0.5489999999999999,0.11599999999999999,37.8,30.6,5.7,3.9,0.8,0.1,0.5579999999999999,0.25,0.8590000000000001,14.6
7,Sidney Moncrief,0.61,0.092,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7
8,Jeff Ruland,0.42700000000000005,0.05,41.1,22.2,12.3,3.9,0.9,1.0,0.579,0.14300000000000002,0.733,9.3
9,Moses Malone,0.634,0.046,36.8,22.7,13.4,1.4,1.0,1.5,0.483,0.0,0.75,9.5
10,Mark Aguirre,0.524,0.037000000000000005,36.7,29.5,5.9,4.5,1.0,0.3,0.524,0.268,0.7490000000000001,9.0
11,Bill Laimbeer,0.598,0.012,34.9,17.3,12.2,1.8,0.6,1.0,0.53,0.0,0.866,10.8
12,Rickey Green,0.5489999999999999,0.011000000000000001,34.2,13.2,2.8,9.2,2.7,0.2,0.486,0.11800000000000001,0.821,7.9
13,World B. Free,0.341,0.001,31.7,22.3,2.9,3.0,1.3,0.1,0.445,0.319,0.784,5.3
14,Marques Johnson,0.61,0.001,36.7,20.7,6.5,4.3,1.6,0.6,0.502,0.154,0.7090000000000001,8.6
