,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Kareem Abdul-Jabbar,0.732,0.665,38.3,24.8,10.8,4.5,1.0,3.4,0.604,0.0,0.765,14.8
1,Julius Erving,0.72,0.14300000000000002,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5
2,George Gervin,0.5,0.086,37.6,33.1,5.2,2.6,1.4,1.0,0.528,0.314,0.852,10.6
3,Larry Bird,0.7440000000000001,0.068,36.0,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2
4,Tiny Archibald,0.7440000000000001,0.009000000000000001,35.8,14.1,2.5,8.4,1.3,0.1,0.48200000000000004,0.222,0.83,8.9
5,Dennis Johnson,0.6829999999999999,0.009000000000000001,36.3,19.0,5.1,4.1,1.8,1.0,0.42200000000000004,0.207,0.78,7.4
6,Dan Roundfield,0.61,0.009000000000000001,32.0,16.5,10.3,2.3,1.2,1.7,0.499,0.0,0.71,9.1
7,Gus Williams,0.6829999999999999,0.006999999999999999,36.2,22.1,3.4,4.8,2.4,0.5,0.48200000000000004,0.19399999999999998,0.7879999999999999,11.6
8,Moses Malone,0.5,0.005,38.3,25.8,14.5,1.8,1.0,1.3,0.502,0.0,0.7190000000000001,11.9
