,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Charles Barkley,0.7559999999999999,0.852,37.6,25.6,12.2,5.1,1.6,1.0,0.52,0.305,0.765,14.4
1,Hakeem Olajuwon,0.6709999999999999,0.66,39.5,26.1,13.0,3.5,1.8,4.2,0.529,0.0,0.779,15.8
2,Michael Jordan,0.695,0.5770000000000001,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.35200000000000004,0.8370000000000001,17.2
3,Patrick Ewing,0.732,0.366,37.1,24.2,12.1,1.9,0.9,2.0,0.503,0.14300000000000002,0.7190000000000001,10.6
4,Dominique Wilkins,0.524,0.055,37.3,29.9,6.8,3.2,1.0,0.4,0.46799999999999997,0.38,0.828,10.5
5,David Robinson,0.598,0.034,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.17600000000000002,0.732,13.2
6,Shaquille O'Neal,0.5,0.031,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.5920000000000001,10.4
7,Karl Malone,0.573,0.01,37.8,27.0,11.2,3.8,1.5,1.0,0.552,0.2,0.74,15.4
8,Mark Price,0.659,0.01,31.7,18.2,2.7,8.0,1.2,0.1,0.484,0.41600000000000004,0.948,9.8
9,Brad Daugherty,0.659,0.001,37.9,20.2,10.2,4.4,0.7,0.8,0.5710000000000001,0.5,0.795,12.7
10,Clyde Drexler,0.622,0.001,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.8390000000000001,6.0
11,Joe Dumars,0.488,0.001,40.2,23.5,1.9,4.0,1.0,0.1,0.466,0.375,0.8640000000000001,9.1
12,Shawn Kemp,0.6709999999999999,0.001,33.1,17.8,10.7,2.0,1.5,1.9,0.49200000000000005,0.0,0.7120000000000001,9.1
13,John Stockton,0.573,0.001,34.9,15.1,2.9,12.0,2.4,0.3,0.486,0.385,0.7979999999999999,10.6
