,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,LeBron James,0.805,0.9690000000000001,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3
1,Kobe Bryant,0.7929999999999999,0.5770000000000001,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.35100000000000003,0.856,12.7
2,Dwyane Wade,0.524,0.562,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7
3,Dwight Howard,0.72,0.271,35.7,20.6,13.8,1.4,1.0,2.9,0.5720000000000001,0.0,0.594,13.8
4,Chris Paul,0.598,0.159,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3
5,Paul Pierce,0.7559999999999999,0.017,37.5,20.5,5.6,3.6,1.0,0.3,0.457,0.391,0.83,10.3
6,Tony Parker,0.659,0.006999999999999999,34.1,22.0,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6
7,Brandon Roy,0.659,0.006,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.8240000000000001,13.5
8,Dirk Nowitzki,0.61,0.002,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9
9,Tim Duncan,0.659,0.002,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0.0,0.6920000000000001,10.1
10,Yao Ming,0.6459999999999999,0.001,33.6,19.7,9.9,1.8,0.4,1.9,0.5479999999999999,1.0,0.866,10.6
