,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Michael Jordan,0.61,0.831,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2
1,Larry Bird,0.695,0.659,39.0,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.9159999999999999,15.0
2,Magic Johnson,0.7559999999999999,0.635,36.6,19.6,6.2,11.9,1.6,0.2,0.49200000000000005,0.196,0.853,10.9
3,Charles Barkley,0.439,0.136,39.6,28.3,11.9,3.2,1.3,1.3,0.5870000000000001,0.28,0.7509999999999999,16.7
4,Clyde Drexler,0.6459999999999999,0.10800000000000001,37.8,27.0,6.6,5.8,2.5,0.6,0.506,0.212,0.8109999999999999,13.2
5,Dominique Wilkins,0.61,0.069,37.8,30.7,6.4,2.9,1.3,0.6,0.46399999999999997,0.295,0.826,9.8
6,Hakeem Olajuwon,0.561,0.05,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0.0,0.695,10.7
7,Karl Malone,0.573,0.045,39.0,27.7,12.0,2.4,1.4,0.6,0.52,0.0,0.7,10.1
8,Fat Lever,0.659,0.033,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.21100000000000002,0.785,10.4
9,John Stockton,0.573,0.019,34.7,14.7,2.9,13.8,3.0,0.2,0.574,0.358,0.84,14.1
10,Alex English,0.659,0.005,35.2,25.0,4.7,4.7,0.9,0.3,0.495,0.0,0.828,7.6
11,Isiah Thomas,0.659,0.004,36.1,19.5,3.4,8.4,1.7,0.2,0.46299999999999997,0.309,0.774,7.6
12,Mark Jackson,0.46299999999999997,0.003,39.6,13.6,4.8,10.6,2.5,0.1,0.43200000000000005,0.254,0.774,7.6
13,Michael Adams,0.659,0.001,33.9,13.9,2.7,6.1,2.0,0.2,0.449,0.36700000000000005,0.8340000000000001,7.5
14,Mark Aguirre,0.6459999999999999,0.001,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8
15,Adrian Dantley,0.659,0.001,31.1,20.0,3.3,2.5,0.6,0.1,0.514,0.0,0.86,9.4
16,Buck Williams,0.23199999999999998,0.001,37.7,18.3,11.9,1.6,1.0,0.6,0.56,1.0,0.6679999999999999,7.6
