,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Steve Nash,0.7559999999999999,0.8390000000000001,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9
1,Shaquille O'Neal,0.72,0.813,34.1,22.9,10.4,2.7,0.5,2.3,0.601,0.0,0.461,11.0
2,Dirk Nowitzki,0.7070000000000001,0.275,38.7,26.1,9.7,3.1,1.2,1.5,0.45899999999999996,0.39899999999999997,0.8690000000000001,15.6
3,Tim Duncan,0.72,0.258,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.33299999999999996,0.67,11.2
4,Allen Iverson,0.524,0.18899999999999997,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0
5,LeBron James,0.512,0.073,42.4,27.2,7.4,7.2,2.2,0.7,0.47200000000000003,0.35100000000000003,0.75,14.3
6,Tracy McGrady,0.622,0.035,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0
7,Dwyane Wade,0.72,0.034,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0
8,Amar'e Stoudemire,0.7559999999999999,0.032,36.1,26.0,8.9,1.6,1.0,1.6,0.5589999999999999,0.188,0.733,14.6
9,Ray Allen,0.634,0.032,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7
10,Kevin Garnett,0.537,0.012,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.8109999999999999,16.1
11,Gilbert Arenas,0.5489999999999999,0.003,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.8140000000000001,11.5
12,P.J. Brown,0.22,0.001,34.4,10.8,9.0,2.2,0.9,0.6,0.446,0.0,0.8640000000000001,6.9
13,Marcus Camby,0.598,0.001,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8
14,Shawn Marion,0.7559999999999999,0.001,38.8,19.4,11.3,1.9,2.0,1.5,0.47600000000000003,0.33399999999999996,0.833,12.5
