,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Larry Bird,0.768,0.978,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.42700000000000005,0.882,15.7
1,Magic Johnson,0.7559999999999999,0.33799999999999997,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.18899999999999997,0.843,12.7
2,Moses Malone,0.7070000000000001,0.27899999999999997,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0.0,0.815,11.9
3,Kareem Abdul-Jabbar,0.7559999999999999,0.264,33.3,22.0,7.9,3.2,0.8,2.1,0.599,0.0,0.732,11.2
4,Terry Cummings,0.72,0.177,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0.0,0.741,10.7
5,Michael Jordan,0.46299999999999997,0.172,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.17300000000000001,0.845,14.0
6,Bernard King,0.293,0.09,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1
7,Sidney Moncrief,0.72,0.083,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2
8,Isiah Thomas,0.561,0.081,38.1,21.2,4.5,13.9,2.3,0.3,0.45799999999999996,0.257,0.809,11.2
9,Ralph Sampson,0.585,0.033,37.6,22.1,10.4,2.7,1.0,2.0,0.502,0.0,0.6759999999999999,6.2
10,Calvin Natt,0.634,0.027999999999999997,34.1,23.3,7.8,3.1,1.0,0.4,0.546,0.0,0.7929999999999999,10.2
11,Alex English,0.634,0.015,36.1,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.8290000000000001,8.9
12,Hakeem Olajuwon,0.585,0.015,35.5,20.6,11.9,1.4,1.2,2.7,0.5379999999999999,0.0,0.613,10.2
13,Micheal Ray Richardson,0.512,0.013999999999999999,38.1,20.1,5.6,8.2,3.0,0.3,0.469,0.252,0.767,8.7
14,Andrew Toney,0.7070000000000001,0.006,32.0,17.8,2.5,5.2,0.9,0.3,0.49200000000000005,0.371,0.862,5.5
15,Mark Eaton,0.5,0.005,34.3,9.7,11.3,1.5,0.4,5.6,0.449,0.0,0.7120000000000001,5.4
16,Paul Pressey,0.72,0.004,36.0,16.1,5.4,6.8,1.6,0.7,0.517,0.35,0.758,9.6
17,Jack Sikma,0.37799999999999995,0.004,35.3,18.5,10.6,4.2,1.2,1.3,0.489,0.2,0.852,8.3
18,Dominique Wilkins,0.415,0.004,37.3,27.4,6.9,2.5,1.7,0.7,0.451,0.309,0.8059999999999999,7.6
19,World B. Free,0.439,0.003,31.7,22.5,3.0,4.5,1.1,0.2,0.45899999999999996,0.368,0.7490000000000001,6.0
20,Purvis Short,0.268,0.003,39.5,28.0,5.1,3.0,1.5,0.3,0.46,0.313,0.8170000000000001,6.2
21,Clyde Drexler,0.512,0.001,31.9,17.2,6.0,5.5,2.2,0.9,0.494,0.21600000000000003,0.759,7.5
22,Julius Erving,0.7070000000000001,0.001,32.5,20.0,5.3,3.0,1.7,1.4,0.494,0.214,0.765,7.6
