,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Larry Bird,0.8170000000000001,0.981,38.0,25.8,9.8,6.8,2.0,0.6,0.496,0.423,0.8959999999999999,15.8
1,Dominique Wilkins,0.61,0.522,39.1,30.3,7.9,2.6,1.8,0.6,0.46799999999999997,0.18600000000000003,0.818,10.8
2,Magic Johnson,0.7559999999999999,0.263,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1
3,Hakeem Olajuwon,0.622,0.247,36.3,23.5,11.5,2.0,2.0,3.4,0.526,0.0,0.645,9.5
4,Kareem Abdul-Jabbar,0.7559999999999999,0.17300000000000001,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0.0,0.765,10.8
5,Charles Barkley,0.659,0.171,36.9,20.0,12.8,3.9,2.2,1.6,0.5720000000000001,0.22699999999999998,0.685,10.8
6,Sidney Moncrief,0.695,0.07200000000000001,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.8590000000000001,11.7
7,Alex English,0.573,0.071,37.3,29.8,5.0,4.0,0.9,0.4,0.504,0.2,0.862,9.8
8,Isiah Thomas,0.561,0.036000000000000004,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8
9,Moses Malone,0.659,0.027000000000000003,36.6,23.8,11.8,1.2,0.9,1.0,0.45799999999999996,0.0,0.787,8.9
10,Terry Cummings,0.695,0.012,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0.0,0.6559999999999999,7.4
11,James Worthy,0.7559999999999999,0.009000000000000001,32.7,20.0,5.2,2.7,1.1,1.0,0.579,0.0,0.7709999999999999,9.5
12,Kevin McHale,0.8170000000000001,0.004,35.3,21.3,8.1,2.7,0.4,2.0,0.574,0.0,0.7759999999999999,11.0
13,Paul Pressey,0.695,0.004,33.8,14.3,5.0,7.8,2.1,0.9,0.488,0.182,0.8059999999999999,9.8
14,Alvin Robertson,0.42700000000000005,0.004,35.1,17.0,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6
15,Adrian Dantley,0.512,0.003,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.7909999999999999,12.8
16,Buck Williams,0.47600000000000003,0.003,37.4,15.9,12.0,1.6,0.9,1.2,0.523,0.0,0.6759999999999999,6.8
17,Dennis Johnson,0.8170000000000001,0.001,35.0,15.6,3.4,5.8,1.4,0.4,0.455,0.14300000000000002,0.818,6.7
