,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Giannis Antetokounmpo,0.732,0.932,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.7290000000000001,14.4
1,James Harden,0.6459999999999999,0.768,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2
2,Paul George,0.598,0.35200000000000004,36.9,28.0,8.2,4.1,2.2,0.4,0.43799999999999994,0.386,0.8390000000000001,11.9
3,Nikola Jokić,0.659,0.21,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8
4,Stephen Curry,0.695,0.17300000000000001,33.8,27.3,5.3,5.2,1.3,0.4,0.47200000000000003,0.43700000000000006,0.9159999999999999,9.7
5,Damian Lillard,0.6459999999999999,0.068,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1
6,Joel Embiid,0.622,0.049,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7
7,Kevin Durant,0.695,0.025,34.6,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5
8,Kawhi Leonard,0.7070000000000001,0.013000000000000001,34.0,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.8540000000000001,9.5
9,Russell Westbrook,0.598,0.008,36.0,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.6559999999999999,6.8
10,Rudy Gobert,0.61,0.001,31.8,15.9,12.9,2.0,0.8,2.3,0.669,0.0,0.636,14.4
11,LeBron James,0.451,0.001,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.33899999999999997,0.665,7.2
