,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,David Robinson,0.7559999999999999,0.858,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5
1,Shaquille O'Neal,0.695,0.5760000000000001,37.0,29.3,11.4,2.7,0.9,2.4,0.583,0.0,0.5329999999999999,14.0
2,Karl Malone,0.732,0.507,38.1,26.7,10.6,3.5,1.6,1.0,0.536,0.268,0.742,13.8
3,Patrick Ewing,0.6709999999999999,0.21899999999999997,37.0,23.9,11.0,2.7,0.9,2.0,0.503,0.28600000000000003,0.75,9.6
4,Hakeem Olajuwon,0.573,0.14,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.7559999999999999,10.7
5,Charles Barkley,0.72,0.091,35.0,23.0,11.1,4.1,1.6,0.7,0.486,0.33799999999999997,0.748,10.6
6,Scottie Pippen,0.573,0.079,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8
7,John Stockton,0.732,0.045,35.0,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9
8,Gary Payton,0.695,0.032,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7
9,Anfernee Hardaway,0.695,0.022000000000000002,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7
10,Michael Jordan,0.573,0.011000000000000001,39.3,26.9,6.9,5.3,1.8,0.8,0.41100000000000003,0.5,0.8009999999999999,2.3
11,Dennis Rodman,0.7559999999999999,0.009000000000000001,32.0,7.1,16.8,2.0,0.6,0.5,0.5710000000000001,0.0,0.6759999999999999,5.8
12,Jason Kidd,0.439,0.006999999999999999,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7
13,Cedric Ceballos,0.585,0.001,35.0,21.7,8.0,1.8,1.0,0.3,0.509,0.397,0.716,5.2
