,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Hakeem Olajuwon,0.7070000000000001,0.88,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.42100000000000004,0.716,14.3
1,David Robinson,0.6709999999999999,0.723,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.7490000000000001,20.0
2,Scottie Pippen,0.6709999999999999,0.386,38.3,22.0,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2
3,Shaquille O'Neal,0.61,0.28600000000000003,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0.0,0.5539999999999999,16.9
4,Patrick Ewing,0.695,0.252,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.28600000000000003,0.765,13.1
5,Gary Payton,0.768,0.02,35.1,16.5,3.3,6.0,2.3,0.2,0.504,0.278,0.595,9.3
6,Shawn Kemp,0.768,0.017,32.9,18.1,10.8,2.6,1.8,2.1,0.5379999999999999,0.25,0.741,11.7
7,Karl Malone,0.6459999999999999,0.017,40.6,25.2,11.5,4.0,1.5,1.5,0.49700000000000005,0.25,0.6940000000000001,13.4
8,Mark Price,0.573,0.006999999999999999,31.4,17.3,3.0,7.8,1.4,0.1,0.478,0.397,0.888,10.0
9,Charles Barkley,0.6829999999999999,0.005,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.7040000000000001,8.8
10,Mookie Blaylock,0.695,0.001,36.0,13.8,5.2,9.7,2.6,0.5,0.41100000000000003,0.33399999999999996,0.73,10.2
11,Kevin Johnson,0.6829999999999999,0.001,36.6,20.0,2.5,9.5,1.9,0.1,0.48700000000000004,0.222,0.8190000000000001,8.7
12,Dennis Rodman,0.6709999999999999,0.001,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.20800000000000002,0.52,8.7
13,Latrell Sprewell,0.61,0.001,43.1,21.0,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8.0
14,John Stockton,0.6459999999999999,0.001,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2
15,Kevin Willis,0.695,0.001,35.8,19.1,12.0,1.9,1.0,0.5,0.499,0.375,0.713,10.2
