,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Kobe Bryant,0.695,0.873,38.9,28.3,6.3,5.4,1.8,0.5,0.45899999999999996,0.361,0.84,13.8
1,Chris Paul,0.6829999999999999,0.71,37.6,21.1,4.0,11.6,2.7,0.1,0.488,0.369,0.851,17.8
2,Kevin Garnett,0.805,0.532,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0.0,0.8009999999999999,12.9
3,LeBron James,0.5489999999999999,0.348,40.4,30.0,7.9,7.2,1.8,1.1,0.484,0.315,0.7120000000000001,15.2
4,Dwight Howard,0.634,0.048,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0.0,0.59,12.9
5,Amar'e Stoudemire,0.6709999999999999,0.021,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6
6,Tim Duncan,0.6829999999999999,0.02,34.0,19.3,11.3,2.8,0.7,1.9,0.49700000000000005,0.0,0.73,11.1
7,Tracy McGrady,0.6709999999999999,0.015,37.0,21.6,5.1,5.9,1.0,0.5,0.419,0.292,0.684,5.8
8,Steve Nash,0.6709999999999999,0.013999999999999999,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.9059999999999999,10.5
9,Manu Ginóbili,0.6829999999999999,0.006999999999999999,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1
10,Dirk Nowitzki,0.622,0.004,36.0,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9
11,Deron Williams,0.659,0.003,37.3,18.8,3.0,10.5,1.1,0.3,0.507,0.395,0.8029999999999999,11.3
12,Carmelo Anthony,0.61,0.002,36.4,25.7,7.4,3.4,1.3,0.5,0.49200000000000005,0.354,0.7859999999999999,8.2
13,Carlos Boozer,0.659,0.001,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0.0,0.738,10.2
14,Antawn Jamison,0.524,0.001,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.33899999999999997,0.76,9.2
15,Paul Pierce,0.805,0.001,35.9,19.6,5.1,4.5,1.3,0.5,0.46399999999999997,0.392,0.843,12.4
16,Rasheed Wallace,0.72,0.001,30.5,12.7,6.6,1.8,1.2,1.7,0.43200000000000005,0.35600000000000004,0.767,7.6
