,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Magic Johnson,0.695,0.782,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.9109999999999999,16.1
1,Michael Jordan,0.573,0.7040000000000001,40.2,32.5,8.0,8.0,2.9,0.8,0.5379999999999999,0.276,0.85,19.8
2,Karl Malone,0.622,0.426,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.7659999999999999,15.2
3,Patrick Ewing,0.634,0.235,36.2,22.7,9.3,2.4,1.5,3.5,0.5670000000000001,0.0,0.746,10.9
4,Hakeem Olajuwon,0.5489999999999999,0.21100000000000002,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0.0,0.696,12.4
5,Charles Barkley,0.561,0.111,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.21600000000000003,0.753,16.1
6,John Stockton,0.622,0.033,38.7,17.1,3.0,13.6,3.2,0.2,0.5379999999999999,0.242,0.863,15.6
7,Kevin Johnson,0.6709999999999999,0.026000000000000002,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2
8,Tom Chambers,0.6709999999999999,0.024,37.1,25.7,8.4,2.9,1.1,0.7,0.47100000000000003,0.326,0.851,9.2
9,Mark Price,0.695,0.021,36.4,18.9,3.0,8.4,1.5,0.1,0.526,0.441,0.9009999999999999,11.3
10,Brad Daugherty,0.695,0.005,36.2,18.9,9.2,3.7,0.8,0.5,0.5379999999999999,0.33299999999999996,0.737,9.6
11,Robert Parish,0.512,0.005,35.5,18.6,12.5,2.2,1.0,1.5,0.57,0.0,0.7190000000000001,10.5
12,Mark Eaton,0.622,0.004,35.5,6.2,10.3,1.0,0.5,3.8,0.462,0.0,0.66,6.6
13,Moses Malone,0.634,0.004,35.5,20.2,11.8,1.4,1.0,1.2,0.491,0.0,0.789,10.7
14,Chris Mullin,0.524,0.004,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6
15,Larry Nance,0.695,0.004,34.6,17.2,8.0,2.2,0.8,2.8,0.539,0.0,0.799,10.3
16,Terry Cummings,0.598,0.001,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7
17,Joe Dumars,0.768,0.001,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7.0
18,Isiah Thomas,0.768,0.001,36.6,18.2,3.4,8.3,1.7,0.3,0.46399999999999997,0.273,0.818,7.0
