,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Moses Malone,0.7929999999999999,0.96,37.5,24.5,15.3,1.3,1.1,2.0,0.501,0.0,0.7609999999999999,15.1
1,Larry Bird,0.6829999999999999,0.485,37.7,23.6,11.0,5.8,1.9,0.9,0.504,0.28600000000000003,0.84,14.0
2,Magic Johnson,0.7070000000000001,0.406,36.8,16.8,8.6,10.5,2.2,0.6,0.5479999999999999,0.0,0.8,12.5
3,Sidney Moncrief,0.622,0.301,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2
4,Julius Erving,0.7929999999999999,0.149,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.28600000000000003,0.759,10.9
5,Alex English,0.5489999999999999,0.055999999999999994,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.16699999999999998,0.8290000000000001,10.3
6,Buck Williams,0.598,0.053,36.1,17.0,12.5,1.5,1.1,1.3,0.588,0.0,0.62,11.4
7,Artis Gilmore,0.6459999999999999,0.044000000000000004,34.1,18.0,12.0,1.5,0.5,2.3,0.626,0.0,0.74,11.0
8,George Gervin,0.6459999999999999,0.04,36.3,26.2,4.6,3.4,1.1,0.9,0.48700000000000004,0.364,0.853,9.4
9,Kareem Abdul-Jabbar,0.7070000000000001,0.02,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0.0,0.7490000000000001,10.9
10,Jack Sikma,0.585,0.017,34.2,18.2,11.4,3.1,1.2,0.9,0.46399999999999997,0.0,0.8370000000000001,9.8
11,Jeff Ruland,0.512,0.016,36.2,19.4,11.0,3.0,0.9,1.0,0.552,0.33299999999999996,0.6890000000000001,10.1
12,Terry Cummings,0.305,0.013000000000000001,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0.0,0.7090000000000001,8.7
13,Maurice Lucas,0.6459999999999999,0.012,33.6,16.5,10.4,2.8,0.7,0.6,0.474,0.33299999999999996,0.7809999999999999,7.1
14,Alton Lister,0.622,0.006999999999999999,23.6,8.4,7.1,1.4,0.6,2.2,0.529,0.0,0.537,3.8
15,Bernard King,0.537,0.005,32.5,21.9,4.8,2.9,1.3,0.2,0.528,0.0,0.722,7.5
16,Isiah Thomas,0.451,0.005,38.2,22.9,4.0,7.8,2.5,0.4,0.47200000000000003,0.28800000000000003,0.71,7.4
17,Larry Drew,0.5489999999999999,0.004,35.9,20.1,2.8,8.1,1.7,0.1,0.49200000000000005,0.125,0.82,7.2
18,Gus Williams,0.585,0.004,34.5,20.0,2.6,8.0,2.3,0.3,0.47700000000000004,0.047,0.7509999999999999,8.5
19,Dan Roundfield,0.524,0.003,36.5,19.0,11.4,2.9,0.8,1.5,0.47,0.185,0.7490000000000001,7.4
20,Marques Johnson,0.622,0.002,35.7,21.4,7.0,4.5,1.3,0.7,0.509,0.2,0.735,10.7
21,Norm Nixon,0.7070000000000001,0.001,34.3,15.1,2.6,7.2,1.3,0.1,0.475,0.0,0.7440000000000001,3.9
22,Kiki Vandeweghe,0.5489999999999999,0.001,35.5,26.7,5.3,2.5,0.8,0.5,0.547,0.294,0.875,11.0
