,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,LeBron James,0.7440000000000001,0.98,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.33299999999999996,0.767,18.5
1,Kevin Durant,0.61,0.495,39.5,30.1,7.6,2.8,1.4,1.0,0.47600000000000003,0.365,0.9,16.1
2,Kobe Bryant,0.695,0.48700000000000004,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.32899999999999996,0.8109999999999999,9.4
3,Dwight Howard,0.72,0.389,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.5920000000000001,13.2
4,Dwyane Wade,0.573,0.09699999999999999,36.3,26.6,4.8,6.5,1.8,1.1,0.47600000000000003,0.3,0.7609999999999999,13.0
5,Carmelo Anthony,0.6459999999999999,0.053,38.2,28.2,6.6,3.2,1.3,0.4,0.45799999999999996,0.316,0.83,7.9
6,Dirk Nowitzki,0.6709999999999999,0.045,37.5,25.0,7.7,2.7,0.9,1.0,0.48100000000000004,0.42100000000000004,0.915,12.3
7,Steve Nash,0.659,0.04,32.8,16.5,3.3,11.0,0.5,0.1,0.507,0.426,0.938,9.9
8,Deron Williams,0.6459999999999999,0.006,36.9,18.7,4.0,10.5,1.3,0.2,0.469,0.371,0.8009999999999999,10.3
9,Amar'e Stoudemire,0.659,0.004,34.6,23.1,8.9,1.0,0.6,1.0,0.557,0.16699999999999998,0.7709999999999999,10.7
10,Manu Ginóbili,0.61,0.002,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7
11,Chauncey Billups,0.6459999999999999,0.001,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5
12,Chris Bosh,0.488,0.001,36.1,24.0,10.8,2.4,0.6,1.0,0.518,0.364,0.797,9.6
13,Joe Johnson,0.6459999999999999,0.001,38.0,21.3,4.6,4.9,1.1,0.1,0.45799999999999996,0.369,0.818,8.4
