,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Karl Malone,0.74,0.701,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0.0,0.7879999999999999,9.6
1,Alonzo Mourning,0.66,0.655,38.1,20.1,11.0,1.6,0.7,3.9,0.511,0.0,0.652,7.9
2,Tim Duncan,0.74,0.627,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.14300000000000002,0.69,8.7
3,Allen Iverson,0.56,0.27,41.5,26.8,4.9,4.6,2.3,0.1,0.41200000000000003,0.29100000000000004,0.7509999999999999,7.2
4,Jason Kidd,0.54,0.135,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1
5,Shaquille O'Neal,0.62,0.075,34.8,26.3,10.7,2.3,0.7,1.7,0.5760000000000001,0.0,0.54,9.0
6,Chris Webber,0.54,0.043,40.9,20.0,13.0,4.1,1.4,2.1,0.486,0.11800000000000001,0.45399999999999996,3.6
7,Grant Hill,0.58,0.033,37.0,21.1,7.1,6.0,1.6,0.5,0.479,0.0,0.752,7.3
8,Gary Payton,0.5,0.03,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2
9,Kevin Garnett,0.5,0.008,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.28600000000000003,0.7040000000000001,5.4
10,Shawn Kemp,0.44,0.006,35.1,20.5,9.2,2.4,1.1,1.1,0.48200000000000004,0.5,0.789,6.3
11,David Robinson,0.74,0.005,31.7,15.8,10.0,2.1,1.4,2.4,0.509,0.0,0.6579999999999999,8.4
12,Hakeem Olajuwon,0.62,0.003,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.7170000000000001,6.5
13,Arvydas Sabonis,0.7,0.003,27.0,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.7709999999999999,5.8
14,Darrell Armstrong,0.66,0.002,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4
15,Vince Carter,0.46,0.001,35.2,18.3,5.7,3.0,1.1,1.5,0.45,0.28800000000000003,0.7609999999999999,5.0
16,Anfernee Hardaway,0.66,0.001,38.9,15.8,5.7,5.3,2.2,0.5,0.42,0.28600000000000003,0.706,5.0
17,Mark Jackson,0.66,0.001,28.2,7.6,3.8,7.9,0.9,0.1,0.419,0.311,0.823,3.8
18,Glenn Robinson,0.56,0.001,33.6,18.4,5.9,2.1,1.0,0.9,0.45899999999999996,0.392,0.87,4.0
19,Steve Smith,0.62,0.001,36.5,18.7,4.2,3.3,1.0,0.3,0.402,0.33799999999999997,0.8490000000000001,4.4
20,Rasheed Wallace,0.7,0.001,28.9,12.8,4.9,1.2,1.0,1.1,0.508,0.419,0.732,5.0
