,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Michael Jordan,0.7559999999999999,0.934,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.23800000000000002,0.784,15.8
1,Karl Malone,0.7559999999999999,0.726,37.4,27.0,10.3,3.9,1.2,0.9,0.53,0.33299999999999996,0.7609999999999999,16.4
2,Gary Payton,0.7440000000000001,0.37200000000000005,38.4,19.2,4.6,8.3,2.3,0.2,0.45299999999999996,0.33799999999999997,0.7440000000000001,12.5
3,Shaquille O'Neal,0.7440000000000001,0.268,36.3,28.3,11.4,2.4,0.7,2.4,0.584,0.0,0.527,10.2
4,Tim Duncan,0.6829999999999999,0.128,39.1,21.1,11.9,2.7,0.7,2.5,0.5489999999999999,0.0,0.662,12.8
5,Tim Hardaway,0.6709999999999999,0.061,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.35100000000000003,0.7809999999999999,11.7
6,David Robinson,0.6829999999999999,0.031,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8
7,Vin Baker,0.7440000000000001,0.021,35.9,19.2,8.0,1.9,1.1,1.0,0.542,0.14300000000000002,0.591,10.4
8,Grant Hill,0.451,0.02,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.14300000000000002,0.74,10.2
9,Scottie Pippen,0.7559999999999999,0.012,37.5,19.1,5.2,5.8,1.8,1.0,0.447,0.318,0.777,6.6
10,Glen Rice,0.622,0.006,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.8490000000000001,9.3
11,Antoine Walker,0.439,0.005,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,4.7
12,Jason Kidd,0.6829999999999999,0.004,38.0,11.6,6.2,9.1,2.0,0.3,0.41600000000000004,0.313,0.799,8.0
13,John Stockton,0.7559999999999999,0.004,29.0,12.0,2.6,8.5,1.4,0.2,0.528,0.429,0.8270000000000001,8.0
14,Mitch Richmond,0.32899999999999996,0.003,36.7,23.2,3.3,4.0,1.3,0.2,0.445,0.389,0.8640000000000001,7.9
15,Reggie Miller,0.7070000000000001,0.002,34.5,19.5,2.9,2.1,1.0,0.1,0.47700000000000004,0.429,0.868,12.0
16,Rik Smits,0.7070000000000001,0.002,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0.0,0.7829999999999999,6.1
17,Michael Finley,0.244,0.001,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.35700000000000004,0.784,7.5
18,Rod Strickland,0.512,0.001,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,8.1
