,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Tim Duncan,0.732,0.8079999999999999,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5
1,Kevin Garnett,0.622,0.732,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.7509999999999999,15.6
2,Kobe Bryant,0.61,0.41700000000000004,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.38299999999999995,0.843,14.9
3,Tracy McGrady,0.512,0.359,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.7929999999999999,16.1
4,Shaquille O'Neal,0.61,0.106,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0.0,0.622,13.2
5,Allen Iverson,0.585,0.07,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.27699999999999997,0.774,9.2
6,Dirk Nowitzki,0.732,0.036000000000000004,39.0,25.1,9.9,3.0,1.4,1.0,0.46299999999999997,0.379,0.8809999999999999,16.1
7,Ben Wallace,0.61,0.027999999999999997,39.4,6.9,15.4,1.6,1.4,3.2,0.48100000000000004,0.16699999999999998,0.45,10.6
8,Jason Kidd,0.598,0.026000000000000002,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3
9,Chris Webber,0.72,0.016,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.23800000000000002,0.607,6.9
10,Jamal Mashburn,0.573,0.001,40.5,21.6,6.1,5.6,1.0,0.2,0.42200000000000004,0.389,0.848,9.0
11,Steve Nash,0.732,0.001,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6
12,Paul Pierce,0.537,0.001,39.2,25.9,7.3,4.4,1.8,0.8,0.41600000000000004,0.302,0.802,10.1
