,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Steve Nash,0.659,0.7390000000000001,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.9209999999999999,12.4
1,LeBron James,0.61,0.55,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3
2,Dirk Nowitzki,0.732,0.435,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.9009999999999999,17.7
3,Kobe Bryant,0.5489999999999999,0.386,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.34700000000000003,0.85,15.3
4,Chauncey Billups,0.78,0.344,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5
5,Dwyane Wade,0.634,0.07,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.7829999999999999,14.4
6,Elton Brand,0.573,0.04,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.33299999999999996,0.775,14.8
7,Tim Duncan,0.768,0.026000000000000002,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8
8,Tony Parker,0.768,0.006999999999999999,33.9,18.9,3.3,5.8,1.0,0.1,0.5479999999999999,0.306,0.7070000000000001,9.6
9,Allen Iverson,0.46299999999999997,0.001,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.32299999999999995,0.8140000000000001,10.6
10,Shawn Marion,0.659,0.001,40.3,21.8,11.8,1.8,2.0,1.7,0.525,0.331,0.809,14.6
