,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,James Harden,0.7929999999999999,0.955,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.36700000000000005,0.858,15.4
1,LeBron James,0.61,0.731,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.36700000000000005,0.731,14.0
2,Anthony Davis,0.585,0.441,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7
3,Damian Lillard,0.598,0.205,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.9159999999999999,12.6
4,Russell Westbrook,0.585,0.075,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1
5,Giannis Antetokounmpo,0.537,0.07400000000000001,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9
6,Kevin Durant,0.7070000000000001,0.065,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4
7,DeMar DeRozan,0.72,0.032,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6
8,LaMarcus Aldridge,0.573,0.006,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.8370000000000001,10.9
9,Jimmy Butler,0.573,0.005,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.8540000000000001,8.9
10,Stephen Curry,0.7070000000000001,0.005,32.0,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.9209999999999999,9.1
11,Joel Embiid,0.634,0.004,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2
12,Victor Oladipo,0.585,0.002,34.0,23.1,5.2,4.3,2.4,0.8,0.47700000000000004,0.371,0.799,8.2
