,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Russell Westbrook,0.573,0.879,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.34299999999999997,0.845,13.1
1,James Harden,0.6709999999999999,0.746,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.34700000000000003,0.847,15.0
2,Kawhi Leonard,0.7440000000000001,0.495,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6
3,LeBron James,0.622,0.33,37.8,26.4,8.6,8.7,1.2,0.6,0.5479999999999999,0.363,0.674,12.9
4,Isaiah Thomas,0.6459999999999999,0.08,33.8,28.9,2.7,5.9,0.9,0.2,0.46299999999999997,0.379,0.909,12.5
5,Stephen Curry,0.8170000000000001,0.051,33.4,25.3,4.5,6.6,1.8,0.2,0.46799999999999997,0.41100000000000003,0.898,12.6
6,Giannis Antetokounmpo,0.512,0.006999999999999999,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4
7,John Wall,0.598,0.006999999999999999,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.8009999999999999,8.8
8,Anthony Davis,0.415,0.002,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0
9,Kevin Durant,0.8170000000000001,0.002,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0
10,DeMar DeRozan,0.622,0.001,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.8420000000000001,9.0
