,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Magic Johnson,0.7929999999999999,0.94,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9
1,Michael Jordan,0.488,0.5760000000000001,40.0,37.1,5.2,4.6,2.9,1.5,0.48200000000000004,0.182,0.857,16.9
2,Larry Bird,0.72,0.34700000000000003,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2
3,Kevin McHale,0.72,0.326,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0.0,0.836,14.8
4,Dominique Wilkins,0.695,0.16399999999999998,37.6,29.0,6.3,3.3,1.5,0.6,0.46299999999999997,0.292,0.818,12.2
5,Charles Barkley,0.5489999999999999,0.145,40.3,23.0,14.6,4.9,1.8,1.5,0.594,0.20199999999999999,0.7609999999999999,12.0
6,Hakeem Olajuwon,0.512,0.036000000000000004,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.7020000000000001,10.9
7,Isiah Thomas,0.634,0.022000000000000002,37.2,20.6,3.9,10.0,1.9,0.2,0.46299999999999997,0.19399999999999998,0.768,7.6
8,Fat Lever,0.451,0.013999999999999999,37.2,18.9,8.9,8.0,2.5,0.4,0.469,0.239,0.782,9.7
9,Moses Malone,0.512,0.012,34.1,24.1,11.3,1.6,0.8,1.3,0.45399999999999996,0.0,0.8240000000000001,9.4
10,Steve Johnson,0.598,0.005,29.7,16.8,7.2,2.0,0.6,1.0,0.556,0.0,0.698,4.4
11,Karl Malone,0.537,0.004,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0.0,0.598,6.9
12,Robert Parish,0.72,0.004,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0.0,0.735,9.2
13,Alex English,0.451,0.003,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.8440000000000001,8.1
14,Mark Aguirre,0.6709999999999999,0.001,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9
15,Rolando Blackman,0.6709999999999999,0.001,34.5,21.0,3.5,3.3,0.8,0.3,0.495,0.33299999999999996,0.884,8.0
16,Joe Barry Carroll,0.512,0.001,33.6,21.2,7.3,2.6,1.1,1.5,0.47200000000000003,0.0,0.787,4.6
