,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Derrick Rose,0.7559999999999999,0.977,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1
1,Dwight Howard,0.634,0.531,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4
2,LeBron James,0.7070000000000001,0.431,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6
3,Kobe Bryant,0.695,0.354,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.32299999999999995,0.828,10.3
4,Kevin Durant,0.6709999999999999,0.157,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0
5,Dirk Nowitzki,0.695,0.09300000000000001,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.39299999999999996,0.892,11.1
6,Dwyane Wade,0.7070000000000001,0.02,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8
7,Manu Ginóbili,0.7440000000000001,0.017,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9
8,Amar'e Stoudemire,0.512,0.006999999999999999,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0
9,Blake Griffin,0.39,0.004,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8
10,Rajon Rondo,0.6829999999999999,0.004,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6
11,Tony Parker,0.7440000000000001,0.002,32.4,17.5,3.1,6.6,1.2,0.0,0.519,0.35700000000000004,0.769,8.2
12,Chris Paul,0.561,0.002,36.0,15.9,4.1,9.8,2.4,0.1,0.46299999999999997,0.38799999999999996,0.878,13.9
