,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Julius Erving,0.7559999999999999,0.6579999999999999,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8
1,Larry Bird,0.7559999999999999,0.613,39.5,21.2,10.9,5.5,2.0,0.8,0.478,0.27,0.863,10.8
2,Kareem Abdul-Jabbar,0.659,0.414,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0.0,0.7659999999999999,14.3
3,Moses Malone,0.488,0.261,40.6,27.8,14.8,1.8,1.0,1.9,0.522,0.33299999999999996,0.757,13.7
4,George Gervin,0.634,0.12,33.7,27.1,5.1,3.2,1.1,0.7,0.49200000000000005,0.257,0.826,10.5
5,Marques Johnson,0.732,0.106,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0.0,0.706,11.2
6,Robert Parish,0.7559999999999999,0.077,28.0,18.9,9.5,1.8,1.0,2.6,0.545,0.0,0.71,10.9
7,Dennis Johnson,0.695,0.07200000000000001,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.21600000000000003,0.82,8.4
8,Tiny Archibald,0.7559999999999999,0.046,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0.0,0.816,6.9
9,Jamaal Wilkes,0.659,0.027999999999999997,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5
10,Magic Johnson,0.659,0.026000000000000002,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.17600000000000002,0.76,6.4
11,Adrian Dantley,0.341,0.022000000000000002,42.7,30.7,6.4,4.0,1.4,0.2,0.5589999999999999,0.28600000000000003,0.8059999999999999,13.6
12,Phil Ford,0.488,0.022000000000000002,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2
13,Bernard King,0.47600000000000003,0.017,36.0,21.9,6.8,3.5,0.9,0.4,0.588,0.33299999999999996,0.703,9.1
14,Kelvin Ransey,0.5489999999999999,0.016,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.09699999999999999,0.7490000000000001,2.8
15,Jack Sikma,0.415,0.016,35.6,18.7,10.4,3.0,1.0,1.1,0.45399999999999996,0.0,0.823,8.0
16,Otis Birdsong,0.488,0.01,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.28600000000000003,0.6970000000000001,8.2
17,Micheal Ray Richardson,0.61,0.01,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.6629999999999999,6.9
18,Truck Robinson,0.695,0.009000000000000001,37.7,18.8,9.6,2.5,0.8,0.5,0.505,0.0,0.629,7.6
19,Reggie Theus,0.5489999999999999,0.009000000000000001,34.4,18.9,3.5,5.2,1.5,0.2,0.495,0.2,0.809,9.2
20,Norm Nixon,0.659,0.006999999999999999,37.5,17.1,2.9,8.8,1.8,0.1,0.47600000000000003,0.16699999999999998,0.778,5.5
21,Artis Gilmore,0.5489999999999999,0.006,34.5,17.9,10.1,2.1,0.6,2.4,0.67,0.0,0.705,12.3
22,Bob Lanier,0.732,0.006,26.2,14.3,6.2,2.7,1.1,1.2,0.525,1.0,0.7509999999999999,6.8
23,Michael Cooper,0.659,0.004,32.4,9.4,4.1,4.1,1.6,1.0,0.491,0.21100000000000002,0.785,5.0
24,Walter Davis,0.695,0.004,28.0,18.0,2.6,3.9,1.2,0.2,0.539,0.41200000000000003,0.836,7.1
25,George Johnson,0.634,0.004,23.6,5.0,7.3,1.1,0.6,3.4,0.473,0.0,0.7340000000000001,4.5
26,Bobby Jones,0.7559999999999999,0.004,25.3,13.5,5.4,2.8,1.2,0.9,0.539,0.0,0.813,9.2
27,Mike Mitchell,0.341,0.004,39.0,24.5,6.1,1.7,0.8,0.6,0.47600000000000003,0.444,0.784,6.0
28,James Silas,0.634,0.004,27.4,17.7,3.1,3.8,0.7,0.2,0.47700000000000004,0.0,0.85,7.0
29,Quinn Buckner,0.732,0.001,29.1,13.3,3.6,4.7,2.4,0.0,0.493,0.16699999999999998,0.7340000000000001,5.4
30,Caldwell Jones,0.7559999999999999,0.001,32.6,7.2,10.0,1.5,0.7,1.7,0.449,0.0,0.767,5.5
