,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Michael Jordan,0.8170000000000001,0.938,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.8320000000000001,17.7
1,Clyde Drexler,0.695,0.584,36.2,25.0,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8
2,David Robinson,0.573,0.35100000000000003,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9
3,Karl Malone,0.6709999999999999,0.273,37.7,28.0,11.2,3.0,1.3,0.6,0.526,0.17600000000000002,0.778,15.1
4,Patrick Ewing,0.622,0.10400000000000001,38.4,24.0,11.2,1.9,1.1,3.0,0.522,0.16699999999999998,0.738,13.0
5,Chris Mullin,0.6709999999999999,0.084,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8
6,Mark Price,0.695,0.069,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.9470000000000001,9.1
7,Tim Hardaway,0.6709999999999999,0.067,41.1,23.4,3.8,10.0,2.0,0.2,0.461,0.33799999999999997,0.7659999999999999,9.2
8,Scottie Pippen,0.8170000000000001,0.033,38.6,21.0,7.7,7.0,1.9,1.1,0.506,0.2,0.76,12.7
9,Dennis Rodman,0.585,0.027000000000000003,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6
10,Brad Daugherty,0.695,0.025,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0.0,0.777,11.7
11,Charles Barkley,0.42700000000000005,0.019,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.23399999999999999,0.695,12.3
12,John Stockton,0.6709999999999999,0.019,36.6,15.8,3.3,13.7,3.0,0.3,0.48200000000000004,0.40700000000000003,0.8420000000000001,13.4
13,Larry Bird,0.622,0.003,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.9259999999999999,5.5
14,Kevin Johnson,0.6459999999999999,0.002,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10.0
15,Danny Manning,0.5489999999999999,0.001,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0.0,0.725,9.8
16,Detlef Schrempf,0.488,0.001,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8
