,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Tim Duncan,0.7070000000000001,0.757,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8
1,Jason Kidd,0.634,0.7120000000000001,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.8140000000000001,8.9
2,Shaquille O'Neal,0.7070000000000001,0.552,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,13.2
3,Tracy McGrady,0.537,0.31,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,11.5
4,Kobe Bryant,0.7070000000000001,0.078,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.8290000000000001,12.7
5,Gary Payton,0.5489999999999999,0.043,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6
6,Chris Webber,0.7440000000000001,0.028999999999999998,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.7490000000000001,8.6
7,Dirk Nowitzki,0.695,0.025,38.0,23.4,9.9,2.4,1.1,1.0,0.47700000000000004,0.397,0.853,13.4
8,Allen Iverson,0.524,0.023,43.7,31.4,4.5,5.5,2.8,0.2,0.39799999999999996,0.29100000000000004,0.812,6.9
9,Ben Wallace,0.61,0.019,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6
10,Paul Pierce,0.598,0.017,40.3,26.1,6.9,3.2,1.9,1.0,0.442,0.40399999999999997,0.809,12.9
11,Kevin Garnett,0.61,0.013000000000000001,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.8009999999999999,12.8
12,Michael Jordan,0.451,0.013000000000000001,34.9,22.9,5.7,5.2,1.4,0.4,0.41600000000000004,0.18899999999999997,0.79,3.3
13,Steve Nash,0.695,0.004,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9
14,Jerry Stackhouse,0.61,0.002,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8
15,Mike Bibby,0.7440000000000001,0.001,33.2,13.7,2.8,5.0,1.1,0.2,0.45299999999999996,0.37,0.8029999999999999,6.3
16,Elton Brand,0.47600000000000003,0.001,37.8,18.2,11.6,2.4,1.0,2.0,0.527,0.0,0.742,13.6
17,Peja Stojaković,0.7440000000000001,0.001,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.41600000000000004,0.8759999999999999,9.9
