,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,LeBron James,0.805,0.998,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3
1,Kevin Durant,0.732,0.632,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.41600000000000004,0.905,18.9
2,Carmelo Anthony,0.659,0.39299999999999996,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5
3,Chris Paul,0.6829999999999999,0.239,33.4,16.9,3.7,9.7,2.4,0.1,0.48100000000000004,0.32799999999999996,0.885,13.9
4,Kobe Bryant,0.5489999999999999,0.152,38.6,27.3,5.6,6.0,1.4,0.3,0.46299999999999997,0.324,0.8390000000000001,10.9
5,Tony Parker,0.7070000000000001,0.071,32.9,20.3,3.0,7.6,0.8,0.1,0.522,0.353,0.845,9.3
6,Tim Duncan,0.7070000000000001,0.054000000000000006,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.28600000000000003,0.8170000000000001,8.3
7,James Harden,0.5489999999999999,0.027000000000000003,38.3,25.9,4.9,5.8,1.8,0.5,0.43799999999999994,0.368,0.851,12.8
8,Russell Westbrook,0.732,0.006999999999999999,34.9,23.2,5.2,7.4,1.8,0.3,0.43799999999999994,0.32299999999999995,0.8,11.6
9,Dwyane Wade,0.805,0.004,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6
10,Stephen Curry,0.573,0.002,38.2,22.9,4.0,6.9,1.6,0.2,0.451,0.45299999999999996,0.9,11.2
11,Kevin Garnett,0.506,0.001,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.7859999999999999,5.6
12,Marc Gasol,0.6829999999999999,0.001,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5
13,Ty Lawson,0.695,0.001,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.7559999999999999,7.4
14,David Lee,0.573,0.001,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0.0,0.797,9.1
15,Joakim Noah,0.5489999999999999,0.001,36.8,11.9,11.1,4.0,1.2,2.1,0.48100000000000004,0.0,0.7509999999999999,7.3
