,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Magic Johnson,0.768,0.691,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5
1,Charles Barkley,0.6459999999999999,0.667,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.7490000000000001,17.3
2,Michael Jordan,0.6709999999999999,0.613,39.0,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19.0
3,Karl Malone,0.6709999999999999,0.233,38.1,31.0,11.1,2.8,1.5,0.6,0.562,0.37200000000000005,0.762,15.9
4,Patrick Ewing,0.5489999999999999,0.17600000000000002,38.6,28.6,10.9,2.2,1.0,4.0,0.551,0.25,0.775,13.5
5,David Robinson,0.6829999999999999,0.111,36.6,24.3,12.0,2.0,1.7,3.9,0.531,0.0,0.732,15.1
6,Hakeem Olajuwon,0.5,0.07,38.1,24.3,14.0,2.9,2.1,4.6,0.501,0.16699999999999998,0.713,11.2
7,Tom Chambers,0.659,0.013000000000000001,37.6,27.2,7.0,2.3,1.1,0.6,0.501,0.27899999999999997,0.861,11.2
8,John Stockton,0.6709999999999999,0.01,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.41600000000000004,0.8190000000000001,14.4
9,Larry Bird,0.634,0.005,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.33299999999999996,0.93,9.5
10,Buck Williams,0.72,0.005,34.2,13.6,9.8,1.4,0.8,0.5,0.5479999999999999,0.0,0.706,8.7
11,Clyde Drexler,0.72,0.003,36.8,23.3,6.9,5.9,2.0,0.7,0.494,0.28300000000000003,0.774,11.6
12,Joe Dumars,0.72,0.001,34.4,17.8,2.8,4.9,0.8,0.0,0.48,0.4,0.9,8.7
13,Isiah Thomas,0.72,0.001,37.0,18.4,3.8,9.4,1.7,0.2,0.43799999999999994,0.309,0.775,6.7
