,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Kevin Durant,0.72,0.986,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2
1,LeBron James,0.659,0.713,37.7,27.1,6.9,6.3,1.6,0.3,0.5670000000000001,0.379,0.75,15.9
2,Blake Griffin,0.695,0.34700000000000003,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2
3,Joakim Noah,0.585,0.258,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2
4,James Harden,0.659,0.068,38.0,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8
5,Stephen Curry,0.622,0.053,36.5,24.0,4.3,8.5,1.6,0.2,0.47100000000000003,0.424,0.885,13.4
6,Chris Paul,0.695,0.036000000000000004,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2
7,Al Jefferson,0.524,0.027000000000000003,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8
8,Paul George,0.6829999999999999,0.026000000000000002,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.8640000000000001,10.8
9,LaMarcus Aldridge,0.659,0.021,36.2,23.2,11.1,2.6,0.9,1.0,0.45799999999999996,0.2,0.8220000000000001,7.5
10,Kevin Love,0.488,0.02,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3
11,Tim Duncan,0.7559999999999999,0.017,29.2,15.1,9.7,3.0,0.6,1.9,0.49,0.0,0.731,7.4
12,Tony Parker,0.7559999999999999,0.017,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.8109999999999999,5.9
13,Dirk Nowitzki,0.598,0.006,32.9,21.7,6.2,2.7,0.9,0.6,0.49700000000000005,0.39799999999999996,0.899,10.9
14,Carmelo Anthony,0.451,0.003,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7
15,Goran Dragić,0.585,0.002,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3
16,Mike Conley,0.61,0.001,33.5,17.2,2.9,6.0,1.5,0.2,0.45,0.361,0.815,8.2
