,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Allen Iverson,0.6829999999999999,0.904,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.8140000000000001,11.8
1,Tim Duncan,0.7070000000000001,0.569,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,13.2
2,Shaquille O'Neal,0.6829999999999999,0.466,39.5,28.7,12.7,3.7,0.6,2.8,0.5720000000000001,0.0,0.513,14.9
3,Chris Webber,0.6709999999999999,0.42,40.5,27.1,11.1,4.2,1.3,1.7,0.48100000000000004,0.071,0.703,11.0
4,Kevin Garnett,0.573,0.122,39.5,22.0,11.4,5.0,1.4,1.8,0.47700000000000004,0.28800000000000003,0.764,11.8
5,Tracy McGrady,0.524,0.052000000000000005,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2
6,Karl Malone,0.6459999999999999,0.017,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.7929999999999999,13.1
7,Jason Kidd,0.622,0.015,39.8,16.9,6.4,9.8,2.2,0.3,0.41100000000000003,0.297,0.8140000000000001,9.6
8,Kobe Bryant,0.6829999999999999,0.009000000000000001,40.9,28.5,5.9,5.0,1.7,0.6,0.46399999999999997,0.305,0.853,11.3
9,David Robinson,0.7070000000000001,0.006,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,12.1
10,Ray Allen,0.634,0.006,38.2,22.0,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7
11,Vince Carter,0.573,0.006,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9
12,Paul Pierce,0.439,0.004,38.0,25.3,6.4,3.1,1.7,0.8,0.45399999999999996,0.38299999999999995,0.745,10.4
13,Jerry Stackhouse,0.39,0.002,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.35100000000000003,0.8220000000000001,9.2
14,Michael Finley,0.6459999999999999,0.001,42.0,21.5,5.2,4.4,1.4,0.4,0.45799999999999996,0.34600000000000003,0.775,8.5
15,Anthony Mason,0.61,0.001,40.7,16.1,9.6,3.1,1.0,0.3,0.48200000000000004,0.0,0.7809999999999999,11.6
16,John Stockton,0.6459999999999999,0.001,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.8170000000000001,10.8
