,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Mahmoud Abdul-Rauf,0.42700000000000005,35.6,19.2,2.4,6.8,1.1,0.1,0.434,0.392,0.93,5.5
1,Michael Adams,0.5,15.7,5.4,1.0,3.2,1.0,0.2,0.446,0.341,0.743,0.8
2,Rafael Addison,0.5,9.7,3.2,1.7,0.6,0.2,0.2,0.467,0.0,0.773,0.2
3,Cory Alexander,0.72,9.3,2.8,0.7,2.0,0.5,0.0,0.406,0.39399999999999996,0.64,0.2
4,Jerome Allen,0.317,8.8,2.6,0.6,1.2,0.5,0.1,0.34299999999999997,0.303,0.722,-0.3
5,Derrick Alston,0.22,22.1,6.2,4.1,0.8,0.8,0.7,0.512,0.33299999999999996,0.491,1.7
6,John Amaechi,0.573,12.8,2.8,1.9,0.3,0.2,0.4,0.414,0.0,0.5760000000000001,-0.6
7,Ashraf Amaya,0.183,20.4,6.3,5.6,0.6,0.4,0.2,0.48,0.0,0.6509999999999999,1.8
8,Greg Anderson,0.72,7.5,1.2,2.2,0.2,0.2,0.5,0.511,0.0,0.24,0.4
9,Kenny Anderson,0.366,33.6,15.3,3.3,8.0,1.7,0.3,0.376,0.364,0.8029999999999999,7.7
10,Kenny Anderson,0.5,34.3,15.2,2.7,8.6,1.6,0.2,0.45399999999999996,0.35700000000000004,0.727,3.7
11,Nick Anderson,0.732,35.3,14.7,5.4,3.6,1.6,0.6,0.442,0.391,0.6920000000000001,4.0
12,Willie Anderson,0.256,31.9,12.4,3.8,3.0,1.2,1.0,0.44,0.305,0.856,7.4
13,Willie Anderson,0.573,18.4,5.0,2.2,1.8,0.6,0.3,0.42100000000000004,0.2,0.613,1.4
14,Greg Anthony,0.183,30.4,14.0,2.5,6.9,1.7,0.2,0.415,0.332,0.7709999999999999,0.9
15,B.J. Armstrong,0.439,27.6,12.3,2.2,4.9,0.8,0.1,0.46799999999999997,0.473,0.8390000000000001,0.5
16,Darrell Armstrong,0.732,3.2,3.2,0.2,0.4,0.5,0.0,0.5,0.5,1.0,4.8
17,Vincent Askew,0.78,25.0,8.4,3.2,2.4,0.7,0.2,0.493,0.337,0.764,7.0
18,Keith Askins,0.512,25.3,6.1,4.3,1.6,0.6,0.8,0.402,0.418,0.789,0.1
19,Stacey Augmon,0.561,29.8,12.7,3.9,1.8,1.4,0.4,0.491,0.25,0.792,4.3
20,Anthony Avent,0.183,22.3,5.8,5.0,1.0,0.4,0.6,0.384,0.0,0.74,4.4
21,Vin Baker,0.305,40.5,21.1,9.9,2.6,0.8,1.1,0.489,0.20800000000000002,0.67,5.6
22,Steve Bardo,0.561,13.7,2.4,2.4,1.7,0.4,0.1,0.391,0.0,0.667,-1.2
23,Charles Barkley*,0.5,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,6.2
24,Dana Barros,0.402,29.1,13.0,2.4,3.8,0.7,0.0,0.47,0.408,0.884,0.2
25,Brent Barry,0.354,24.0,10.1,2.1,2.9,1.2,0.3,0.474,0.41600000000000004,0.81,10.5
26,Jon Barry,0.439,10.5,3.8,0.9,1.3,0.5,0.2,0.49200000000000005,0.473,0.838,5.6
27,Corey Beck,0.5,6.6,1.0,1.4,1.0,0.2,0.0,0.25,0.0,0.5,4.9
28,Benoit Benjamin,0.183,31.1,13.9,7.9,1.2,0.8,1.2,0.441,0.0,0.696,1.8
29,Benoit Benjamin,0.305,21.3,7.8,6.2,0.7,0.5,1.0,0.52,0.0,0.732,-0.1
30,Elmer Bennett,0.22,8.3,1.4,0.6,1.0,0.1,0.1,0.235,0.0,0.75,2.3
31,Mario Bennett,0.5,12.1,4.5,2.6,0.3,0.6,0.6,0.45299999999999996,0.0,0.643,0.1
32,David Benoit,0.6709999999999999,24.2,8.2,4.7,1.0,0.5,0.6,0.439,0.33299999999999996,0.777,2.2
33,Travis Best,0.634,9.7,3.7,0.7,1.6,0.3,0.1,0.423,0.32,0.833,-0.3
34,Mookie Blaylock,0.561,35.7,15.7,4.1,5.9,2.6,0.2,0.405,0.371,0.747,0.5
35,Corie Blount,0.6459999999999999,12.5,3.2,3.0,0.7,0.4,0.6,0.473,0.0,0.568,3.9
36,Muggsy Bogues,0.5,12.8,2.3,1.2,3.2,0.3,0.0,0.375,0.0,1.0,0.7
37,Anthony Bonner,0.732,10.8,3.3,4.8,1.0,0.8,0.0,0.33299999999999996,0.0,0.429,9.0
38,Melvin Booker,0.585,11.9,4.0,0.8,1.9,0.5,0.1,0.32,0.158,0.818,0.9
39,Anthony Bowie,0.732,14.6,4.2,1.7,1.4,0.5,0.1,0.47100000000000003,0.387,0.87,0.0
40,Donnie Boyce,0.561,5.1,3.0,1.3,0.4,0.4,0.1,0.391,0.5,0.5,0.0
41,Shawn Bradley,0.22,27.8,8.8,8.8,0.7,0.7,3.2,0.44299999999999995,0.0,0.76,-0.2
42,Shawn Bradley,0.366,29.8,12.5,7.9,0.8,0.6,3.7,0.44299999999999995,0.25,0.679,1.6
43,Marques Bragg,0.317,7.0,2.5,1.5,0.2,0.3,0.2,0.45,0.0,0.561,0.0
44,Terrell Brandon,0.573,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,3.0
45,Tim Breaux,0.585,10.6,3.0,1.1,0.4,0.2,0.1,0.366,0.326,0.622,0.0
46,Frank Brickowski,0.78,15.7,5.4,2.4,0.9,0.4,0.1,0.488,0.405,0.7090000000000001,3.0
47,Scott Brooks,0.317,10.4,5.1,0.6,1.4,0.6,0.0,0.457,0.40299999999999997,0.855,0.1
48,Chucky Brown,0.585,24.6,8.6,5.4,1.1,0.6,0.5,0.541,0.125,0.693,12.7
49,Dee Brown,0.402,24.5,10.7,2.1,2.2,1.2,0.2,0.39899999999999997,0.309,0.8540000000000001,-0.2
50,Mike Brown,0.22,18.0,2.9,4.1,0.3,0.3,0.2,0.563,0.0,0.47100000000000003,1.6
51,P.J. Brown,0.366,36.3,11.3,6.9,2.0,1.0,1.2,0.444,0.2,0.77,1.6
52,Randy Brown,0.878,9.9,2.7,1.0,1.1,0.8,0.2,0.406,0.091,0.609,4.2
53,Mark Bryant,0.585,22.4,8.6,4.9,0.7,0.4,0.3,0.5429999999999999,0.0,0.718,2.4
54,Jud Buechler,0.878,10.0,3.8,1.5,0.8,0.5,0.1,0.46299999999999997,0.444,0.636,0.1
55,Matt Bullard,0.561,10.0,3.8,1.3,0.4,0.4,0.2,0.40700000000000003,0.361,0.8,5.3
56,Scott Burrell,0.5,34.7,13.2,4.9,2.4,1.4,0.7,0.447,0.37799999999999995,0.75,1.5
57,Junior Burrough,0.402,8.1,3.1,1.8,0.2,0.2,0.2,0.376,0.0,0.6559999999999999,3.6
58,Mitchell Butler,0.47600000000000003,14.1,3.9,1.9,1.1,0.7,0.2,0.384,0.217,0.578,2.3
59,Jason Caffey,0.878,9.6,3.2,1.9,0.4,0.2,0.1,0.43799999999999994,0.0,0.588,0.6
60,Michael Cage,0.573,32.1,6.0,8.9,0.6,1.1,1.0,0.556,0.0,0.5429999999999999,1.1
61,Adrian Caldwell,0.634,6.4,2.2,2.2,0.1,0.2,0.1,0.5539999999999999,0.0,0.5,-0.2
62,Elden Campbell,0.6459999999999999,32.9,13.9,7.6,2.2,1.1,2.6,0.503,0.0,0.713,-0.2
63,Antoine Carr,0.6709999999999999,19.2,7.3,2.5,0.9,0.4,0.8,0.457,0.0,0.792,0.4
64,Chris Carr,0.5,9.8,4.0,1.7,0.7,0.2,0.1,0.415,0.262,0.8170000000000001,8.1
65,Sam Cassell,0.585,27.6,14.5,3.1,4.6,0.9,0.1,0.439,0.348,0.825,0.3
66,Duane Causwell,0.47600000000000003,14.3,3.4,3.4,0.3,0.4,1.1,0.41700000000000004,0.0,0.7290000000000001,8.2
67,Cedric Ceballos,0.6459999999999999,33.7,21.2,6.9,1.5,1.2,0.3,0.53,0.27699999999999997,0.804,2.1
68,Rex Chapman,0.512,33.3,14.0,2.6,3.0,0.8,0.2,0.426,0.371,0.735,0.3
69,Calbert Cheaney,0.47600000000000003,33.2,15.1,3.4,2.2,1.0,0.3,0.47100000000000003,0.33799999999999997,0.706,3.9
70,Pete Chilcutt,0.585,8.8,2.7,2.1,0.4,0.3,0.2,0.408,0.37799999999999995,0.654,1.3
71,Randolph Childress,0.537,8.9,3.0,0.7,1.1,0.3,0.0,0.316,0.27699999999999997,0.815,9.8
72,Chris Childs,0.366,30.9,12.8,3.1,7.0,1.4,0.1,0.41600000000000004,0.36700000000000005,0.852,4.2
73,Doug Christie,0.573,9.5,4.0,1.5,1.1,0.5,0.1,0.479,0.526,0.591,3.2
74,Doug Christie,0.256,25.6,10.1,3.8,2.9,1.8,0.5,0.436,0.414,0.789,1.4
75,Robert Churchwell,0.439,5.0,1.5,0.8,0.3,0.0,0.0,0.375,0.0,0.0,0.0
76,Charles Claxton,0.402,2.3,0.7,0.7,0.0,0.0,0.3,0.5,0.0,0.0,5.8
77,John Coker,0.5,2.2,1.6,0.4,0.2,0.0,0.2,0.8,0.0,0.0,1.4
78,Derrick Coleman,0.22,26.7,11.2,6.5,2.8,0.4,0.9,0.40700000000000003,0.33299999999999996,0.625,0.5
79,Bimbo Coles,0.512,36.2,12.8,3.9,5.7,1.2,0.2,0.413,0.366,0.8029999999999999,0.9
80,Bimbo Coles,0.439,25.3,7.9,2.0,4.3,1.1,0.2,0.39899999999999997,0.305,0.763,-0.1
81,Marty Conlon,0.305,12.9,5.3,2.4,0.9,0.3,0.1,0.46799999999999997,0.16699999999999998,0.764,0.0
82,Anthony Cook,0.537,5.5,1.4,1.1,0.2,0.0,0.1,0.43799999999999994,0.0,0.25,0.1
83,Tyrone Corbin,0.47600000000000003,19.0,6.4,3.7,1.2,1.0,0.3,0.452,0.083,0.8370000000000001,-0.2
84,Tyrone Corbin,0.512,16.1,4.6,3.0,1.0,0.7,0.1,0.413,0.33299999999999996,0.821,5.0
85,Joe Courtney,0.573,8.7,1.7,2.1,0.4,0.2,0.3,0.429,0.0,0.444,4.3
86,John Crotty,0.573,10.6,3.0,0.9,1.8,0.4,0.1,0.447,0.29600000000000004,0.861,0.7
87,Terry Cummings,0.305,21.9,8.0,5.5,1.1,0.7,0.4,0.462,0.14300000000000002,0.65,0.6
88,Dell Curry,0.5,28.9,14.5,3.2,2.1,1.3,0.3,0.45299999999999996,0.40399999999999997,0.8540000000000001,0.1
89,Michael Curry,0.47600000000000003,6.8,2.0,1.0,0.2,0.2,0.0,0.3,0.0,1.0,2.5
90,Michael Curry,0.561,18.3,4.9,2.0,0.6,0.6,0.0,0.46399999999999997,0.4,0.7070000000000001,1.8
91,Rastko Cvetković,0.42700000000000005,3.4,0.7,0.8,0.2,0.1,0.1,0.313,0.0,0.0,0.7
92,Sasha Danilović,0.512,28.5,13.4,2.4,2.5,0.8,0.2,0.451,0.436,0.764,0.0
93,Yinka Dare,0.366,10.8,2.8,3.1,0.0,0.1,0.7,0.43799999999999994,0.0,0.613,1.3
94,Antonio Davis,0.634,25.5,8.8,6.1,0.5,0.4,0.8,0.49,0.5,0.713,3.0
95,Dale Davis,0.634,33.6,10.3,9.1,1.0,0.7,1.4,0.5579999999999999,0.0,0.467,5.1
96,Hubert Davis,0.573,24.0,10.7,1.7,1.4,0.4,0.1,0.486,0.47600000000000003,0.868,1.6
97,Mark Davis,0.317,10.0,3.3,2.2,0.8,0.7,0.4,0.369,0.308,0.638,0.0
98,Terry Davis,0.317,17.9,4.9,4.2,0.8,0.4,0.1,0.509,0.0,0.574,1.6
99,Todd Day,0.305,21.4,9.1,2.8,0.6,0.5,0.4,0.31,0.2,0.9229999999999999,-0.1
100,Todd Day,0.402,23.0,12.0,2.8,1.4,1.1,0.7,0.371,0.34299999999999997,0.7659999999999999,1.5
101,Andrew DeClercq,0.439,9.2,2.7,1.8,0.4,0.3,0.2,0.48,0.0,0.579,-0.5
102,Terry Dehere,0.354,24.6,12.4,1.7,4.3,0.7,0.2,0.45899999999999996,0.44,0.755,6.0
103,Vinny Del Negro,0.72,33.7,14.5,3.3,3.8,1.0,0.1,0.49700000000000005,0.38,0.8320000000000001,6.2
104,Bison Dele,0.354,33.2,15.8,7.6,1.9,1.1,0.8,0.5429999999999999,0.16699999999999998,0.7340000000000001,5.6
105,Dell Demps,0.72,5.4,3.3,0.6,0.5,0.2,0.1,0.5760000000000001,0.5,0.8240000000000001,-0.1
106,Vlade Divac*,0.6459999999999999,31.3,12.9,8.6,3.3,1.0,1.7,0.513,0.16699999999999998,0.6409999999999999,0.5
107,Sherman Douglas,0.402,23.4,9.8,2.3,3.9,0.2,0.0,0.429,0.14300000000000002,0.625,1.9
108,Sherman Douglas,0.305,30.4,11.5,2.3,5.8,0.9,0.1,0.514,0.379,0.754,-0.1
109,Clyde Drexler*,0.585,38.4,19.3,7.2,5.8,2.0,0.5,0.433,0.332,0.784,2.0
110,Kevin Duckworth,0.305,7.3,1.1,0.9,0.3,0.3,0.0,0.214,0.0,0.5,0.4
111,Chris Dudley,0.537,24.1,5.1,9.0,0.5,0.5,1.3,0.45299999999999996,0.0,0.51,5.0
112,Joe Dumars*,0.561,32.7,11.8,2.1,4.0,0.6,0.0,0.426,0.406,0.8220000000000001,8.3
113,Richard Dumas,0.22,18.9,6.2,2.5,1.1,1.1,0.2,0.46799999999999997,0.222,0.7,4.0
114,Tony Dumas,0.317,19.2,11.6,1.7,1.5,0.6,0.2,0.418,0.35700000000000004,0.599,0.2
115,Ledell Eackles,0.47600000000000003,22.5,8.6,2.7,1.6,0.5,0.1,0.42700000000000005,0.42200000000000004,0.831,6.1
116,Acie Earl,0.256,15.6,7.5,3.1,0.6,0.4,0.9,0.424,0.0,0.7190000000000001,3.3
117,Tyus Edney,0.47600000000000003,31.0,10.8,2.5,6.1,1.1,0.0,0.41200000000000003,0.368,0.782,-0.3
118,Blue Edwards,0.183,33.8,12.7,4.2,2.6,1.4,0.6,0.419,0.34299999999999997,0.755,3.5
119,Doug Edwards,0.183,16.7,3.0,2.8,1.3,0.3,0.6,0.35200000000000004,0.0,0.763,6.7
120,James Edwards,0.878,9.8,3.5,1.4,0.4,0.0,0.3,0.373,0.0,0.615,-0.1
121,Kevin Edwards,0.366,29.6,11.6,2.2,2.1,1.6,0.2,0.364,0.40399999999999997,0.81,4.7
122,Craig Ehlo,0.561,22.3,8.5,3.2,1.7,1.1,0.1,0.428,0.371,0.7859999999999999,6.0
123,Howard Eisley,0.6709999999999999,14.8,4.4,1.2,2.2,0.4,0.0,0.43,0.226,0.8440000000000001,0.3
124,Mario Elie,0.585,30.8,11.1,3.4,3.1,1.0,0.2,0.504,0.32299999999999995,0.852,1.6
125,Sean Elliott,0.72,37.7,20.0,5.1,2.7,0.9,0.4,0.466,0.41100000000000003,0.7709999999999999,2.4
126,Dale Ellis,0.42700000000000005,32.4,14.9,3.9,1.7,0.7,0.1,0.479,0.41200000000000003,0.76,0.3
127,LaPhonso Ellis,0.42700000000000005,28.2,10.5,7.2,1.6,0.8,0.7,0.43799999999999994,0.182,0.601,3.3
128,LeRon Ellis,0.512,6.2,1.1,0.7,0.3,0.2,0.3,0.22699999999999998,0.0,0.5,1.9
129,Pervis Ellison,0.402,20.7,5.3,6.5,0.9,0.6,1.4,0.49200000000000005,0.0,0.6409999999999999,0.1
130,Vincenzo Esposito,0.256,9.4,3.9,0.5,0.8,0.2,0.0,0.36,0.23199999999999998,0.795,-0.2
131,Patrick Ewing*,0.573,36.6,22.5,10.6,2.1,0.9,2.4,0.466,0.14300000000000002,0.7609999999999999,0.5
132,Duane Ferrell,0.634,10.9,3.7,1.7,0.6,0.4,0.1,0.48200000000000004,0.0,0.737,3.3
133,Danny Ferry,0.573,32.7,13.3,3.8,2.3,0.7,0.5,0.45899999999999996,0.39399999999999996,0.769,1.0
134,Michael Finley,0.5,39.2,15.0,4.6,3.5,1.0,0.4,0.47600000000000003,0.32799999999999996,0.7490000000000001,3.8
135,Matt Fish,0.573,8.5,6.0,1.5,0.5,0.0,0.5,0.6,0.0,0.0,7.7
136,Matt Fish,0.42700000000000005,7.3,2.5,1.1,0.4,0.2,0.4,0.5770000000000001,0.0,0.556,6.2
137,Vern Fleming,0.366,22.7,7.7,2.2,3.3,0.5,0.1,0.433,0.107,0.7509999999999999,1.0
138,Sherell Ford,0.78,5.0,3.2,0.9,0.2,0.3,0.0,0.375,0.16,0.765,-0.1
139,Greg Foster,0.6709999999999999,11.0,3.8,2.4,0.3,0.1,0.3,0.439,0.125,0.847,2.6
140,Rick Fox,0.402,32.0,14.0,5.6,4.6,1.4,0.5,0.45399999999999996,0.364,0.772,-0.6
141,Kevin Gamble,0.512,23.5,6.9,2.0,1.9,0.7,0.1,0.39399999999999996,0.418,0.868,6.8
142,Kevin Gamble,0.47600000000000003,13.9,3.9,1.3,0.9,0.2,0.1,0.42700000000000005,0.261,0.5,1.0
143,Kevin Garnett*,0.317,28.7,10.4,6.3,1.8,1.1,1.6,0.491,0.28600000000000003,0.705,5.5
144,Chris Gatling,0.439,18.3,9.1,5.1,0.6,0.4,0.6,0.555,0.0,0.636,6.3
145,Chris Gatling,0.512,23.5,15.2,7.3,0.7,0.7,0.5,0.598,0.0,0.733,0.4
146,Kenny Gattison,0.183,22.8,9.2,4.6,0.6,0.4,0.4,0.479,0.0,0.603,0.1
147,Matt Geiger,0.5,30.5,11.2,8.4,0.8,0.6,0.8,0.536,0.375,0.727,0.4
148,Kendall Gill,0.5,35.1,12.9,5.3,6.3,1.2,0.6,0.48100000000000004,0.315,0.7609999999999999,1.6
149,Kendall Gill,0.366,38.0,17.5,3.9,3.2,2.0,0.2,0.441,0.36,0.831,0.4
150,Armen Gilliam,0.366,36.6,18.3,9.1,1.8,0.9,0.7,0.474,0.0,0.7909999999999999,0.6
151,Gerald Glass,0.366,5.6,2.1,0.6,0.4,0.2,0.1,0.35700000000000004,0.2,0.0,5.1
152,Gerald Glass,0.5,3.0,1.0,0.4,0.0,0.2,0.0,0.4,0.0,1.0,1.8
153,Anthony Goldwire,0.5,14.8,5.5,1.0,2.7,0.4,0.0,0.402,0.39799999999999996,0.767,1.7
154,Greg Graham,0.22,16.0,7.0,1.9,1.4,0.6,0.0,0.531,0.5,0.882,0.1
155,Greg Graham,0.366,10.8,4.1,0.9,0.9,0.4,0.0,0.379,0.368,0.725,4.4
156,Ron Grandison,0.512,13.1,2.4,2.0,0.6,0.4,0.1,0.33299999999999996,0.308,0.684,4.6
157,Ron Grandison,0.561,4.8,1.0,1.5,0.3,0.0,0.0,0.5,0.0,0.0,2.1
158,Ron Grandison,0.573,9.5,3.0,2.2,0.3,0.7,0.2,0.467,0.0,0.667,2.6
159,Brian Grant,0.47600000000000003,30.7,14.4,7.0,1.6,0.5,1.3,0.507,0.235,0.732,0.1
160,Gary Grant,0.573,12.7,4.9,1.1,1.5,0.8,0.1,0.486,0.33299999999999996,0.828,4.3
161,Greg Grant,0.22,25.5,4.1,1.9,5.5,1.1,0.2,0.375,0.222,0.833,3.2
162,Greg Grant,0.47600000000000003,13.8,2.4,0.6,2.3,0.8,0.0,0.39299999999999996,0.2,0.0,2.0
163,Greg Grant,0.42700000000000005,10.9,1.4,0.7,1.4,0.2,0.0,0.261,0.33299999999999996,0.0,1.2
