,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Quincy Acy,0.207,18.9,5.9,4.4,1.0,0.4,0.3,0.45899999999999996,0.3,0.784,1.7
1,Jordan Adams,0.6709999999999999,8.3,3.1,0.9,0.5,0.5,0.2,0.40700000000000003,0.4,0.609,0.4
2,Steven Adams,0.5489999999999999,25.3,7.7,7.5,0.9,0.5,1.2,0.544,0.0,0.502,4.1
3,Jeff Adrien,0.195,12.6,3.5,4.5,0.9,0.2,0.5,0.43200000000000005,0.0,0.579,0.4
4,Arron Afflalo,0.366,33.0,14.5,3.4,1.9,0.6,0.1,0.428,0.337,0.841,2.6
5,Arron Afflalo,0.622,30.1,10.6,2.7,1.1,0.4,0.1,0.414,0.4,0.851,1.8
6,Alexis Ajinça,0.5489999999999999,14.1,6.5,4.6,0.7,0.3,0.8,0.55,0.0,0.818,0.8
7,Furkan Aldemir,0.22,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.0,0.48100000000000004,3.2
8,Cole Aldrich,0.207,16.0,5.5,5.5,1.2,0.6,1.1,0.478,0.0,0.7809999999999999,1.4
9,LaMarcus Aldridge,0.622,35.4,23.4,10.2,1.7,0.7,1.0,0.466,0.35200000000000004,0.845,2.2
10,Lavoy Allen,0.46299999999999997,17.0,5.0,5.1,1.2,0.2,0.7,0.47200000000000003,0.0,0.7020000000000001,8.6
11,Tony Allen,0.6709999999999999,26.2,8.6,4.4,1.4,2.0,0.5,0.495,0.345,0.627,2.8
12,Al-Farouq Aminu,0.61,18.5,5.6,4.6,0.8,0.9,0.8,0.41200000000000003,0.27399999999999997,0.7120000000000001,4.1
13,Lou Amundson,0.6459999999999999,6.6,0.9,1.7,0.4,0.1,0.0,0.33299999999999996,0.0,0.6,3.3
14,Lou Amundson,0.207,20.9,6.0,6.0,1.6,0.5,1.3,0.43200000000000005,0.0,0.46299999999999997,0.3
15,Chris Andersen,0.451,18.9,5.3,5.0,0.7,0.4,1.0,0.58,0.308,0.667,0.0
16,Alan Anderson,0.46299999999999997,23.6,7.4,2.8,1.1,0.8,0.1,0.44299999999999995,0.348,0.812,0.4
17,Kyle Anderson,0.6709999999999999,10.8,2.2,2.2,0.8,0.5,0.2,0.348,0.273,0.643,3.6
18,Ryan Anderson,0.5489999999999999,27.5,13.7,4.8,0.9,0.5,0.3,0.39899999999999997,0.34,0.8540000000000001,2.7
19,Giannis Antetokounmpo,0.5,31.4,12.7,6.7,2.6,0.9,1.0,0.491,0.159,0.741,0.3
20,Carmelo Anthony,0.207,35.7,24.2,6.6,3.1,1.0,0.4,0.444,0.341,0.797,3.5
21,Joel Anthony,0.39,8.3,1.8,1.9,0.1,0.2,1.0,0.581,0.0,0.682,6.2
22,Pero Antić,0.732,16.5,5.7,3.0,0.8,0.3,0.2,0.365,0.301,0.715,2.9
23,Trevor Ariza,0.6829999999999999,35.7,12.8,5.6,2.5,1.9,0.2,0.402,0.35,0.853,1.2
24,Darrell Arthur,0.366,17.0,6.6,2.9,1.0,0.8,0.4,0.40399999999999997,0.23600000000000002,0.78,1.5
25,Ömer Aşık,0.5489999999999999,26.1,7.3,9.8,0.9,0.4,0.7,0.517,0.0,0.5820000000000001,6.6
26,D.J. Augustin,0.39,23.8,10.6,1.9,4.9,0.6,0.0,0.41,0.327,0.87,0.9
27,D.J. Augustin,0.5489999999999999,24.2,7.3,2.2,3.1,0.6,0.0,0.371,0.354,0.861,5.0
28,Jeff Ayres,0.6709999999999999,7.5,2.7,2.3,0.3,0.2,0.2,0.579,0.0,0.75,3.4
29,Luke Babbitt,0.5489999999999999,13.2,4.1,1.8,0.4,0.3,0.2,0.479,0.513,0.684,2.5
30,Cameron Bairstow,0.61,3.6,0.6,0.4,0.1,0.1,0.1,0.214,0.0,0.8,0.9
31,Leandro Barbosa,0.8170000000000001,14.9,7.1,1.4,1.5,0.6,0.1,0.474,0.384,0.784,1.2
32,J.J. Barea,0.61,17.7,7.5,1.7,3.4,0.4,0.0,0.42,0.32299999999999995,0.809,1.6
33,Andrea Bargnani,0.207,27.1,14.8,4.4,1.6,0.1,0.9,0.45399999999999996,0.366,0.813,-0.1
34,Harrison Barnes,0.8170000000000001,28.3,10.1,5.5,1.4,0.7,0.2,0.48200000000000004,0.405,0.72,2.8
35,Matt Barnes,0.6829999999999999,29.9,10.1,4.0,1.5,0.9,0.7,0.444,0.36200000000000004,0.779,2.7
36,Earl Barron,0.47600000000000003,8.9,2.0,1.8,0.3,0.3,0.1,0.308,0.5,0.5,0.9
37,Will Barton,0.622,10.0,3.0,1.1,0.9,0.5,0.1,0.38,0.222,0.667,6.7
38,Will Barton,0.366,24.4,11.0,4.6,1.9,1.2,0.5,0.44299999999999995,0.284,0.81,4.3
39,Brandon Bass,0.488,23.5,10.6,4.9,1.3,0.5,0.4,0.504,0.281,0.79,0.0
40,Nicolas Batum,0.622,33.5,9.4,5.9,4.8,1.1,0.6,0.4,0.324,0.857,1.3
41,Jerryd Bayless,0.5,22.3,7.8,2.7,3.0,0.8,0.2,0.426,0.308,0.883,0.0
42,Aron Baynes,0.6709999999999999,16.0,6.6,4.5,0.5,0.2,0.3,0.5660000000000001,0.25,0.865,1.3
43,Kent Bazemore,0.732,17.7,5.2,3.0,1.0,0.7,0.4,0.426,0.364,0.6,5.3
44,Bradley Beal,0.561,33.4,15.3,3.8,3.1,1.2,0.3,0.42700000000000005,0.409,0.7829999999999999,5.2
45,Michael Beasley,0.451,21.0,8.8,3.7,1.3,0.6,0.5,0.434,0.235,0.769,2.4
46,Marco Belinelli,0.6709999999999999,22.4,9.2,2.5,1.5,0.5,0.0,0.423,0.374,0.848,3.9
47,Jerrelle Benimon,0.46299999999999997,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6
48,Anthony Bennett,0.195,15.7,5.2,3.8,0.8,0.5,0.3,0.42100000000000004,0.304,0.6409999999999999,3.7
49,Patrick Beverley,0.6829999999999999,30.8,10.1,4.2,3.4,1.1,0.4,0.38299999999999995,0.35600000000000004,0.75,-0.1
50,Sim Bhullar,0.354,1.0,0.7,0.3,0.3,0.0,0.3,0.5,0.0,0.0,2.9
51,Bismack Biyombo,0.402,19.4,4.8,6.4,0.3,0.3,1.5,0.5429999999999999,0.0,0.583,0.0
52,Tarik Black,0.6829999999999999,15.7,4.2,5.1,0.3,0.2,0.1,0.542,0.0,0.517,0.3
53,Tarik Black,0.256,21.1,7.2,6.3,0.9,0.3,0.6,0.589,0.0,0.562,3.5
54,DeJuan Blair,0.561,6.2,1.9,1.9,0.1,0.2,0.0,0.456,0.0,0.667,0.0
55,Steve Blake,0.622,18.9,4.3,1.7,3.6,0.5,0.1,0.373,0.35200000000000004,0.7070000000000001,4.0
56,Eric Bledsoe,0.47600000000000003,34.6,17.0,5.2,6.1,1.6,0.6,0.447,0.324,0.8,3.1
57,Vander Blue,0.256,37.0,11.0,4.5,4.0,1.5,0.0,0.3,0.2,0.4,0.9
58,Bojan Bogdanović,0.46299999999999997,23.8,9.0,2.7,0.9,0.4,0.1,0.45299999999999996,0.355,0.821,2.2
59,Andrew Bogut,0.8170000000000001,23.6,6.3,8.1,2.7,0.6,1.7,0.563,0.0,0.524,0.1
60,Matt Bonner,0.6709999999999999,13.0,3.7,1.6,0.7,0.1,0.2,0.409,0.365,0.8109999999999999,2.1
61,Trevor Booker,0.46299999999999997,19.8,7.2,5.0,1.1,0.5,0.5,0.48700000000000004,0.345,0.581,7.0
62,Carlos Boozer,0.256,23.8,11.8,6.8,1.3,0.6,0.2,0.499,0.0,0.627,-0.2
63,Chris Bosh,0.451,35.4,21.1,7.0,2.2,0.9,0.6,0.46,0.375,0.772,2.4
64,Avery Bradley,0.488,31.5,13.9,3.1,1.8,1.1,0.2,0.429,0.35200000000000004,0.79,5.2
65,Elton Brand,0.732,13.5,2.7,2.8,0.6,0.5,0.7,0.442,0.0,0.522,2.1
66,Corey Brewer,0.195,28.3,10.5,3.9,3.3,2.3,0.2,0.418,0.195,0.705,3.6
67,Corey Brewer,0.6829999999999999,25.1,11.9,3.6,1.7,1.1,0.3,0.429,0.284,0.764,2.2
68,Aaron Brooks,0.61,23.0,11.6,2.0,3.2,0.7,0.2,0.42100000000000004,0.387,0.833,3.6
69,Jabari Brown,0.256,29.9,11.9,1.9,2.1,0.6,0.1,0.41200000000000003,0.371,0.753,2.5
70,Lorenzo Brown,0.195,18.9,4.2,2.4,3.1,1.0,0.2,0.426,0.214,0.632,0.7
71,Markel Brown,0.46299999999999997,16.6,4.6,2.3,0.8,0.7,0.3,0.36200000000000004,0.266,0.825,3.1
72,Shannon Brown,0.451,17.8,4.0,0.2,0.6,0.8,0.0,0.368,0.429,0.75,0.4
73,Kobe Bryant*,0.256,34.5,22.3,5.7,5.6,1.3,0.2,0.373,0.293,0.813,2.7
74,Chase Budinger,0.195,19.2,6.8,3.0,1.0,0.7,0.1,0.433,0.364,0.8270000000000001,3.3
75,Reggie Bullock,0.6829999999999999,10.5,2.6,1.6,0.2,0.4,0.1,0.426,0.385,0.8,0.4
76,Reggie Bullock,0.47600000000000003,6.8,0.4,0.9,0.2,0.1,0.2,0.063,0.0,0.5,0.3
77,Trey Burke,0.46299999999999997,30.1,12.8,2.7,4.3,0.9,0.2,0.368,0.318,0.752,0.5
78,Alec Burks,0.46299999999999997,33.3,13.9,4.2,3.0,0.6,0.2,0.40299999999999997,0.382,0.8220000000000001,0.0
79,Caron Butler,0.39,20.8,5.9,2.5,1.0,0.6,0.1,0.40700000000000003,0.379,0.902,0.2
80,Jimmy Butler,0.61,38.7,20.0,5.8,3.3,1.8,0.6,0.462,0.37799999999999995,0.8340000000000001,1.3
81,Rasual Butler,0.561,20.1,7.7,2.6,0.8,0.4,0.3,0.42200000000000004,0.387,0.7909999999999999,0.1
82,Dwight Buycks,0.256,20.5,8.7,2.0,2.3,0.5,0.0,0.45,0.636,0.9,0.4
83,Will Bynum,0.561,9.6,3.1,0.9,2.6,0.1,0.1,0.32299999999999995,0.0,0.5,-0.3
84,Bruno Caboclo,0.598,2.9,1.3,0.3,0.0,0.0,0.1,0.33299999999999996,0.667,0.0,2.4
85,Nick Calathes,0.6709999999999999,14.4,4.2,1.8,2.5,1.1,0.1,0.42100000000000004,0.256,0.5329999999999999,1.7
86,José Calderón,0.207,30.2,9.1,3.0,4.7,0.7,0.0,0.415,0.415,0.9059999999999999,2.4
87,Kentavious Caldwell-Pope,0.39,31.5,12.7,3.1,1.3,1.1,0.2,0.401,0.345,0.696,11.2
88,Isaiah Canaan,0.6829999999999999,14.8,6.2,1.3,1.2,0.6,0.0,0.405,0.381,0.762,2.6
89,Isaiah Canaan,0.22,25.9,12.6,2.5,3.1,0.7,0.1,0.377,0.364,0.846,0.1
90,Clint Capela,0.6829999999999999,7.5,2.7,3.0,0.2,0.1,0.8,0.483,0.0,0.174,-0.2
91,DeMarre Carroll,0.732,31.3,12.6,5.3,1.7,1.3,0.2,0.48700000000000004,0.395,0.7020000000000001,-0.1
92,Vince Carter,0.6709999999999999,16.5,5.8,2.0,1.2,0.7,0.2,0.33299999999999996,0.297,0.789,1.1
93,Michael Carter-Williams,0.22,33.9,15.0,6.2,7.4,1.5,0.4,0.38,0.256,0.643,0.9
94,Michael Carter-Williams,0.5,30.3,14.1,4.0,5.6,2.0,0.5,0.429,0.14300000000000002,0.78,2.8
95,Omri Casspi,0.354,21.1,8.9,3.9,1.5,0.5,0.1,0.489,0.402,0.733,1.4
96,Mario Chalmers,0.451,29.6,10.2,2.6,3.8,1.5,0.1,0.40299999999999997,0.294,0.774,0.6
97,Tyson Chandler,0.61,30.5,10.3,11.5,1.1,0.6,1.2,0.6659999999999999,0.0,0.72,0.8
