,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Mahmoud Abdul-Rauf,0.415,28.4,13.7,1.6,2.5,0.7,0.1,0.445,0.382,0.846,2.7
1,Shareef Abdur-Rahim,0.171,35.0,18.7,6.9,2.2,1.0,1.0,0.45299999999999996,0.259,0.746,2.9
2,Rafael Addison,0.659,8.7,3.1,1.1,0.8,0.2,0.1,0.402,0.4,0.7859999999999999,0.4
3,Cory Alexander,0.244,18.2,7.2,1.5,3.2,1.0,0.2,0.396,0.373,0.736,1.1
4,Jerome Allen,0.47600000000000003,13.6,3.2,1.3,2.1,0.5,0.0,0.38799999999999996,0.39,0.574,0.4
5,Jerome Allen,0.256,10.0,2.6,1.3,1.7,0.2,0.2,0.284,0.20600000000000002,0.6,0.5
6,Ray Allen*,0.402,30.9,13.4,4.0,2.6,0.9,0.1,0.43,0.39299999999999996,0.823,-0.1
7,Derrick Alston,0.6829999999999999,5.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9
8,Ashraf Amaya,0.537,4.6,1.3,1.7,0.1,0.2,0.1,0.3,1.0,0.536,-0.1
9,Greg Anderson,0.244,20.2,3.9,5.5,0.4,0.8,0.8,0.496,0.0,0.667,0.1
10,Kenny Anderson,0.598,37.6,17.5,4.4,7.1,2.0,0.2,0.42700000000000005,0.361,0.768,2.2
11,Nick Anderson,0.5489999999999999,34.3,12.0,4.8,2.9,1.9,0.5,0.397,0.353,0.40399999999999997,12.4
12,Shandon Anderson,0.78,16.4,5.9,2.8,0.8,0.4,0.1,0.462,0.511,0.687,4.2
13,Willie Anderson,0.7440000000000001,10.8,3.0,1.5,1.2,0.5,0.1,0.45299999999999996,0.42100000000000004,0.85,1.2
14,Greg Anthony,0.171,28.7,9.5,2.8,6.3,2.0,0.1,0.39299999999999996,0.37,0.73,0.9
15,B.J. Armstrong,0.366,20.8,7.9,1.5,2.6,0.5,0.0,0.45299999999999996,0.278,0.861,3.5
16,Darrell Armstrong,0.5489999999999999,15.1,6.1,1.1,2.6,0.9,0.1,0.38299999999999995,0.304,0.868,1.3
17,Vincent Askew,0.317,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
18,Vincent Askew,0.47600000000000003,20.0,5.7,2.4,2.2,0.4,0.1,0.43200000000000005,0.292,0.7909999999999999,1.5
19,Vincent Askew,0.256,9.0,6.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.0
20,Keith Askins,0.7440000000000001,22.7,4.9,3.5,1.0,0.7,0.2,0.433,0.401,0.672,1.6
21,Stacey Augmon,0.659,14.6,4.5,2.5,0.8,0.5,0.5,0.40299999999999997,0.0,0.6829999999999999,-0.1
22,Stacey Augmon,0.598,16.3,4.7,2.2,1.0,0.8,0.2,0.517,0.0,0.732,4.3
23,Isaac Austin,0.7440000000000001,22.9,9.7,5.8,1.2,0.5,0.5,0.502,0.0,0.664,1.5
24,Vin Baker,0.402,40.5,21.0,10.3,2.7,1.0,1.4,0.505,0.278,0.687,0.0
25,Charles Barkley*,0.695,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.28300000000000003,0.6940000000000001,1.5
26,Dana Barros,0.183,29.5,12.5,2.0,3.4,1.1,0.3,0.435,0.41,0.86,4.0
27,Brent Barry,0.439,18.5,7.5,1.9,2.6,0.9,0.3,0.409,0.324,0.8170000000000001,8.3
28,Jon Barry,0.6829999999999999,16.6,4.9,1.7,2.0,0.9,0.1,0.40700000000000003,0.387,0.804,9.4
29,Benoit Benjamin,0.366,11.0,3.3,2.3,0.3,0.3,0.0,0.41700000000000004,0.0,0.75,1.0
30,Elmer Bennett,0.695,4.0,2.5,0.3,1.0,0.5,0.0,0.33299999999999996,0.33299999999999996,0.833,2.1
31,Elmer Bennett,0.256,11.8,2.4,0.6,1.4,0.4,0.0,0.308,0.33299999999999996,0.5,2.4
32,Travis Best,0.47600000000000003,27.2,9.9,2.2,4.2,1.3,0.1,0.442,0.368,0.7559999999999999,0.0
33,Mookie Blaylock,0.6829999999999999,39.2,17.4,5.3,5.9,2.7,0.3,0.43200000000000005,0.366,0.753,-0.1
34,Corie Blount,0.6829999999999999,17.4,4.2,4.8,0.6,0.4,0.4,0.514,0.33299999999999996,0.675,0.1
35,Muggsy Bogues,0.659,28.9,8.0,2.2,7.2,1.3,0.0,0.46,0.41700000000000004,0.8440000000000001,-0.3
36,Dexter Boney,0.488,6.0,2.4,0.8,0.0,0.3,0.1,0.316,0.16699999999999998,0.75,4.1
37,Melvin Booker,0.256,4.2,1.0,0.2,0.6,0.0,0.0,0.5,0.5,0.0,12.5
38,Melvin Booker,0.366,25.6,7.3,1.8,3.1,0.2,0.1,0.436,0.314,0.9,2.5
39,Bruce Bowen,0.7440000000000001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
40,Donnie Boyce,0.6829999999999999,7.0,2.5,0.7,0.6,0.5,0.2,0.33299999999999996,0.125,0.5,0.0
41,Shawn Bradley,0.317,30.7,12.0,8.1,0.5,0.6,4.0,0.436,0.0,0.664,0.1
42,Shawn Bradley,0.293,32.1,14.6,8.7,1.0,0.5,2.7,0.461,0.0,0.642,-0.2
43,Mark Bradtke,0.268,7.0,1.6,1.9,0.2,0.1,0.1,0.431,0.0,0.6920000000000001,0.3
44,Terrell Brandon,0.512,36.8,19.5,3.9,6.3,1.8,0.4,0.43799999999999994,0.373,0.902,0.0
45,Frank Brickowski,0.183,15.0,4.8,2.0,0.9,0.3,0.2,0.43799999999999994,0.35,0.7140000000000001,-0.3
