,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Quincy Acy,0.402,14.8,5.2,3.2,0.5,0.5,0.4,0.556,0.38799999999999996,0.735,2.5
1,Jordan Adams,0.512,7.5,3.5,1.0,1.5,1.5,0.0,0.33299999999999996,0.0,0.6,0.0
2,Steven Adams,0.6709999999999999,25.2,8.0,6.7,0.8,0.5,1.1,0.613,0.0,0.5820000000000001,6.5
3,Arron Afflalo,0.39,33.4,12.8,3.7,2.0,0.4,0.1,0.44299999999999995,0.382,0.84,2.7
4,Alexis Ajinça,0.366,14.6,6.0,4.6,0.5,0.3,0.6,0.47600000000000003,0.0,0.8390000000000001,1.0
5,Cole Aldrich,0.6459999999999999,13.3,5.5,4.8,0.8,0.8,1.1,0.596,0.0,0.7140000000000001,3.5
6,LaMarcus Aldridge,0.8170000000000001,30.6,18.0,8.5,1.5,0.5,1.1,0.513,0.0,0.858,10.1
7,Cliff Alexander,0.537,4.5,1.3,0.8,0.0,0.1,0.3,0.5,0.0,0.0,0.0
8,Lavoy Allen,0.5489999999999999,20.2,5.4,5.4,1.0,0.3,0.5,0.516,0.0,0.63,3.7
9,Tony Allen,0.512,25.3,8.4,4.6,1.1,1.7,0.3,0.45799999999999996,0.35700000000000004,0.652,2.4
10,Al-Farouq Aminu,0.537,28.5,10.2,6.1,1.7,0.9,0.6,0.41600000000000004,0.361,0.737,4.0
11,Lou Amundson,0.39,7.0,1.8,1.7,0.4,0.2,0.2,0.358,0.0,0.519,-0.1
12,Chris Andersen,0.585,5.1,1.9,1.3,0.4,0.1,0.4,0.4,0.4,0.75,1.3
13,Chris Andersen,0.512,18.3,4.6,4.5,0.5,0.7,0.5,0.5479999999999999,0.222,0.688,0.1
14,Alan Anderson,0.5,14.8,5.0,2.1,1.1,0.3,0.1,0.35600000000000004,0.324,0.733,1.1
15,James Anderson,0.402,14.1,3.5,1.7,0.8,0.4,0.3,0.376,0.267,0.759,0.3
16,Justin Anderson,0.512,11.8,3.8,2.4,0.5,0.3,0.5,0.406,0.265,0.8,-0.3
17,Kyle Anderson,0.8170000000000001,16.0,4.5,3.1,1.6,0.8,0.4,0.46799999999999997,0.324,0.747,1.1
18,Ryan Anderson,0.366,30.4,17.0,6.0,1.1,0.6,0.4,0.42700000000000005,0.366,0.873,3.5
19,Giannis Antetokounmpo,0.402,35.3,16.9,7.7,4.3,1.2,1.4,0.506,0.257,0.7240000000000001,3.9
20,Thanasis Antetokounmpo,0.39,3.0,3.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,7.1
21,Carmelo Anthony,0.39,35.1,21.8,7.7,4.2,0.9,0.5,0.434,0.33899999999999997,0.8290000000000001,0.0
22,Joel Anthony,0.537,5.1,0.9,1.1,0.1,0.1,0.6,0.6,0.0,0.75,6.4
23,Keith Appling,0.42700000000000005,5.4,1.2,0.2,0.2,0.2,0.0,0.25,0.0,1.0,0.4
24,Trevor Ariza,0.5,35.3,12.7,4.5,2.3,2.0,0.3,0.41600000000000004,0.371,0.7829999999999999,-0.1
25,Darrell Arthur,0.402,21.7,7.5,4.2,1.4,0.8,0.7,0.452,0.385,0.755,5.4
26,Ömer Aşık,0.366,17.3,4.0,6.1,0.4,0.3,0.3,0.5329999999999999,0.0,0.545,2.3
27,D.J. Augustin,0.6709999999999999,15.3,4.2,1.3,1.9,0.4,0.1,0.38,0.39299999999999996,0.765,1.7
28,D.J. Augustin,0.402,23.5,11.6,1.9,4.7,0.9,0.1,0.445,0.41100000000000003,0.8190000000000001,2.6
29,Jeff Ayres,0.6459999999999999,6.3,1.8,1.3,0.3,0.0,0.2,0.522,0.0,1.0,0.7
30,Luke Babbitt,0.366,18.0,7.0,3.1,1.1,0.2,0.1,0.42200000000000004,0.40399999999999997,0.78,1.9
31,Cameron Bairstow,0.512,5.7,1.9,1.6,0.3,0.1,0.2,0.325,0.2,0.875,0.2
32,Leandro Barbosa,0.89,15.9,6.4,1.7,1.2,0.6,0.1,0.462,0.355,0.8390000000000001,1.1
33,J.J. Barea,0.512,22.5,10.9,2.1,4.1,0.4,0.0,0.446,0.385,0.7709999999999999,0.0
34,Andrea Bargnani,0.256,13.8,6.6,2.1,0.4,0.1,0.2,0.455,0.188,0.825,2.1
35,Harrison Barnes,0.89,30.9,11.7,4.9,1.8,0.6,0.2,0.466,0.38299999999999995,0.7609999999999999,2.8
36,Matt Barnes,0.512,28.8,10.0,5.5,2.1,1.0,0.8,0.381,0.322,0.804,0.2
37,Will Barton,0.402,28.7,14.4,5.8,2.5,0.9,0.5,0.43200000000000005,0.345,0.8059999999999999,4.9
38,Brandon Bass,0.207,20.3,7.2,4.3,1.1,0.5,0.8,0.5489999999999999,0.0,0.845,2.6
39,Nicolas Batum,0.585,35.0,14.9,6.1,5.8,0.9,0.6,0.426,0.348,0.8490000000000001,4.3
40,Jerryd Bayless,0.402,28.9,10.4,2.7,3.1,0.9,0.2,0.423,0.43700000000000006,0.778,4.1
41,Aron Baynes,0.537,15.2,6.3,4.7,0.6,0.3,0.6,0.505,0.0,0.764,5.0
42,Kent Bazemore,0.585,27.8,11.6,5.1,2.3,1.3,0.5,0.441,0.35700000000000004,0.815,2.4
43,Bradley Beal,0.5,31.1,17.4,3.4,2.9,1.0,0.2,0.449,0.387,0.767,4.1
44,Michael Beasley,0.5,18.2,12.8,4.9,0.8,0.6,0.5,0.522,0.33299999999999996,0.7759999999999999,4.1
45,Marco Belinelli,0.402,24.6,10.2,1.7,1.9,0.5,0.0,0.386,0.306,0.833,2.7
46,Anthony Bennett,0.6829999999999999,4.4,1.5,1.2,0.0,0.3,0.0,0.29600000000000004,0.214,0.9,1.0
47,Patrick Beverley,0.5,28.7,9.9,3.5,3.4,1.3,0.4,0.434,0.4,0.682,0.5
48,Bismack Biyombo,0.6829999999999999,22.0,5.5,8.0,0.4,0.2,1.6,0.542,0.0,0.628,0.1
49,Nemanja Bjelica,0.354,17.9,5.1,3.5,1.4,0.4,0.4,0.46799999999999997,0.384,0.727,4.4
50,Tarik Black,0.207,12.7,3.4,4.0,0.4,0.4,0.5,0.5479999999999999,0.0,0.42200000000000004,5.9
51,DeJuan Blair,0.5,7.5,2.1,2.0,0.4,0.3,0.1,0.41200000000000003,0.0,0.385,1.9
52,Steve Blake,0.537,17.0,4.4,1.5,3.4,0.4,0.1,0.38799999999999996,0.344,0.8,0.7
53,Eric Bledsoe,0.28,34.2,20.4,4.0,6.1,2.0,0.6,0.45299999999999996,0.37200000000000005,0.802,-0.1
54,Bojan Bogdanović,0.256,26.8,11.2,3.2,1.3,0.4,0.1,0.433,0.382,0.833,1.1
55,Andrew Bogut,0.89,20.7,5.4,7.0,2.3,0.5,1.6,0.627,1.0,0.48,2.5
56,Matt Bonner,0.8170000000000001,6.9,2.5,0.9,0.3,0.2,0.0,0.509,0.441,0.75,0.9
57,Devin Booker,0.28,27.7,13.8,2.5,2.6,0.6,0.3,0.423,0.34299999999999997,0.84,5.4
58,Trevor Booker,0.488,20.7,5.9,5.7,1.1,0.7,0.5,0.49,0.293,0.67,0.8
59,Chris Bosh,0.585,33.5,19.1,7.4,2.4,0.7,0.6,0.467,0.365,0.795,1.9
60,Avery Bradley,0.585,33.4,15.2,2.9,2.1,1.5,0.3,0.447,0.361,0.78,4.3
61,Elton Brand,0.122,13.2,4.1,3.7,1.1,0.5,0.5,0.431,0.0,0.889,6.4
62,Corey Brewer,0.5,20.4,7.2,2.4,1.3,1.0,0.2,0.384,0.272,0.75,4.8
63,Aaron Brooks,0.512,16.1,7.1,1.5,2.6,0.4,0.1,0.401,0.35700000000000004,0.7659999999999999,0.2
64,Anthony Brown,0.207,20.7,4.0,2.4,0.7,0.5,0.2,0.31,0.28600000000000003,0.85,1.2
65,Lorenzo Brown,0.28,7.6,2.5,0.9,1.4,0.4,0.1,0.32,0.125,0.75,0.9
66,Markel Brown,0.256,15.8,5.9,2.0,1.5,0.6,0.2,0.39399999999999996,0.314,0.755,-0.3
67,Kobe Bryant*,0.207,28.2,17.6,3.7,2.8,0.9,0.2,0.358,0.285,0.826,-0.2
