,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Alaa Abdelnaby,0.695,13.2,6.1,3.7,0.4,0.4,0.2,0.493,0.0,0.752,2.1
1,Mahmoud Abdul-Rauf,0.293,19.0,10.3,1.4,2.4,0.5,0.0,0.42100000000000004,0.33,0.87,0.6
2,Mark Acres,0.256,13.6,3.1,3.7,0.3,0.4,0.2,0.517,0.33299999999999996,0.7609999999999999,1.9
3,Michael Adams,0.305,35.8,18.1,4.0,7.6,1.9,0.1,0.39299999999999996,0.324,0.8690000000000001,5.3
4,Rafael Addison,0.488,15.5,5.8,2.2,0.9,0.4,0.4,0.433,0.28600000000000003,0.737,1.5
5,Mark Aguirre,0.585,21.1,11.3,3.1,1.7,0.7,0.1,0.431,0.21100000000000002,0.687,2.2
6,Danny Ainge,0.695,19.7,9.7,1.8,2.5,0.9,0.2,0.442,0.33899999999999997,0.8240000000000001,5.2
7,Victor Alexander,0.6709999999999999,16.9,7.4,4.2,0.4,0.6,0.8,0.529,0.0,0.691,2.5
8,Greg Anderson,0.293,34.1,11.5,11.5,1.0,1.1,0.8,0.456,0.0,0.623,3.0
9,Kenny Anderson,0.488,17.0,7.0,2.0,3.2,1.0,0.1,0.39,0.231,0.745,0.5
10,Nick Anderson,0.256,36.7,19.9,6.4,2.7,1.6,0.6,0.46299999999999997,0.353,0.667,3.6
11,Ron Anderson,0.42700000000000005,29.7,13.7,3.4,1.6,1.0,0.1,0.465,0.331,0.877,3.5
12,Willie Anderson,0.573,33.1,13.1,5.3,5.3,0.9,0.9,0.455,0.23199999999999998,0.775,3.3
13,Michael Ansley,0.42700000000000005,4.0,1.9,0.5,0.3,0.0,0.0,0.455,0.0,0.833,0.0
14,Michael Ansley,0.37799999999999995,6.5,3.0,1.0,0.0,0.0,0.0,0.429,0.0,0.0,0.0
15,Greg Anthony,0.622,18.4,5.5,1.7,3.8,0.7,0.1,0.37,0.145,0.741,0.0
16,B.J. Armstrong,0.8170000000000001,22.9,9.9,1.8,3.2,0.6,0.1,0.48100000000000004,0.402,0.8059999999999999,2.2
17,Vincent Askew,0.6709999999999999,18.7,6.2,2.9,2.4,0.6,0.3,0.509,0.1,0.6940000000000001,4.6
18,Keith Askins,0.46299999999999997,14.3,3.7,2.4,0.6,0.7,0.3,0.41,0.342,0.703,2.9
19,Stacey Augmon,0.46299999999999997,30.5,13.3,5.1,2.5,1.5,0.3,0.489,0.16699999999999998,0.6659999999999999,0.7
20,Isaac Austin,0.6709999999999999,3.6,2.0,1.1,0.2,0.1,0.1,0.457,0.0,0.633,3.7
21,Miloš Babić,0.46299999999999997,3.9,2.0,1.2,0.7,0.1,0.0,0.462,0.0,0.75,0.3
22,John Bagley,0.622,23.9,7.2,2.2,6.6,0.8,0.1,0.441,0.23800000000000002,0.716,0.0
23,Thurl Bailey,0.6709999999999999,25.2,9.4,6.0,1.5,0.4,1.2,0.386,0.0,0.8,1.9
24,Thurl Bailey,0.183,25.0,11.7,5.7,0.8,0.4,1.4,0.44799999999999995,0.0,0.795,2.6
25,Steve Bardo,0.573,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
26,Charles Barkley*,0.42700000000000005,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.23399999999999999,0.695,2.0
27,Dana Barros,0.573,17.7,8.3,1.1,1.7,0.7,0.1,0.483,0.446,0.759,0.0
28,John Battle,0.695,21.5,10.3,1.5,2.1,0.5,0.1,0.48,0.11800000000000001,0.848,12.3
29,Kenny Battle,0.622,5.8,1.8,1.1,0.0,0.1,0.0,0.75,0.0,1.0,3.6
30,Kenny Battle,0.6709999999999999,5.8,2.3,0.9,0.5,0.1,0.3,0.615,0.0,0.5,2.0
31,William Bedford,0.585,11.3,3.6,2.0,0.4,0.2,0.6,0.413,0.0,0.636,0.3
32,Benoit Benjamin,0.573,30.8,14.0,8.1,1.2,0.6,1.9,0.478,0.0,0.687,0.2
33,Winston Bennett,0.695,16.0,3.7,3.1,0.7,0.4,0.2,0.37799999999999995,0.0,0.7,0.1
34,Winston Bennett,0.46299999999999997,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.3
35,David Benoit,0.6709999999999999,15.1,5.6,3.8,0.4,0.2,0.6,0.467,0.214,0.81,2.2
36,Larry Bird*,0.622,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.9259999999999999,0.3
37,Rolando Blackman,0.268,33.7,18.3,3.2,2.7,0.7,0.3,0.461,0.385,0.898,0.3
38,Lance Blanks,0.585,4.4,1.5,0.5,0.4,0.3,0.0,0.455,0.375,0.727,0.0
39,Mookie Blaylock,0.488,35.4,13.8,3.7,6.8,2.4,0.6,0.43200000000000005,0.222,0.7120000000000001,2.0
40,Muggsy Bogues,0.37799999999999995,34.0,8.9,2.9,9.1,2.1,0.1,0.47200000000000003,0.07400000000000001,0.7829999999999999,5.5
41,Manute Bol,0.42700000000000005,17.8,1.5,3.1,0.3,0.2,2.9,0.38299999999999995,0.0,0.462,3.8
42,Anthony Bonner,0.354,28.9,9.4,6.1,1.6,1.2,0.3,0.447,0.25,0.627,0.4
43,Anthony Bowie,0.256,33.1,14.6,4.7,3.1,1.1,0.7,0.493,0.386,0.86,4.9
44,Sam Bowie,0.488,30.7,15.0,8.1,2.6,0.6,1.7,0.445,0.32,0.757,4.8
45,Terrell Brandon,0.695,19.6,7.4,2.0,3.9,1.0,0.3,0.419,0.043,0.8059999999999999,0.8
46,Randy Breuer,0.183,17.6,5.4,4.2,1.3,0.4,1.5,0.46799999999999997,0.0,0.532,1.6
47,Frank Brickowski,0.37799999999999995,23.9,11.4,5.3,1.9,0.9,0.4,0.524,0.5,0.767,2.9
48,Kevin Brooks,0.293,7.3,2.8,1.1,0.3,0.2,0.1,0.44299999999999995,0.182,0.81,4.6
49,Scott Brooks,0.183,13.2,5.1,1.2,2.5,0.8,0.1,0.447,0.35600000000000004,0.81,0.9
50,Chucky Brown,0.695,8.3,2.5,1.0,0.5,0.5,0.0,0.5,0.0,0.625,1.7
51,Chucky Brown,0.524,10.6,3.8,2.1,0.6,0.3,0.2,0.466,0.0,0.61,3.4
52,Dee Brown,0.622,28.5,11.7,2.5,5.3,1.1,0.2,0.426,0.22699999999999998,0.769,0.1
53,Mike Brown,0.6709999999999999,21.7,7.7,5.8,1.0,0.5,0.4,0.45299999999999996,0.0,0.667,2.1
54,Myron Brown,0.183,5.8,2.3,0.8,1.5,0.3,0.0,0.667,0.33299999999999996,0.0,0.3
55,Randy Brown,0.354,9.6,3.4,1.2,1.1,0.6,0.2,0.456,0.0,0.655,0.1
56,Tony Brown,0.5489999999999999,11.5,4.7,1.3,0.7,0.5,0.0,0.43799999999999994,0.318,0.621,0.2
57,Tony Brown,0.573,11.5,4.8,1.6,0.9,0.5,0.1,0.39399999999999996,0.293,0.8109999999999999,1.0
58,Mark Bryant,0.695,14.3,4.1,3.6,0.7,0.5,0.1,0.48,0.0,0.667,3.7
59,Jud Buechler,0.488,14.5,4.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0
60,Jud Buechler,0.573,12.7,3.0,2.0,1.0,0.7,0.3,0.5,0.0,0.33299999999999996,0.3
