,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Tariq Abdul-Wahad,0.54,24.6,9.3,3.8,1.0,1.0,0.3,0.435,0.28600000000000003,0.691,1.4
1,Shareef Abdur-Rahim,0.16,40.4,23.0,7.5,3.4,1.4,1.1,0.43200000000000005,0.306,0.841,4.6
2,Cory Alexander,0.28,21.6,7.3,2.1,3.3,1.0,0.1,0.373,0.28600000000000003,0.841,-0.3
3,Ray Allen*,0.56,34.4,17.1,4.2,3.6,1.1,0.1,0.45,0.35600000000000004,0.903,5.2
4,Peter Aluma,0.54,2.5,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0
5,Derek Anderson,0.44,25.7,10.8,2.9,3.8,1.3,0.1,0.39799999999999996,0.304,0.836,2.1
6,Kenny Anderson,0.38,29.7,12.1,3.0,5.7,1.0,0.1,0.451,0.25,0.8320000000000001,2.4
7,Nick Anderson,0.66,33.6,14.9,5.9,1.9,1.4,0.3,0.395,0.34700000000000003,0.611,3.9
8,Shandon Anderson,0.74,21.4,8.5,2.6,1.1,0.8,0.2,0.446,0.341,0.7120000000000001,2.0
9,Chris Anstey,0.38,11.5,3.3,2.4,0.7,0.4,0.3,0.36,0.0,0.708,0.3
10,Greg Anthony,0.7,16.1,6.4,1.3,2.0,1.3,0.1,0.414,0.392,0.6970000000000001,2.8
11,B.J. Armstrong,0.52,17.8,5.7,1.6,2.7,0.3,0.0,0.488,0.75,0.9,0.7
12,B.J. Armstrong,0.66,8.2,2.2,1.0,1.5,0.4,0.0,0.42200000000000004,0.14300000000000002,0.818,0.4
13,Darrell Armstrong,0.66,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,0.3
14,Keith Askins,0.66,12.6,1.6,1.3,0.3,0.5,0.1,0.32299999999999995,0.276,0.625,6.4
15,Stacey Augmon,0.7,18.2,4.3,2.6,1.2,1.2,0.4,0.44799999999999995,0.0,0.684,0.2
16,Isaac Austin,0.66,25.7,9.7,4.8,1.8,1.0,0.7,0.408,0.28600000000000003,0.669,2.6
17,Anthony Avent,0.74,8.8,1.8,2.4,0.2,0.4,0.0,0.308,0.0,0.5,1.2
18,Thurl Bailey,0.74,12.6,4.2,2.2,0.6,0.2,0.7,0.446,0.0,0.735,-0.1
19,Toby Bailey,0.54,9.2,2.9,2.0,0.5,0.3,0.1,0.395,0.2,0.6920000000000001,0.9
20,Mark Baker,0.46,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
21,Vin Baker,0.5,34.2,13.8,6.2,1.6,0.9,1.0,0.45299999999999996,0.0,0.45,-0.1
22,Charles Barkley*,0.62,36.3,16.1,12.3,4.6,1.0,0.3,0.478,0.16,0.7190000000000001,0.4
23,Dana Barros,0.38,23.1,9.3,2.1,4.2,1.0,0.1,0.45299999999999996,0.4,0.877,6.8
24,Brent Barry,0.26,31.9,11.1,3.9,3.1,1.1,0.3,0.396,0.302,0.772,3.4
25,Drew Barry,0.5,10.8,2.2,1.2,1.7,0.4,0.1,0.313,0.33299999999999996,0.6920000000000001,1.6
26,Jon Barry,0.54,17.1,5.0,2.2,2.6,1.2,0.1,0.428,0.304,0.845,0.2
27,Tony Battie,0.38,22.4,6.7,6.0,1.1,0.6,1.4,0.519,0.0,0.672,2.4
28,Corey Beck,0.58,3.8,1.3,0.6,0.0,0.3,0.0,0.5,0.0,1.0,3.3
29,Corey Beck,0.52,9.4,2.2,1.4,1.3,0.4,0.1,0.452,1.0,0.462,0.2
30,Benoit Benjamin,0.56,5.5,0.7,1.3,0.2,0.0,0.0,0.28600000000000003,0.0,0.0,0.1
31,Corey Benjamin,0.26,10.3,3.8,1.3,0.3,0.4,0.3,0.376,0.214,0.675,0.1
32,Mario Bennett,0.26,6.3,2.3,1.7,0.0,0.3,0.0,0.33299999999999996,0.0,0.75,-0.1
33,Travis Best,0.66,21.3,7.1,1.6,3.4,0.9,0.1,0.41600000000000004,0.373,0.843,-0.2
34,Mike Bibby,0.16,35.2,13.2,2.7,6.5,1.6,0.1,0.43,0.203,0.7509999999999999,0.0
35,Chauncey Billups,0.28,33.1,13.9,2.1,3.8,1.3,0.3,0.386,0.36200000000000004,0.9129999999999999,2.1
36,Mookie Blaylock,0.62,36.7,13.3,4.7,5.8,2.1,0.2,0.379,0.307,0.758,1.3
37,Corie Blount,0.62,11.6,2.3,3.3,0.1,0.1,0.3,0.39399999999999996,0.0,0.5,2.3
38,Corie Blount,0.44,18.4,3.4,5.3,0.5,0.9,0.6,0.34299999999999997,0.0,0.524,4.7
39,Muggsy Bogues,0.42,19.8,5.1,2.0,3.7,1.2,0.0,0.494,0.0,0.861,0.7
40,Etdrick Bohannon,0.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
41,Keith Booth,0.26,11.1,3.1,2.4,1.0,0.6,0.3,0.325,0.1,0.5,0.5
42,Bruce Bowen,0.38,16.5,2.3,1.7,0.9,0.7,0.3,0.28,0.26899999999999996,0.45799999999999996,1.7
43,Earl Boykins,0.32,10.2,4.2,0.8,1.2,0.2,0.0,0.47600000000000003,0.2,0.0,0.0
44,Earl Boykins,0.44,10.0,2.6,0.8,1.6,0.3,0.0,0.345,0.154,0.667,-0.8
45,Shawn Bradley,0.38,26.4,8.6,8.0,0.8,0.7,3.2,0.48,0.0,0.748,0.0
46,Terrell Brandon,0.56,33.7,13.5,3.5,6.9,1.6,0.2,0.409,0.25,0.8390000000000001,-0.3
47,Terrell Brandon,0.5,33.9,14.2,3.9,9.8,1.9,0.3,0.425,0.263,0.83,-0.1
48,Chucky Brown,0.52,24.8,8.5,3.6,1.2,0.3,0.4,0.47200000000000003,0.375,0.6779999999999999,-0.2
49,Dee Brown,0.46,28.1,11.2,2.1,2.9,1.1,0.2,0.37799999999999995,0.387,0.727,4.2
50,Gerald Brown,0.54,7.2,2.4,0.7,0.9,0.2,0.0,0.371,0.3,0.7859999999999999,3.2
51,P.J. Brown,0.66,32.2,11.4,6.9,1.3,0.9,1.0,0.48,0.0,0.774,0.9
52,Randy Brown,0.26,29.2,8.8,3.4,3.8,1.7,0.2,0.414,0.0,0.757,2.3
53,Rick Brunson,0.54,5.6,1.0,0.6,1.1,0.5,0.0,0.28600000000000003,0.0,0.278,1.6
54,Kobe Bryant*,0.62,37.9,19.9,5.3,3.8,1.4,1.0,0.465,0.267,0.8390000000000001,2.5
55,Mark Bryant,0.26,26.8,9.0,5.2,1.1,0.8,0.4,0.483,0.0,0.645,-0.3
56,Jud Buechler,0.58,21.1,5.5,2.7,1.1,0.7,0.3,0.41700000000000004,0.41200000000000003,0.722,5.1
57,Matt Bullard,0.62,10.1,2.9,1.0,0.4,0.3,0.1,0.377,0.387,0.7,1.0
58,Scott Burrell,0.32,22.1,6.6,3.7,1.4,1.3,0.3,0.361,0.389,0.81,-0.2
59,Willie Burton,0.52,6.0,1.3,2.0,0.0,0.0,0.0,0.14300000000000002,0.0,0.5,5.2
60,Mitchell Butler,0.44,13.5,5.4,1.4,0.7,0.5,0.1,0.48200000000000004,0.379,0.7190000000000001,1.5
61,Jason Caffey,0.42,25.0,8.8,5.9,0.5,0.7,0.3,0.444,0.0,0.633,2.9
62,Marcus Camby,0.54,20.5,7.2,5.5,0.3,0.6,1.6,0.521,0.0,0.5529999999999999,0.5
63,Elden Campbell,0.62,19.1,7.4,5.6,0.5,0.1,0.9,0.436,0.0,0.613,1.4
