,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Shareef Abdur-Rahim,0.46299999999999997,8.5,1.7,1.7,0.7,0.2,0.0,0.214,0.0,1.0,0.0
1,Arron Afflalo,0.72,12.9,3.7,1.8,0.7,0.4,0.1,0.41100000000000003,0.20800000000000002,0.782,1.9
2,Maurice Ager,0.622,6.4,1.3,0.3,0.3,0.0,0.1,0.185,0.0,0.833,-0.4
3,Maurice Ager,0.415,6.3,2.6,0.6,0.3,0.0,0.0,0.42100000000000004,0.273,0.16699999999999998,-0.3
4,Blake Ahearn,0.183,14.8,5.8,1.6,1.6,0.5,0.0,0.263,0.294,0.968,-0.1
5,LaMarcus Aldridge,0.5,34.9,17.8,7.6,1.6,0.7,1.2,0.484,0.14300000000000002,0.762,0.0
6,Malik Allen,0.415,15.9,5.4,2.7,0.6,0.3,0.4,0.475,0.5,0.9229999999999999,6.2
7,Malik Allen,0.622,13.3,3.1,2.7,0.6,0.2,0.4,0.5,0.0,0.917,1.0
8,Ray Allen*,0.805,35.9,17.4,3.7,3.1,0.9,0.2,0.445,0.39799999999999996,0.907,0.4
9,Tony Allen,0.805,18.3,6.6,2.2,1.5,0.8,0.3,0.434,0.316,0.762,0.7
10,Lance Allred,0.5489999999999999,3.3,1.0,0.3,0.0,0.0,0.0,0.25,0.0,0.5,9.7
11,Morris Almond,0.659,4.3,1.4,0.2,0.3,0.1,0.0,0.267,0.25,0.667,2.7
12,Rafer Alston,0.6709999999999999,34.1,13.1,3.5,5.3,1.3,0.2,0.39399999999999996,0.35100000000000003,0.715,0.0
13,Lou Amundson,0.488,4.0,1.1,0.8,0.0,0.1,0.1,0.5,0.0,0.28600000000000003,-0.1
14,Chris Andersen,0.6829999999999999,6.8,1.2,1.8,0.0,0.0,0.8,0.28600000000000003,0.0,0.5,5.0
15,Derek Anderson,0.39,14.1,5.0,1.9,1.6,0.4,0.0,0.376,0.365,0.737,0.1
16,Carmelo Anthony,0.61,36.4,25.7,7.4,3.4,1.3,0.5,0.49200000000000005,0.354,0.7859999999999999,0.0
17,Joel Anthony,0.183,20.8,3.5,3.9,0.1,0.4,1.3,0.467,0.0,0.5920000000000001,0.3
18,Gilbert Arenas,0.524,32.7,19.4,3.9,5.1,1.8,0.1,0.39799999999999996,0.282,0.7709999999999999,8.2
19,Trevor Ariza,0.634,10.5,3.3,2.2,0.7,0.5,0.3,0.452,0.0,0.5329999999999999,0.6
20,Trevor Ariza,0.695,18.0,6.5,3.5,1.5,1.1,0.3,0.524,0.33299999999999996,0.6829999999999999,0.6
