,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Kareem Abdul-Jabbar*,0.659,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0.0,0.7659999999999999,14.3
1,Tom Abernethy,0.47600000000000003,3.9,0.4,0.8,0.1,0.1,0.0,0.33299999999999996,0.0,0.667,0.4
2,Tom Abernethy,0.537,8.9,2.0,1.4,0.6,0.2,0.1,0.429,0.0,0.579,0.0
3,Alvan Adams,0.695,27.4,14.9,7.3,4.6,1.4,0.9,0.526,0.0,0.768,0.4
4,Darrell Allums,0.183,12.5,2.7,3.0,1.1,0.2,0.4,0.34299999999999997,0.0,0.591,7.7
5,Tiny Archibald*,0.7559999999999999,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0.0,0.816,-0.3
6,Dennis Awtrey,0.415,12.9,2.2,2.3,1.1,0.3,0.2,0.473,0.0,0.7,6.9
7,James Bailey,0.415,31.0,14.0,7.4,1.2,0.9,1.7,0.499,0.5,0.7090000000000001,0.6
8,Greg Ballard,0.47600000000000003,31.8,15.5,7.1,2.4,1.4,0.5,0.46299999999999997,0.21899999999999997,0.847,4.9
9,Mike Bantom,0.537,31.3,14.0,5.6,3.2,1.1,1.1,0.489,0.0,0.708,6.9
10,Billy Ray Bates,0.5489999999999999,20.3,13.8,2.0,2.5,1.1,0.1,0.48700000000000004,0.259,0.8540000000000001,4.4
11,Mel Bennett,0.341,11.2,3.8,3.3,0.5,0.1,0.4,0.433,0.0,0.654,3.6
12,Kent Benson,0.256,33.2,15.7,6.8,2.9,1.2,1.1,0.473,0.0,0.772,0.3
13,Henry Bibby,0.439,15.2,4.6,1.0,2.7,0.6,0.0,0.386,0.337,0.684,3.1
14,Larry Bird*,0.7559999999999999,39.5,21.2,10.9,5.5,2.0,0.8,0.478,0.27,0.863,1.0
15,Otis Birdsong,0.488,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.28600000000000003,0.6970000000000001,10.8
16,Norman Black,0.256,9.3,2.7,0.7,0.7,0.3,0.0,0.3,0.0,0.25,8.2
17,Ron Boone,0.341,22.0,7.8,1.6,3.1,0.6,0.2,0.431,0.282,0.7979999999999999,-0.1
18,Winford Boynes,0.183,17.2,6.5,1.7,0.8,0.5,0.4,0.387,0.0,0.818,-0.6
19,Dudley Bradley,0.537,22.8,8.0,2.4,2.3,2.3,0.5,0.474,0.125,0.7020000000000001,-1.4
20,Mike Bratz,0.341,32.4,10.0,2.5,5.7,1.7,0.2,0.39,0.337,0.8109999999999999,3.9
21,Jim Brewer,0.659,14.2,2.8,3.6,0.7,0.6,0.7,0.513,0.0,0.375,2.1
22,Ron Brewer,0.5489999999999999,18.9,7.5,1.1,1.9,1.2,0.3,0.386,0.33299999999999996,0.765,2.2
23,Ron Brewer,0.634,19.7,9.2,1.2,2.0,0.6,0.5,0.46799999999999997,0.0,0.813,1.4
24,Junior Bridgeman,0.732,28.8,16.8,3.8,3.0,1.1,0.4,0.48700000000000004,0.14300000000000002,0.884,-0.1
25,Allan Bristow,0.341,24.4,8.7,5.2,4.7,0.8,0.0,0.444,0.278,0.838,1.5
26,Dave Britton,0.47600000000000003,4.5,2.0,1.0,1.5,0.5,0.0,0.667,0.0,0.0,6.7
27,Michael Brooks,0.439,30.2,14.7,5.4,2.5,1.2,0.4,0.479,0.0,0.706,2.7
28,Fred Brown,0.415,25.5,15.5,2.2,3.0,1.1,0.2,0.488,0.359,0.8320000000000001,0.0
29,Lewis Brown,0.47600000000000003,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,4.9
30,Rickey Brown,0.47600000000000003,12.9,4.0,3.7,0.5,0.2,0.3,0.512,0.0,0.762,5.2
31,Joe Bryant,0.439,28.8,11.6,5.4,2.3,0.9,0.4,0.479,0.133,0.7909999999999999,-0.1
32,Quinn Buckner,0.732,29.1,13.3,3.6,4.7,2.4,0.0,0.493,0.16699999999999998,0.7340000000000001,0.9
