,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Tariq Abdul-Wahad,0.732,14.6,4.1,2.9,1.5,0.4,0.2,0.466,0.0,0.5,0.4
1,Shareef Abdur-Rahim,0.42700000000000005,38.1,19.9,8.4,3.0,1.1,0.5,0.478,0.35,0.841,9.7
2,Courtney Alexander,0.573,20.6,7.9,1.8,1.2,0.5,0.1,0.382,0.33299999999999996,0.8079999999999999,1.1
3,Malik Allen,0.305,29.0,9.6,5.3,0.7,0.5,1.0,0.424,0.0,0.802,0.9
4,Ray Allen*,0.512,35.8,21.3,4.6,3.5,1.2,0.2,0.43700000000000006,0.395,0.9129999999999999,9.1
5,Ray Allen*,0.488,41.3,24.5,5.6,5.9,1.6,0.1,0.441,0.35100000000000003,0.92,4.3
6,Rafer Alston,0.293,20.9,7.8,2.3,4.1,0.8,0.3,0.415,0.392,0.685,4.8
7,John Amaechi,0.573,9.5,2.0,1.5,0.4,0.3,0.1,0.314,0.0,0.48100000000000004,1.2
8,Chris Andersen,0.207,15.4,5.2,4.6,0.5,0.5,1.0,0.4,0.0,0.55,-0.7
9,Derek Anderson,0.61,33.6,13.9,3.5,4.3,1.2,0.2,0.42700000000000005,0.35,0.8590000000000001,1.1
10,Kenny Anderson,0.488,18.1,6.1,2.3,3.2,1.1,0.0,0.44,0.0,0.8290000000000001,8.1
11,Kenny Anderson,0.573,19.4,6.0,2.0,3.3,0.8,0.2,0.40700000000000003,0.5,0.727,1.6
12,Shandon Anderson,0.451,21.1,8.4,3.1,1.1,0.9,0.2,0.462,0.371,0.732,1.5
13,Robert Archibald,0.341,6.0,1.6,1.4,0.3,0.0,0.3,0.3,0.0,0.389,0.1
14,Gilbert Arenas,0.46299999999999997,35.0,18.3,4.7,6.3,1.5,0.2,0.431,0.348,0.7909999999999999,2.7
15,Brandon Armstrong,0.598,4.1,1.4,0.2,0.1,0.2,0.1,0.33299999999999996,0.16699999999999998,0.833,-0.2
16,Darrell Armstrong,0.512,28.7,9.4,3.6,3.9,1.6,0.2,0.409,0.336,0.878,6.5
17,Carlos Arroyo,0.573,6.5,2.8,0.6,1.2,0.3,0.0,0.45899999999999996,0.429,0.818,-0.1
18,Chucky Atkins,0.61,21.5,7.1,1.5,2.7,0.4,0.1,0.361,0.355,0.816,4.9
19,Stacey Augmon,0.573,12.3,3.0,1.7,1.0,0.4,0.1,0.41100000000000003,0.0,0.75,0.3
20,Dalibor Bagarić,0.366,7.6,1.9,2.0,0.4,0.3,0.3,0.308,0.0,0.75,1.5
21,Vin Baker,0.537,18.1,5.2,3.8,0.6,0.4,0.6,0.478,0.0,0.6729999999999999,1.2
22,Brent Barry,0.488,33.1,10.3,4.0,5.1,1.5,0.2,0.45799999999999996,0.40299999999999997,0.795,-0.1
23,Jon Barry,0.61,18.4,6.9,2.3,2.6,0.8,0.2,0.45,0.40700000000000003,0.86,1.6
24,Maceo Baston,0.293,6.6,2.5,1.4,0.0,0.3,0.7,0.6,0.0,0.833,7.3
25,Mengke Bateer,0.732,3.8,0.8,0.8,0.3,0.0,0.0,0.235,0.33299999999999996,0.0,5.6
26,Mike Batiste,0.341,16.6,6.4,3.4,0.7,0.6,0.2,0.42200000000000004,0.222,0.784,0.3
27,Tony Battie,0.537,25.1,7.3,6.5,0.7,0.5,1.2,0.539,0.2,0.746,-0.2
28,Shane Battier,0.341,30.6,9.7,4.4,1.3,1.3,1.1,0.483,0.39799999999999996,0.828,0.8
29,Lonny Baxter,0.366,12.4,4.8,3.0,0.3,0.2,0.4,0.466,0.0,0.68,5.8
30,Raja Bell,0.732,15.6,3.1,1.9,0.8,0.7,0.1,0.441,0.41200000000000003,0.6759999999999999,6.2
31,Jonathan Bender,0.585,17.8,6.6,2.9,0.9,0.2,1.2,0.441,0.358,0.7140000000000001,0.9
32,Corey Benjamin,0.42700000000000005,16.9,4.4,3.4,1.1,0.1,0.2,0.302,0.154,0.75,1.7
33,Travis Best,0.305,25.1,8.4,2.0,3.5,0.6,0.1,0.396,0.33,0.8540000000000001,1.7
34,Mike Bibby,0.72,33.4,15.9,2.7,5.2,1.3,0.1,0.47,0.409,0.861,0.0
35,Chauncey Billups,0.61,31.4,16.2,3.7,3.9,0.9,0.2,0.42100000000000004,0.392,0.878,1.8
36,Corie Blount,0.366,16.7,3.0,4.1,1.0,0.7,0.4,0.485,0.0,0.5710000000000001,5.6
37,Mark Blount,0.207,16.4,5.2,3.4,0.6,0.4,0.9,0.39299999999999996,0.0,0.7170000000000001,9.9
38,Mark Blount,0.537,19.2,4.4,4.6,0.8,0.7,0.6,0.563,0.0,0.75,1.1
39,Calvin Booth,0.488,12.2,2.9,2.3,0.3,0.2,0.7,0.43700000000000006,0.0,0.723,1.7
40,Carlos Boozer,0.207,25.3,10.0,7.5,1.3,0.7,0.6,0.536,0.0,0.7709999999999999,0.4
41,Ruben Boumtje-Boumtje,0.61,2.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.4
42,Bruce Bowen,0.732,31.3,7.1,2.9,1.4,0.8,0.5,0.466,0.441,0.40399999999999997,0.8
43,Ryan Bowen,0.207,16.1,3.6,2.5,0.9,1.0,0.5,0.49200000000000005,0.28600000000000003,0.659,5.9
44,Earl Boykins,0.46299999999999997,19.4,8.8,1.3,3.3,0.6,0.1,0.429,0.377,0.865,0.0
45,Michael Bradley,0.293,19.6,5.0,6.1,1.0,0.2,0.5,0.48100000000000004,0.16699999999999998,0.522,5.1
46,Shawn Bradley,0.732,21.4,6.7,5.9,0.7,0.8,2.1,0.536,0.0,0.8059999999999999,2.1
47,Elton Brand,0.32899999999999996,39.6,18.5,11.3,2.5,1.1,2.5,0.502,0.0,0.685,3.5
48,J.R. Bremer,0.537,23.5,8.3,2.3,2.6,0.6,0.0,0.369,0.353,0.7659999999999999,1.5
49,Jamison Brewer,0.585,8.0,2.2,0.9,1.8,0.2,0.1,0.529,0.0,0.444,7.4
50,Primož Brezec,0.585,5.0,1.9,1.0,0.2,0.1,0.2,0.395,0.0,0.6,7.6
51,Damone Brown,0.293,23.0,5.6,3.0,0.6,0.2,0.0,0.314,0.0,0.75,3.0
52,Devin Brown,0.732,3.1,1.7,1.0,0.3,0.0,0.0,0.5,0.0,1.0,0.2
53,Devin Brown,0.207,23.7,6.0,3.7,1.7,1.3,0.3,0.28,0.0,0.667,0.1
54,Kedrick Brown,0.537,13.1,2.8,2.7,0.4,0.7,0.3,0.35700000000000004,0.077,0.625,-0.2
55,Kwame Brown,0.451,22.2,7.4,5.3,0.7,0.6,1.0,0.446,0.0,0.6679999999999999,-0.1
56,P.J. Brown,0.573,33.4,10.7,9.0,1.9,0.9,1.0,0.531,0.0,0.836,0.0
57,Randy Brown,0.537,8.2,1.3,0.8,1.1,0.5,0.1,0.37200000000000005,0.0,0.75,-0.1
58,Tierre Brown,0.207,11.2,4.3,2.0,2.6,0.9,0.0,0.45799999999999996,0.0,0.7859999999999999,0.5
59,Rick Brunson,0.366,11.5,3.5,1.1,2.1,0.6,0.2,0.46,0.667,0.833,2.5
60,Kobe Bryant*,0.61,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.38299999999999995,0.843,10.2
61,Mark Bryant,0.585,7.0,1.1,1.5,0.1,0.1,0.1,0.294,0.0,1.0,0.2
62,Mark Bryant,0.207,4.7,0.3,0.7,0.7,0.0,0.0,0.0,0.0,0.5,0.2
63,Mark Bryant,0.537,4.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3
64,Greg Buckner,0.585,20.2,6.0,2.9,1.3,1.0,0.2,0.465,0.273,0.802,14.9
65,Pat Burke,0.512,12.6,4.3,2.4,0.4,0.3,0.4,0.382,0.14300000000000002,0.69,-0.1
66,Caron Butler,0.305,36.6,15.4,5.1,2.7,1.8,0.4,0.41600000000000004,0.318,0.8240000000000001,-0.1
67,Rasual Butler,0.305,21.0,7.5,2.6,1.3,0.3,0.6,0.36200000000000004,0.292,0.731,0.0
68,Jason Caffey,0.512,17.5,5.8,3.5,0.7,0.4,0.3,0.456,0.0,0.6509999999999999,0.0
69,Marcus Camby,0.207,21.2,7.6,7.2,1.6,0.7,1.4,0.41,0.4,0.66,3.1
70,Elden Campbell,0.573,16.7,7.2,3.5,1.0,0.6,0.8,0.409,0.0,0.809,-0.3
71,Elden Campbell,0.488,12.3,3.2,2.6,0.6,0.6,0.5,0.33299999999999996,0.0,0.762,5.1
72,Brian Cardinal,0.451,3.0,0.8,1.0,0.2,0.0,0.0,0.25,0.0,1.0,0.1
73,Anthony Carter,0.305,18.6,4.1,1.7,4.1,0.9,0.1,0.35600000000000004,0.0,0.66,0.6
74,Vince Carter,0.293,34.2,20.6,4.4,3.3,1.1,1.0,0.467,0.344,0.8059999999999999,1.5
75,Sam Cassell,0.512,34.6,19.7,4.4,5.8,1.1,0.2,0.47,0.36200000000000004,0.861,2.0
76,Kelvin Cato,0.524,17.1,4.5,5.9,0.3,0.5,1.2,0.52,0.0,0.532,1.7
77,Tyson Chandler,0.366,24.4,9.2,6.9,1.0,0.5,1.4,0.531,0.0,0.608,0.2
78,Calbert Cheaney,0.573,29.0,8.6,3.5,2.0,0.8,0.2,0.499,0.4,0.58,0.0
79,Chris Childs,0.598,8.8,1.3,0.4,1.3,0.7,0.1,0.3,0.16699999999999998,0.667,-0.2
80,Doug Christie,0.72,33.9,9.4,4.3,4.7,2.3,0.5,0.479,0.395,0.81,4.2
81,Keon Clark,0.72,22.3,6.7,5.6,1.0,0.5,1.9,0.501,0.0,0.6559999999999999,9.6
82,Speedy Claxton,0.732,15.7,5.8,1.9,2.5,0.7,0.2,0.462,0.0,0.684,3.8
83,Mateen Cleaves,0.72,4.6,1.3,0.7,0.8,0.2,0.0,0.261,1.0,0.75,3.9
84,Derrick Coleman,0.585,27.2,9.4,7.0,1.4,0.8,1.1,0.44799999999999995,0.32799999999999996,0.784,2.8
85,Bimbo Coles,0.207,24.6,4.9,2.3,2.7,0.5,0.2,0.28600000000000003,0.28,0.794,0.1
86,Bimbo Coles,0.537,12.5,3.7,0.8,1.1,0.4,0.0,0.449,0.0,1.0,8.9
87,Jason Collier,0.524,8.0,2.8,2.2,0.1,0.2,0.1,0.47200000000000003,0.0,1.0,4.7
88,Jarron Collins,0.573,19.1,5.5,2.7,0.6,0.2,0.3,0.442,0.0,0.71,1.2
89,Jason Collins,0.598,23.5,5.7,4.5,1.1,0.6,0.5,0.414,0.0,0.763,-0.4
90,Chris Crawford,0.42700000000000005,7.6,4.8,1.4,0.2,0.4,0.6,0.615,0.33299999999999996,0.875,4.5
91,Jamal Crawford,0.366,24.9,10.7,2.3,4.2,1.0,0.3,0.413,0.355,0.8059999999999999,0.0
92,Austin Croshere,0.585,12.9,5.1,3.2,1.1,0.1,0.3,0.41100000000000003,0.391,0.815,-0.1
93,John Crotty,0.207,15.0,3.4,1.3,2.4,0.3,0.0,0.341,0.308,0.6,0.1
94,Eddy Curry,0.366,19.4,10.5,4.4,0.5,0.2,0.8,0.585,0.0,0.624,0.3
95,Michael Curry,0.61,19.9,3.0,1.6,1.3,0.6,0.1,0.402,0.29600000000000004,0.8,0.7
96,Erick Dampier,0.46299999999999997,24.1,8.2,6.6,0.7,0.3,1.9,0.496,0.0,0.698,4.7
97,Antonio Daniels,0.61,13.0,3.7,1.1,1.3,0.5,0.1,0.452,0.305,0.855,0.2
98,Antonio Davis,0.293,35.7,13.9,8.2,2.5,0.4,1.2,0.40700000000000003,0.0,0.7709999999999999,2.8
99,Baron Davis,0.573,37.8,17.1,3.7,6.4,1.8,0.4,0.41600000000000004,0.35,0.71,2.0
100,Dale Davis,0.61,29.3,7.4,7.2,1.2,0.7,0.9,0.541,0.0,0.633,0.1
101,Emanual Davis,0.42700000000000005,14.2,3.7,1.8,1.5,0.5,0.1,0.364,0.24100000000000002,0.773,3.5
102,Hubert Davis,0.61,7.6,1.8,0.8,0.7,0.1,0.0,0.392,0.33299999999999996,0.833,2.0
103,Ricky Davis,0.207,39.6,20.6,4.9,5.5,1.6,0.5,0.41,0.363,0.748,4.1
104,Andrew DeClercq,0.512,17.2,4.7,4.4,0.7,0.5,0.5,0.534,0.0,0.644,2.3
105,Tony Delk,0.537,28.0,9.8,3.5,2.2,1.1,0.1,0.41600000000000004,0.395,0.782,2.2
106,Dan Dickau,0.42700000000000005,10.3,3.7,0.9,1.7,0.3,0.0,0.41200000000000003,0.361,0.8079999999999999,4.5
107,Michael Dickerson,0.341,14.5,4.8,1.0,1.3,0.8,0.2,0.41700000000000004,0.364,1.0,6.9
108,DeSagana Diop,0.207,11.8,1.5,2.7,0.5,0.4,1.0,0.35100000000000003,0.0,0.36700000000000005,-0.1
109,Vlade Divac*,0.72,29.8,9.9,7.2,3.4,1.0,1.3,0.466,0.24,0.713,0.5
110,Juan Dixon,0.451,15.4,6.4,1.7,1.0,0.6,0.1,0.384,0.298,0.804,3.0
111,Michael Doleac,0.451,13.9,4.4,2.9,0.6,0.2,0.2,0.426,0.0,0.7829999999999999,2.6
112,Keyon Dooling,0.32899999999999996,17.6,6.4,1.3,1.6,0.4,0.1,0.389,0.36,0.772,4.6
113,Bryce Drew,0.573,6.1,1.5,1.0,0.8,0.2,0.0,0.29600000000000004,0.429,0.0,0.0
114,Predrag Drobnjak,0.488,24.2,9.4,3.9,1.0,0.6,0.5,0.41200000000000003,0.353,0.7909999999999999,0.1
115,Chris Dudley,0.61,3.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
116,Tim Duncan*,0.732,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,7.0
117,Mike Dunleavy,0.46299999999999997,15.9,5.7,2.6,1.3,0.6,0.2,0.40299999999999997,0.34700000000000003,0.78,0.1
118,Howard Eisley,0.451,27.4,9.1,2.3,5.4,0.9,0.1,0.41700000000000004,0.389,0.848,0.3
119,LaPhonso Ellis,0.305,14.3,5.0,2.9,0.3,0.3,0.3,0.382,0.252,0.758,0.3
120,Melvin Ely,0.32899999999999996,15.4,4.5,3.3,0.3,0.2,0.6,0.495,0.0,0.703,0.0
121,Evan Eschmeyer,0.732,7.9,1.0,1.7,0.4,0.6,0.4,0.368,0.0,0.75,2.4
122,Reggie Evans,0.488,20.4,3.2,6.6,0.5,0.6,0.2,0.47100000000000003,0.0,0.519,0.0
123,Danny Ferry,0.732,9.4,1.9,1.2,0.3,0.1,0.1,0.355,0.35,0.769,16.5
124,Michael Finley,0.732,38.3,19.3,5.8,3.0,1.1,0.3,0.425,0.37,0.861,1.5
125,Derek Fisher,0.61,34.5,10.5,2.9,3.6,1.1,0.2,0.43700000000000006,0.401,0.8,4.5
126,Marcus Fizer,0.366,21.3,11.7,5.7,1.3,0.4,0.4,0.465,0.16699999999999998,0.657,1.1
127,Alton Ford,0.537,2.8,0.6,0.5,0.1,0.0,0.0,0.33299999999999996,0.0,0.33299999999999996,0.8
128,Joseph Forte,0.488,5.1,1.4,0.6,0.6,0.2,0.0,0.28600000000000003,0.0,0.667,0.2
129,Danny Fortson,0.46299999999999997,13.1,3.5,4.3,0.7,0.5,0.0,0.37,0.0,0.655,3.0
130,Greg Foster,0.293,18.6,4.2,3.5,0.4,0.0,0.3,0.385,0.25,0.813,0.3
131,Jeff Foster,0.585,10.4,2.1,3.6,0.7,0.4,0.3,0.36,0.0,0.54,6.7
132,Tremaine Fowlkes,0.32899999999999996,15.5,4.4,2.8,0.6,0.7,0.1,0.43799999999999994,0.222,0.847,5.2
133,Rick Fox,0.61,28.7,9.0,4.3,3.3,0.9,0.2,0.42200000000000004,0.375,0.754,1.4
134,Adonal Foyle,0.46299999999999997,21.8,5.4,6.0,0.5,0.5,2.5,0.536,0.0,0.6729999999999999,-0.1
135,Steve Francis,0.524,41.0,21.0,6.2,6.2,1.7,0.5,0.435,0.354,0.8,-0.3
136,Lawrence Funderburke,0.72,8.5,2.7,2.0,0.3,0.0,0.4,0.444,0.0,0.588,0.2
137,Dan Gadzuric,0.512,15.5,3.4,4.0,0.2,0.4,1.1,0.483,0.0,0.518,-0.3
138,Kevin Garnett*,0.622,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.7509999999999999,1.6
139,Pat Garrity,0.512,31.9,10.7,3.8,1.5,0.8,0.2,0.419,0.396,0.83,1.2
140,Pau Gasol,0.341,36.0,19.0,8.8,2.8,0.4,1.8,0.51,0.1,0.736,3.6
141,Devean George,0.61,22.7,6.9,4.0,1.3,0.8,0.5,0.39,0.371,0.79,4.0
142,Kendall Gill,0.622,25.2,8.7,3.0,1.9,1.0,0.2,0.42200000000000004,0.322,0.764,11.1
143,Manu Ginóbili,0.732,20.7,7.6,2.3,2.0,1.4,0.2,0.43799999999999994,0.345,0.737,0.5
144,Gordan Giriček,0.341,24.2,11.2,2.2,1.4,0.4,0.1,0.433,0.354,0.8220000000000001,1.2
145,Gordan Giriček,0.512,35.6,14.3,4.8,2.5,1.1,0.1,0.44,0.32799999999999996,0.816,15.6
146,Dion Glover,0.42700000000000005,24.9,9.7,3.7,1.9,0.9,0.2,0.42700000000000005,0.354,0.784,4.9
147,Anthony Goldwire,0.732,5.1,1.2,0.3,0.3,0.3,0.0,0.278,0.25,0.0,8.5
148,Anthony Goldwire,0.451,6.8,2.6,0.6,0.2,0.0,0.0,0.5710000000000001,1.0,0.8,2.7
149,Drew Gooden,0.341,26.1,12.1,5.8,1.2,0.7,0.4,0.44299999999999995,0.304,0.6970000000000001,1.9
150,Drew Gooden,0.512,28.6,13.6,8.4,1.1,0.8,0.7,0.498,0.0,0.738,4.2
151,Brian Grant,0.305,32.2,10.3,10.2,1.3,0.8,0.6,0.509,0.0,0.7709999999999999,1.6
152,Horace Grant,0.512,17.0,5.2,1.6,1.4,0.6,0.0,0.52,0.0,0.0,0.0
153,Adrian Griffin,0.732,18.6,4.4,3.6,1.4,1.0,0.1,0.433,0.25,0.8440000000000001,1.7
154,Eddie Griffin,0.524,24.5,8.6,6.0,1.1,0.7,1.4,0.4,0.33299999999999996,0.617,2.6
155,Tom Gugliotta,0.537,16.6,4.8,3.7,1.1,0.5,0.2,0.455,0.0,1.0,-0.1
156,A.J. Guyton,0.46299999999999997,4.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-0.1
157,Marcus Haislip,0.512,11.3,4.1,1.4,0.2,0.2,0.5,0.431,0.25,0.684,0.0
158,Darvin Ham,0.42700000000000005,12.3,2.4,2.0,0.5,0.2,0.3,0.447,0.0,0.48100000000000004,1.7
159,Richard Hamilton,0.61,32.2,19.7,3.9,2.5,0.8,0.2,0.44299999999999995,0.26899999999999996,0.833,0.4
160,Zendon Hamilton,0.293,4.0,2.0,1.3,0.0,0.3,0.0,0.4,0.0,1.0,1.3
161,Anfernee Hardaway,0.537,30.6,10.6,4.4,4.1,1.1,0.4,0.447,0.35600000000000004,0.794,7.7
162,Tim Hardaway,0.585,12.7,4.9,1.5,2.4,0.9,0.0,0.36700000000000005,0.355,0.5,0.2
163,Matt Harpring,0.573,32.8,17.6,6.6,1.7,0.9,0.2,0.511,0.413,0.792,2.9
164,Adam Harrington,0.732,2.8,0.8,0.2,0.2,0.1,0.1,0.235,0.33299999999999996,1.0,3.9
165,Adam Harrington,0.207,12.3,3.2,1.0,1.7,0.2,0.0,0.35,0.364,0.5,0.4
166,Al Harrington,0.585,30.1,12.2,6.2,1.5,0.9,0.4,0.434,0.28300000000000003,0.77,-0.1
167,Junior Harrington,0.207,24.4,5.1,3.0,3.4,1.0,0.2,0.36200000000000004,0.25,0.652,0.0
168,Othella Harrington,0.451,25.0,7.7,6.4,0.8,0.2,0.3,0.508,0.0,0.82,-0.4
169,Lucious Harris,0.598,25.6,10.3,3.0,2.0,0.7,0.1,0.413,0.34600000000000003,0.804,7.3
170,Antonio Harvey,0.42700000000000005,8.0,1.0,1.5,0.0,0.3,1.0,0.4,0.0,0.0,0.0
171,Donnell Harvey,0.207,20.9,7.9,5.3,1.3,0.6,0.4,0.446,0.14300000000000002,0.67,2.3
172,Trenton Hassell,0.366,24.4,4.2,3.1,1.8,0.5,0.7,0.36700000000000005,0.325,0.745,0.2
173,Kirk Haston,0.573,4.8,0.5,0.6,0.3,0.0,0.4,0.11800000000000001,0.0,0.5,8.8
174,Juaquin Hawkins,0.524,11.8,2.3,1.3,0.8,0.5,0.1,0.385,0.41700000000000004,0.5,0.0
175,Brendan Haywood,0.451,23.8,6.2,5.0,0.4,0.4,1.5,0.51,0.0,0.633,-0.1
