,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Mahmoud Abdul-Rauf,0.28,11.9,6.5,0.6,1.9,0.2,0.0,0.488,0.28600000000000003,0.759,0.7
1,Tariq Abdul-Wahad,0.488,14.5,3.8,2.0,0.8,0.5,0.4,0.387,0.4,0.583,-0.4
2,Shareef Abdur-Rahim,0.28,40.0,20.5,9.1,3.1,1.1,1.0,0.47200000000000003,0.188,0.8340000000000001,8.5
3,Cory Alexander,0.524,8.7,2.0,1.0,1.4,0.6,0.0,0.321,0.25,0.667,-0.1
4,Courtney Alexander,0.6459999999999999,12.4,4.2,1.7,0.6,0.4,0.1,0.348,0.3,0.733,0.8
5,Courtney Alexander,0.23199999999999998,33.7,17.0,3.0,1.5,1.1,0.1,0.44799999999999995,0.389,0.857,-0.1
6,Ray Allen*,0.634,38.2,22.0,5.2,4.6,1.5,0.2,0.48,0.433,0.888,0.9
7,Rafer Alston,0.634,7.8,2.1,0.8,1.8,0.4,0.0,0.35700000000000004,0.267,0.6920000000000001,13.7
8,John Amaechi,0.524,20.9,7.9,3.3,0.9,0.3,0.4,0.4,0.0,0.631,0.3
9,Derek Anderson,0.7070000000000001,34.9,15.5,4.4,3.7,1.5,0.2,0.41600000000000004,0.39899999999999997,0.851,0.0
10,Kenny Anderson,0.439,25.7,7.5,2.2,4.1,1.3,0.1,0.38799999999999996,0.33299999999999996,0.831,9.9
11,Nick Anderson,0.6709999999999999,8.0,1.8,1.2,0.6,0.5,0.2,0.24600000000000002,0.256,0.0,1.1
12,Shandon Anderson,0.5489999999999999,29.2,8.7,4.1,2.3,1.0,0.5,0.446,0.271,0.7340000000000001,0.0
13,Greg Anthony,0.61,14.8,4.9,1.1,1.4,0.7,0.1,0.38299999999999995,0.409,0.657,3.9
14,Darrell Armstrong,0.524,36.9,15.9,4.6,7.0,1.8,0.2,0.41200000000000003,0.355,0.884,1.6
15,Chucky Atkins,0.39,29.2,12.0,2.1,4.1,0.8,0.1,0.39899999999999997,0.35700000000000004,0.6920000000000001,8.7
16,Stacey Augmon,0.61,17.9,4.7,2.4,1.5,0.7,0.3,0.47700000000000004,0.0,0.655,2.8
