,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Tariq Abdul-Wahad,0.32899999999999996,20.9,6.8,3.9,1.1,0.9,0.5,0.379,0.5,0.75,0.0
1,Tariq Abdul-Wahad,0.695,6.0,0.0,1.5,0.5,0.5,0.3,0.0,0.0,0.0,0.0
2,Shareef Abdur-Rahim,0.402,38.7,21.2,9.0,3.1,1.3,1.1,0.461,0.3,0.8009999999999999,-0.1
3,Courtney Alexander,0.451,23.7,9.8,2.6,1.5,0.6,0.1,0.47,0.278,0.81,7.2
4,Victor Alexander,0.61,6.5,2.7,1.9,0.4,0.0,0.1,0.353,0.0,0.5,2.2
5,Malik Allen,0.439,13.4,4.3,3.2,0.4,0.3,0.7,0.431,0.0,0.8,-0.1
6,Ray Allen*,0.5,36.6,21.8,4.5,3.9,1.3,0.3,0.462,0.434,0.873,0.5
7,Rafer Alston,0.5,12.0,3.5,1.4,2.9,0.6,0.0,0.34600000000000003,0.38,0.621,8.9
8,John Amaechi,0.537,10.9,3.2,2.0,0.5,0.1,0.2,0.325,0.0,0.638,0.7
9,Chris Andersen,0.32899999999999996,10.9,3.0,3.2,0.3,0.3,1.2,0.33799999999999997,0.0,0.7859999999999999,-0.7
10,Derek Anderson,0.598,26.6,10.8,2.7,3.1,1.0,0.1,0.40399999999999997,0.373,0.856,0.3
11,Kenny Anderson,0.598,32.0,9.6,3.6,5.3,1.9,0.1,0.436,0.273,0.742,5.3
12,Nick Anderson,0.28,14.6,4.0,2.2,0.9,0.4,0.4,0.276,0.271,0.556,5.2
13,Shandon Anderson,0.366,19.5,5.0,3.0,0.9,0.6,0.2,0.39899999999999997,0.27699999999999997,0.6920000000000001,-0.4
14,Greg Anthony,0.256,26.7,8.4,2.4,5.6,1.4,0.1,0.39399999999999996,0.322,0.6709999999999999,0.4
15,Greg Anthony,0.5,23.0,7.2,1.8,3.3,1.2,0.0,0.37200000000000005,0.26,0.619,1.1
16,Gilbert Arenas,0.256,24.6,10.9,2.8,3.7,1.5,0.2,0.45299999999999996,0.345,0.775,1.2
17,Brandon Armstrong,0.634,5.6,1.8,0.5,0.2,0.2,0.0,0.318,0.294,0.5,0.0
18,Darrell Armstrong,0.537,33.3,12.4,3.9,5.5,1.9,0.1,0.419,0.349,0.888,2.7
19,Carlos Arroyo,0.512,5.6,1.8,0.7,1.2,0.4,0.0,0.44799999999999995,0.0,0.667,-0.2
20,Carlos Arroyo,0.32899999999999996,13.8,4.1,1.4,2.5,0.3,0.1,0.439,0.0,0.75,7.6
21,Chucky Atkins,0.61,28.9,12.1,2.0,3.3,0.9,0.1,0.466,0.41100000000000003,0.6920000000000001,0.4
22,Stacey Augmon,0.537,17.1,4.6,2.9,1.3,0.7,0.2,0.42700000000000005,0.0,0.762,0.0
23,Isaac Austin,0.28,14.6,3.6,3.4,0.6,0.4,0.2,0.391,0.0,1.0,0.3
24,William Avery,0.61,9.2,2.5,0.9,1.3,0.3,0.0,0.289,0.171,0.684,5.1
25,Dalibor Bagarić,0.256,12.8,3.7,3.2,0.5,0.3,0.5,0.40399999999999997,0.0,0.586,2.3
26,Vin Baker,0.5489999999999999,31.1,14.1,6.4,1.3,0.4,0.7,0.485,0.125,0.633,0.0
27,Erick Barkley,0.598,12.0,3.1,0.9,1.8,0.9,0.1,0.353,0.14300000000000002,0.9,-0.4
28,Dana Barros,0.61,20.1,6.7,2.0,2.7,0.5,0.1,0.385,0.33799999999999997,0.778,-0.1
29,Brent Barry,0.5489999999999999,37.5,14.4,5.4,5.3,1.8,0.5,0.508,0.424,0.846,2.2
