,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Arron Afflalo,0.6459999999999999,27.1,8.8,3.1,1.7,0.6,0.4,0.465,0.434,0.735,4.3
1,Alexis Ajinça,0.537,5.0,1.7,0.7,0.0,0.2,0.2,0.5,0.0,0.0,0.0
2,LaMarcus Aldridge,0.61,37.5,17.9,8.0,2.1,0.9,0.6,0.495,0.313,0.757,8.8
3,Joe Alexander,0.5,3.6,0.5,0.6,0.3,0.1,0.1,0.16699999999999998,0.0,0.667,0.0
4,Malik Allen,0.6459999999999999,8.9,2.1,1.6,0.3,0.2,0.1,0.397,0.16699999999999998,0.9229999999999999,0.1
5,Ray Allen*,0.61,35.2,16.3,3.2,2.6,0.8,0.3,0.47700000000000004,0.363,0.9129999999999999,7.9
6,Tony Allen,0.61,16.5,6.1,2.7,1.3,1.1,0.4,0.51,0.0,0.605,1.9
7,Rafer Alston,0.146,28.4,9.7,2.8,3.9,1.0,0.2,0.34299999999999997,0.322,0.815,-0.4
8,Rafer Alston,0.573,26.2,6.6,2.2,2.9,0.9,0.2,0.355,0.37,0.556,-0.8
9,Lou Amundson,0.659,14.8,4.7,4.4,0.4,0.3,0.9,0.551,0.0,0.545,0.4
10,Chris Andersen,0.6459999999999999,22.3,5.9,6.4,0.4,0.6,1.9,0.5660000000000001,0.0,0.695,2.9
11,David Andersen,0.512,14.1,5.8,3.3,0.7,0.2,0.2,0.43200000000000005,0.34600000000000003,0.687,5.9
12,Antonio Anderson,0.61,15.0,2.0,1.0,0.0,0.0,0.0,0.33299999999999996,0.0,0.0,1.3
13,Ryan Anderson,0.72,14.5,7.7,3.2,0.6,0.4,0.2,0.436,0.37,0.866,0.0
14,Carmelo Anthony,0.6459999999999999,38.2,28.2,6.6,3.2,1.3,0.4,0.45799999999999996,0.316,0.83,3.1
15,Joel Anthony,0.573,16.5,2.7,3.1,0.2,0.3,1.4,0.478,0.0,0.7170000000000001,7.9
16,Gilbert Arenas,0.317,36.5,22.6,4.2,7.2,1.3,0.3,0.41100000000000003,0.348,0.7390000000000001,3.1
17,Trevor Ariza,0.512,36.5,14.9,5.6,3.8,1.8,0.6,0.39399999999999996,0.33399999999999996,0.649,1.8
18,Hilton Armstrong,0.451,13.3,2.8,3.4,0.9,0.4,0.4,0.38,0.0,0.46399999999999997,3.2
19,Hilton Armstrong,0.305,9.3,1.7,2.3,0.3,0.3,0.7,0.33299999999999996,0.0,1.0,-0.1
20,Hilton Armstrong,0.512,4.4,1.1,0.7,0.3,0.6,0.0,0.294,0.0,0.0,0.1
21,Carlos Arroyo,0.573,22.0,6.1,1.8,3.1,0.5,0.1,0.475,0.28,0.8440000000000001,0.0
22,Darrell Arthur,0.488,14.3,4.5,3.4,0.5,0.4,0.4,0.43200000000000005,0.0,0.5670000000000001,-0.2
23,Chucky Atkins,0.32899999999999996,16.1,4.0,0.7,2.3,0.4,0.0,0.363,0.301,0.9259999999999999,3.7
24,D.J. Augustin,0.537,18.4,6.4,1.2,2.4,0.6,0.1,0.386,0.39299999999999996,0.779,0.3
