,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Shareef Abdur-Rahim,0.537,27.2,12.3,5.0,2.1,0.7,0.6,0.525,0.22699999999999998,0.784,6.2
1,Alex Acker,0.78,7.0,1.8,1.0,0.8,0.2,0.0,0.25,0.2,0.0,-0.2
2,Malik Allen,0.5,13.0,4.9,2.6,0.4,0.3,0.3,0.49,1.0,0.605,1.0
3,Ray Allen*,0.42700000000000005,38.7,25.1,4.3,3.7,1.3,0.2,0.45399999999999996,0.41200000000000003,0.903,9.5
4,Tony Allen,0.402,19.2,7.2,2.2,1.3,1.0,0.4,0.47100000000000003,0.324,0.746,1.7
5,Rafer Alston,0.415,38.6,12.1,4.0,6.7,1.6,0.2,0.379,0.327,0.6920000000000001,3.4
6,Chris Andersen,0.46299999999999997,17.8,5.0,4.8,0.2,0.3,1.3,0.5710000000000001,0.0,0.47600000000000003,1.3
7,Alan Anderson,0.317,15.7,5.8,1.9,0.9,0.3,0.1,0.414,0.414,0.805,0.4
8,Derek Anderson,0.415,29.1,10.8,4.2,2.7,0.8,0.2,0.39299999999999996,0.284,0.836,1.6
9,Derek Anderson,0.634,20.2,5.8,2.6,2.1,0.3,0.1,0.308,0.313,0.8420000000000001,1.0
10,Shandon Anderson,0.634,13.3,2.6,1.7,0.6,0.4,0.1,0.429,0.263,0.722,0.6
11,Martynas Andriuškevičius,0.61,1.5,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.5
12,Carmelo Anthony,0.537,36.8,26.5,4.9,2.7,1.1,0.5,0.48100000000000004,0.243,0.8079999999999999,0.0
13,Rafael Araújo,0.32899999999999996,11.6,2.3,2.8,0.3,0.5,0.1,0.366,0.0,0.536,9.4
14,Gilbert Arenas,0.512,42.3,29.3,3.5,6.1,2.0,0.3,0.447,0.369,0.82,-0.8
15,Trevor Ariza,0.28,19.7,4.6,3.8,1.3,1.2,0.3,0.418,0.33299999999999996,0.545,13.6
16,Trevor Ariza,0.439,13.8,4.7,3.9,0.7,0.7,0.1,0.4,0.0,0.7,0.9
17,Darrell Armstrong,0.732,10.0,2.1,1.3,1.4,0.4,0.0,0.336,0.22899999999999998,0.7859999999999999,0.3
18,Carlos Arroyo,0.78,12.0,3.2,1.4,3.1,0.4,0.1,0.363,0.33299999999999996,0.7240000000000001,0.6
19,Carlos Arroyo,0.439,22.0,10.8,2.2,2.9,0.7,0.0,0.502,0.35700000000000004,0.81,0.0
20,Chucky Atkins,0.512,19.7,6.7,1.6,2.5,0.5,0.0,0.379,0.359,0.71,2.7
21,Chucky Atkins,0.598,27.0,11.4,1.7,3.0,0.7,0.0,0.401,0.35200000000000004,0.8109999999999999,1.0
