,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Shareef Abdur-Rahim,0.32899999999999996,34.6,16.8,7.3,2.1,0.9,0.5,0.503,0.385,0.866,5.4
1,Cory Alexander,0.22,12.6,3.1,1.8,2.3,0.6,0.1,0.327,0.42100000000000004,0.75,0.0
2,Malik Allen,0.72,17.7,5.9,3.7,0.8,0.3,0.8,0.461,0.0,0.929,1.1
3,Malik Allen,0.22,12.3,5.0,2.1,0.3,0.2,0.5,0.485,0.0,0.929,0.6
4,Ray Allen*,0.634,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,0.5
5,Tony Allen,0.5489999999999999,16.4,6.4,2.9,0.8,1.0,0.3,0.475,0.387,0.737,10.7
6,Rafer Alston,0.402,34.0,14.2,3.5,6.4,1.5,0.1,0.414,0.35700000000000004,0.74,2.7
7,Chris Andersen,0.22,21.3,7.7,6.1,1.1,0.2,1.5,0.534,0.0,0.6890000000000001,5.5
8,Derek Anderson,0.32899999999999996,26.4,9.2,2.7,3.0,0.8,0.1,0.389,0.384,0.805,4.5
9,Kenny Anderson,0.159,18.4,5.0,2.1,2.5,0.8,0.0,0.426,0.462,0.73,1.3
10,Kenny Anderson,0.451,6.5,2.0,1.3,1.3,0.0,0.0,0.364,0.0,0.0,0.2
11,Shandon Anderson,0.402,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
12,Shandon Anderson,0.72,17.7,3.9,2.9,1.1,0.6,0.2,0.456,0.179,0.818,-0.1
13,Carmelo Anthony,0.598,34.8,20.8,5.7,2.6,0.9,0.4,0.431,0.266,0.7959999999999999,2.1
14,Rafael Araújo,0.402,12.5,3.3,3.1,0.3,0.4,0.1,0.434,0.33299999999999996,0.782,-0.1
15,Gilbert Arenas,0.5489999999999999,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.8140000000000001,2.2
16,Trevor Ariza,0.402,17.3,5.9,3.0,1.1,0.9,0.2,0.442,0.231,0.695,4.9
17,Darrell Armstrong,0.22,29.4,10.1,3.4,4.6,1.1,0.1,0.33299999999999996,0.243,0.905,0.3
