,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Kareem Abdul-Jabbar*,0.7559999999999999,28.9,14.6,6.0,1.7,0.6,1.2,0.532,0.0,0.762,5.3
1,Mark Acres,0.695,14.6,3.6,3.4,0.5,0.4,0.3,0.532,0.0,0.64,2.2
2,Alvan Adams,0.341,20.1,7.5,4.5,2.2,1.0,0.5,0.496,0.5,0.8440000000000001,2.2
3,Michael Adams,0.659,33.9,13.9,2.7,6.1,2.0,0.2,0.449,0.36700000000000005,0.8340000000000001,7.5
4,Mark Aguirre,0.6459999999999999,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8
5,Danny Ainge,0.695,37.3,15.7,3.1,6.2,1.4,0.2,0.491,0.415,0.878,8.6
6,Mark Alarie,0.46299999999999997,12.2,5.2,2.5,0.6,0.2,0.2,0.48,0.222,0.7140000000000001,0.9
7,Steve Alford,0.6459999999999999,7.0,2.1,0.8,0.8,0.6,0.1,0.382,0.125,0.941,0.3
8,Greg Anderson,0.37799999999999995,24.2,11.7,6.3,1.0,0.7,1.5,0.501,0.2,0.604,2.3
9,Richard Anderson,0.561,4.4,2.7,1.4,0.3,0.1,0.0,0.423,0.4,0.8,2.3
10,Richard Anderson,0.6459999999999999,20.9,6.7,4.6,1.7,0.8,0.3,0.387,0.311,0.75,0.3
11,Ron Anderson,0.46299999999999997,14.8,7.3,2.9,1.1,0.6,0.1,0.498,0.0,0.7659999999999999,2.0
12,Joe Arlauckas,0.293,9.4,3.8,1.4,0.9,0.3,0.4,0.326,0.0,0.75,2.5
13,Vincent Askew,0.439,16.7,3.7,1.6,2.4,0.7,0.4,0.297,0.0,0.727,-0.1
14,John Bagley,0.23199999999999998,33.8,12.0,3.1,5.8,1.3,0.1,0.439,0.292,0.8220000000000001,-0.2
15,James Bailey,0.341,13.4,4.4,3.2,0.6,0.3,0.4,0.452,0.0,0.787,2.6
16,Thurl Bailey,0.573,34.2,19.6,6.5,1.9,0.6,1.5,0.49200000000000005,0.33299999999999996,0.826,0.4
17,Charles Barkley*,0.439,39.6,28.3,11.9,3.2,1.3,1.3,0.5870000000000001,0.28,0.7509999999999999,6.8
18,John Battle,0.61,18.3,10.6,1.7,2.4,0.5,0.1,0.45399999999999996,0.39,0.75,16.7
19,William Bedford,0.659,7.8,2.7,1.7,0.1,0.2,0.4,0.436,0.0,0.565,2.3
20,Benoit Benjamin,0.207,32.9,13.0,8.0,2.6,0.8,3.4,0.491,0.0,0.706,0.2
21,Kent Benson,0.512,6.0,2.5,0.5,0.0,0.5,0.5,1.0,0.0,0.5,2.0
22,Walter Berry,0.37799999999999995,26.3,17.4,5.4,1.5,0.8,0.9,0.563,0.0,0.6,0.0
