,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Kareem Abdul-Jabbar*,0.659,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0.0,0.723,8.9
1,Alvan Adams,0.5,20.7,9.6,4.6,3.1,1.0,0.4,0.462,0.0,0.825,3.3
2,Mark Aguirre,0.524,36.7,29.5,5.9,4.5,1.0,0.3,0.524,0.268,0.7490000000000001,9.0
3,Danny Ainge,0.7559999999999999,16.3,5.4,1.6,2.3,0.6,0.1,0.46,0.273,0.821,1.8
4,J.J. Anderson,0.5489999999999999,6.5,2.5,1.3,0.5,0.3,0.2,0.423,0.0,0.414,0.1
5,Richard Anderson,0.46299999999999997,17.7,8.5,5.2,2.5,0.6,0.4,0.426,0.158,0.773,1.3
6,Tiny Archibald*,0.61,22.6,7.4,1.7,3.5,0.7,0.0,0.48700000000000004,0.222,0.634,1.4
7,Ken Austin,0.598,4.0,1.7,0.4,0.1,0.1,0.1,0.462,0.0,0.0,0.0
8,John Bagley,0.341,22.5,8.9,2.1,4.4,1.0,0.1,0.423,0.11800000000000001,0.7929999999999999,0.9
9,James Bailey,0.354,16.1,8.8,4.0,1.1,0.5,0.5,0.491,0.0,0.7190000000000001,2.3
10,Thurl Bailey,0.5489999999999999,24.8,8.5,5.7,1.6,0.5,1.5,0.512,0.0,0.752,3.6
11,Greg Ballard,0.42700000000000005,32.9,14.5,6.0,3.5,1.1,0.4,0.48100000000000004,0.133,0.7979999999999999,5.6
12,Gene Banks,0.451,32.5,13.1,7.3,3.2,1.3,0.3,0.568,0.16699999999999998,0.741,6.2
13,Dave Batton,0.451,7.8,2.5,1.0,0.8,0.0,0.8,0.5,0.0,0.0,0.0
14,Kent Benson,0.598,21.1,7.1,5.0,1.6,0.9,0.6,0.55,0.0,0.8220000000000001,4.7
15,Larry Bird*,0.7559999999999999,38.3,24.2,10.1,6.6,1.8,0.9,0.49200000000000005,0.247,0.888,13.6
16,Otis Birdsong,0.5489999999999999,31.4,19.8,2.5,3.9,1.2,0.2,0.508,0.25,0.608,4.5
17,Rolando Blackman,0.524,37.3,22.4,4.6,3.6,0.7,0.5,0.546,0.091,0.812,9.8
18,Tom Boswell,0.5489999999999999,6.9,1.9,1.7,0.4,0.2,0.0,0.5379999999999999,1.0,0.762,0.6
19,Charles Bradley,0.512,4.9,1.4,0.4,0.6,0.0,0.1,0.429,0.0,0.7140000000000001,-0.1
20,Mike Bratz,0.451,17.4,6.8,1.7,3.1,1.0,0.1,0.409,0.294,0.8759999999999999,1.9
21,Randy Breuer,0.61,8.3,2.9,1.9,0.3,0.2,0.7,0.384,0.0,0.696,0.3
22,Ron Brewer,0.451,16.2,5.0,1.0,0.5,0.5,0.4,0.466,0.0,0.647,0.3
23,Ron Brewer,0.451,19.6,8.7,1.3,1.1,0.5,0.4,0.441,0.231,0.82,0.2
24,Junior Bridgeman,0.61,30.0,15.1,4.1,3.3,0.7,0.2,0.465,0.19399999999999998,0.807,0.2
25,Michael Brooks,0.366,29.9,11.3,7.3,1.9,1.1,0.3,0.479,0.0,0.6890000000000001,5.1
26,Fred Brown,0.512,15.9,8.5,0.9,2.7,0.7,0.0,0.51,0.265,0.895,2.4
27,Rickey Brown,0.488,11.5,3.5,2.7,0.4,0.3,0.3,0.46799999999999997,0.0,0.738,2.6
28,Wallace Bryant,0.32899999999999996,10.9,4.1,2.8,0.4,0.3,0.4,0.391,0.0,0.424,0.9
29,Quinn Buckner,0.7559999999999999,15.8,4.1,1.7,2.7,1.1,0.0,0.42700000000000005,0.0,0.649,0.0
30,Don Buse,0.46299999999999997,17.5,5.0,1.5,4.0,1.1,0.0,0.426,0.305,0.7879999999999999,1.3
31,Kenny Carr,0.585,29.9,15.6,7.8,1.9,0.8,0.4,0.561,0.0,0.6729999999999999,2.2
32,M.L. Carr,0.7559999999999999,9.8,3.1,1.3,0.8,0.3,0.1,0.409,0.2,0.875,6.7
33,Joe Barry Carroll,0.451,37.0,20.5,8.0,2.5,1.3,1.8,0.47700000000000004,0.0,0.723,0.4
34,Butch Carter,0.317,28.0,13.4,2.1,2.8,1.8,0.2,0.479,0.326,0.764,4.7
35,Howard Carter,0.46299999999999997,12.5,6.2,1.6,1.3,0.3,0.1,0.45899999999999996,0.263,0.77,2.6
36,Bill Cartwright,0.573,32.3,17.0,8.4,1.4,0.6,1.3,0.561,0.0,0.805,0.4
37,Harvey Catchings,0.61,16.8,2.1,3.9,0.6,0.4,1.2,0.39899999999999997,0.0,0.524,9.8
38,Tom Chambers,0.512,31.3,18.1,6.5,1.6,0.6,0.6,0.499,0.0,0.8,1.3
39,Maurice Cheeks*,0.634,33.3,12.7,2.7,6.4,2.3,0.3,0.55,0.4,0.733,6.1
40,Carlos Clark,0.7559999999999999,4.1,1.7,0.5,0.5,0.3,0.0,0.365,0.0,0.889,7.3
41,Don Collins,0.451,15.7,7.2,2.1,1.1,0.7,0.2,0.483,0.2,0.73,0.1
42,Leroy Combs,0.317,9.3,4.5,1.2,0.8,0.5,0.4,0.49700000000000005,0.0,0.615,0.9
43,Lester Conner,0.451,31.4,11.1,3.7,4.9,2.0,0.1,0.493,0.16699999999999998,0.718,0.4
44,Darwin Cook,0.5489999999999999,22.8,8.7,1.9,4.3,2.0,0.4,0.44299999999999995,0.239,0.754,5.9
45,Jeff Cook,0.341,24.1,5.8,6.0,1.5,0.8,0.6,0.486,0.5,0.723,3.6
46,Michael Cooper,0.659,29.1,9.0,3.2,5.9,1.4,0.8,0.49700000000000005,0.314,0.838,3.7
47,Wayne Cooper,0.585,20.5,9.8,5.9,0.9,0.3,1.3,0.45899999999999996,0.0,0.804,6.5
48,Dave Corzine,0.32899999999999996,32.6,12.2,7.0,2.5,0.7,1.5,0.467,0.33299999999999996,0.84,4.1
49,Charlie Criss,0.61,17.8,5.0,1.5,2.8,0.8,0.0,0.36700000000000005,0.16699999999999998,0.636,4.7
50,Charlie Criss,0.488,12.0,2.6,1.2,2.3,0.3,0.0,0.409,0.0,1.0,0.3
51,Geoff Crompton,0.341,3.3,0.7,1.3,0.1,0.1,0.1,0.125,0.0,0.5,0.2
52,Russell Cross,0.451,7.9,3.7,1.8,0.5,0.3,0.2,0.5710000000000001,0.0,0.418,0.1
53,Pat Cummings,0.524,31.2,13.1,8.2,2.0,0.8,0.3,0.494,0.0,0.742,-0.1
54,Terry Cummings,0.366,35.9,22.9,9.6,1.7,1.1,0.7,0.494,0.0,0.72,0.8
55,Earl Cureton,0.598,12.4,2.6,3.9,0.5,0.3,0.4,0.45799999999999996,0.0,0.525,4.2
56,Quintin Dailey,0.32899999999999996,29.9,18.2,2.9,3.1,1.3,0.1,0.474,0.125,0.8109999999999999,7.5
57,Adrian Dantley*,0.5489999999999999,37.8,30.6,5.7,3.9,0.8,0.1,0.5579999999999999,0.25,0.8590000000000001,1.0
58,Brad Davis,0.524,32.9,11.1,2.3,6.9,1.2,0.2,0.53,0.184,0.836,3.7
59,Charles Davis,0.42700000000000005,10.2,5.0,2.2,0.7,0.3,0.2,0.47200000000000003,0.111,0.615,14.6
60,Johnny Davis,0.488,27.7,12.3,1.9,4.3,0.8,0.1,0.44299999999999995,0.0,0.848,6.2
61,Walter Davis,0.5,32.6,20.0,2.6,5.5,1.4,0.2,0.512,0.23,0.863,0.3
62,Darryl Dawkins,0.5489999999999999,29.8,16.8,6.7,1.5,0.7,1.7,0.593,0.4,0.735,3.3
63,Darren Daye,0.42700000000000005,15.7,6.1,2.5,2.3,0.5,0.2,0.441,0.0,0.7140000000000001,6.2
64,Kenny Dennard,0.46299999999999997,9.6,2.1,2.3,1.0,0.5,0.2,0.364,0.3,0.625,7.9
65,James Donaldson,0.366,30.8,11.8,7.9,1.1,0.5,1.7,0.596,0.0,0.7609999999999999,1.3
66,John Drew,0.5489999999999999,22.2,17.7,4.2,1.7,1.1,0.0,0.479,0.273,0.778,0.1
67,Larry Drew,0.46299999999999997,32.4,16.4,2.0,7.6,1.7,0.1,0.462,0.3,0.7759999999999999,5.8
68,Clyde Drexler*,0.585,17.2,7.7,2.9,1.9,1.3,0.4,0.451,0.25,0.728,4.5
69,Mike Dunleavy,0.61,23.8,11.2,1.6,4.6,0.7,0.1,0.551,0.42200000000000004,0.8,4.6
70,T.R. Dunn,0.46299999999999997,33.8,5.7,7.2,2.9,2.2,0.4,0.47,0.0,0.731,2.4
71,Mark Eaton,0.5489999999999999,26.1,5.6,7.3,1.4,0.3,4.3,0.466,0.0,0.593,1.4
72,Jerry Eaves,0.5489999999999999,12.9,4.5,1.1,2.5,0.4,0.1,0.451,0.0,0.6970000000000001,4.1
73,Keith Edmonson,0.451,13.0,8.7,1.8,0.7,0.6,0.2,0.493,0.0,0.752,3.7
74,Keith Edmonson,0.46299999999999997,6.7,4.3,1.2,0.5,0.3,0.1,0.489,0.0,0.72,0.7
75,Franklin Edwards,0.634,10.9,3.4,1.0,1.5,0.5,0.1,0.38,0.0,0.708,0.7
76,James Edwards,0.5,26.3,14.7,4.8,2.6,0.3,0.4,0.536,0.0,0.72,0.8
77,Craig Ehlo,0.354,9.0,3.3,1.3,0.9,0.4,0.0,0.40700000000000003,0.0,1.0,0.0
78,Dale Ellis,0.524,15.8,8.2,3.7,0.8,0.6,0.1,0.456,0.414,0.7190000000000001,0.1
79,Len Elmore,0.573,12.8,2.4,2.5,0.5,0.4,0.5,0.408,0.0,0.711,4.4
80,Chris Engler,0.451,7.8,1.7,2.1,0.2,0.2,0.1,0.39799999999999996,0.0,0.609,0.0
81,Alex English*,0.46299999999999997,35.0,26.4,5.7,5.0,1.0,1.2,0.529,0.14300000000000002,0.8240000000000001,1.5
82,Julius Erving*,0.634,34.8,22.4,6.9,4.0,1.8,1.8,0.512,0.33299999999999996,0.754,0.9
83,Mike Evans,0.46299999999999997,21.6,8.1,1.8,3.7,0.8,0.1,0.431,0.36,0.847,0.0
84,Eric Fernsten,0.573,12.6,2.6,2.7,0.3,0.5,0.3,0.5579999999999999,0.0,0.735,8.2
85,Sleepy Floyd,0.451,33.2,16.8,3.5,3.5,1.3,0.4,0.46299999999999997,0.17800000000000002,0.816,10.1
86,Phil Ford,0.354,24.9,7.1,1.7,5.1,0.7,0.1,0.502,0.133,0.838,0.9
87,Rod Foster,0.5,17.8,8.3,1.5,2.2,0.7,0.1,0.44799999999999995,0.262,0.787,1.0
88,World B. Free,0.341,31.7,22.3,2.9,3.0,1.3,0.1,0.445,0.319,0.784,4.4
89,Bill Garnett,0.524,19.1,5.1,4.1,1.6,0.6,0.8,0.47200000000000003,0.0,0.733,2.9
90,Calvin Garrett,0.659,11.7,4.6,1.7,0.8,0.3,0.0,0.513,0.33299999999999996,0.769,1.6
91,John Garris,0.341,8.1,4.0,2.3,0.3,0.2,0.2,0.51,0.0,0.794,5.3
92,George Gervin*,0.451,34.0,25.9,4.1,2.9,1.0,0.6,0.49,0.41700000000000004,0.8420000000000001,3.5
93,Mike Gibson,0.42700000000000005,7.2,1.7,2.1,0.3,0.2,0.2,0.382,0.0,0.647,0.6
94,Artis Gilmore*,0.451,31.8,15.3,10.3,1.1,0.6,2.1,0.631,0.0,0.718,0.9
