,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Kareem Abdul-Jabbar*,0.732,38.3,24.8,10.8,4.5,1.0,3.4,0.604,0.0,0.765,14.8
1,Tom Abernethy,0.293,18.2,5.4,2.9,1.3,0.5,0.2,0.48100000000000004,0.0,0.6829999999999999,2.0
2,Alvan Adams,0.6709999999999999,28.9,14.9,8.1,4.3,1.4,0.7,0.531,0.0,0.797,7.0
3,Tiny Archibald*,0.7440000000000001,35.8,14.1,2.5,8.4,1.3,0.1,0.48200000000000004,0.222,0.83,8.9
4,Dennis Awtrey,0.366,21.5,3.3,4.4,1.5,0.5,0.6,0.45,0.0,0.64,0.6
5,Gus Bailey,0.47600000000000003,9.0,1.9,1.4,1.3,0.4,0.2,0.457,1.0,0.385,0.2
6,James Bailey,0.6829999999999999,10.8,4.7,2.9,0.4,0.3,0.8,0.45,0.0,0.6729999999999999,1.0
7,Greg Ballard,0.47600000000000003,29.7,15.6,7.8,1.9,1.1,0.4,0.495,0.34,0.753,6.9
8,Mike Bantom,0.451,30.3,11.8,5.9,3.6,1.1,0.6,0.505,0.33299999999999996,0.665,3.9
9,Marvin Barnes,0.42700000000000005,14.4,3.2,3.9,0.9,0.3,0.6,0.4,0.0,0.5,0.1
10,Rick Barry*,0.5,25.2,12.0,3.3,3.7,1.1,0.4,0.42200000000000004,0.33,0.935,3.4
11,Tim Bassett,0.415,13.1,3.4,2.6,0.6,0.7,0.0,0.364,0.0,0.667,0.1
12,Tim Bassett,0.5,14.4,2.0,3.0,2.0,0.6,0.0,0.33299999999999996,0.0,0.667,0.1
13,Billy Ray Bates,0.46299999999999997,14.7,11.3,1.8,1.9,0.9,0.1,0.493,0.42100000000000004,0.718,0.0
14,Ron Behagen,0.47600000000000003,10.7,3.8,2.3,1.2,0.0,0.7,0.391,0.0,0.833,0.9
15,Kent Benson,0.598,24.8,8.8,5.9,2.3,1.0,1.3,0.494,0.0,0.68,0.1
16,Kent Benson,0.195,29.5,12.1,7.1,3.0,1.1,1.1,0.46,0.25,0.75,3.2
17,Del Beshore,0.366,12.8,3.6,0.9,2.0,0.9,0.1,0.35200000000000004,0.385,0.667,2.9
18,Henry Bibby,0.72,24.8,9.0,2.5,3.7,0.8,0.1,0.401,0.212,0.79,0.3
19,Larry Bird*,0.7440000000000001,36.0,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,-0.9
20,Otis Birdsong,0.573,35.2,22.7,4.0,2.5,1.7,0.3,0.505,0.278,0.6940000000000001,3.4
21,Ron Boone,0.732,17.7,5.7,1.8,1.2,0.8,0.0,0.35,0.0,0.857,11.2
22,Ron Boone,0.293,30.5,12.9,2.9,4.0,1.2,0.0,0.447,0.38,0.894,8.6
23,Lawrence Boston,0.47600000000000003,9.6,4.3,3.0,0.2,0.3,0.2,0.462,0.0,0.615,1.0
24,Tom Boswell,0.366,29.0,11.3,6.3,2.6,0.3,0.4,0.5329999999999999,0.5,0.8290000000000001,-0.2
25,Tom Boswell,0.293,25.5,11.5,5.4,1.9,0.4,0.5,0.573,0.5,0.7290000000000001,1.2
26,Winford Boynes,0.415,17.2,8.5,2.1,1.5,0.9,0.3,0.473,0.0,0.765,0.2
27,Alonzo Bradley,0.5,4.4,1.9,0.3,0.1,0.1,0.0,0.354,1.0,0.667,3.7
28,Dudley Bradley,0.451,24.7,8.4,2.7,3.1,2.6,0.6,0.452,0.4,0.782,1.1
29,Mike Bratz,0.6709999999999999,19.4,8.5,2.0,2.7,1.1,0.1,0.392,0.244,0.87,2.6
30,Jim Brewer,0.46299999999999997,15.2,2.9,3.8,1.1,0.6,0.6,0.489,0.0,0.483,1.7
31,Ron Brewer,0.46299999999999997,34.3,15.7,2.6,2.6,1.2,0.6,0.46399999999999997,0.188,0.84,-0.2
32,Junior Bridgeman,0.598,28.6,17.6,3.7,2.9,1.2,0.2,0.478,0.185,0.865,3.1
33,Allan Bristow,0.293,28.1,11.6,6.2,4.2,1.1,0.1,0.48,0.28600000000000003,0.8109999999999999,1.5
34,Fred Brown,0.6829999999999999,21.3,12.0,1.9,2.2,0.8,0.2,0.479,0.44299999999999995,0.8370000000000001,2.0
35,John Brown,0.293,6.0,1.0,2.3,1.0,0.0,0.0,0.0,0.0,1.0,4.3
36,John Brown,0.61,12.9,3.9,2.2,0.5,0.1,0.1,0.37799999999999995,0.0,0.773,6.1
37,Roger Brown,0.366,9.3,0.5,2.5,0.3,0.0,0.8,0.33299999999999996,0.0,0.0,4.4
