,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Alaa Abdelnaby,0.768,6.7,3.1,2.1,0.3,0.1,0.3,0.474,0.0,0.568,0.5
1,Mahmoud Abdul-Rauf,0.244,22.5,14.1,1.8,3.1,0.8,0.1,0.413,0.24,0.857,-1.0
2,Mark Acres,0.37799999999999995,19.3,4.2,5.3,0.4,0.4,0.4,0.509,0.33299999999999996,0.653,2.5
3,Michael Adams,0.244,35.5,26.5,3.9,10.5,2.2,0.1,0.39399999999999996,0.29600000000000004,0.879,6.3
4,Mark Aguirre,0.61,25.7,14.2,4.8,1.8,0.6,0.3,0.462,0.308,0.757,5.5
5,Danny Ainge,0.768,21.4,11.1,2.6,3.6,0.8,0.2,0.47200000000000003,0.406,0.826,6.2
6,Mark Alarie,0.366,14.0,5.8,2.8,1.1,0.4,0.2,0.44,0.23800000000000002,0.8540000000000001,0.6
7,Steve Alford,0.341,6.9,4.4,0.7,0.6,0.2,0.0,0.504,0.304,0.8390000000000001,0.6
8,Greg Anderson,0.585,9.5,2.7,2.9,0.1,0.3,0.3,0.37,0.0,0.5710000000000001,-0.3
9,Greg Anderson,0.317,18.0,8.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,-0.1
10,Greg Anderson,0.244,16.1,5.2,5.8,0.3,0.6,0.9,0.44,0.0,0.506,0.1
11,Nick Anderson,0.37799999999999995,28.2,14.1,5.5,1.5,1.1,0.6,0.467,0.293,0.6679999999999999,-0.3
12,Ron Anderson,0.537,28.5,14.6,4.5,1.4,0.8,0.2,0.485,0.209,0.833,3.1
13,Willie Anderson,0.6709999999999999,34.6,14.4,4.7,4.8,1.1,0.6,0.457,0.2,0.7979999999999999,4.1
14,Michael Ansley,0.37799999999999995,13.1,5.7,3.8,0.4,0.4,0.1,0.5479999999999999,0.0,0.7170000000000001,4.8
15,B.J. Armstrong,0.7440000000000001,21.1,8.8,1.8,3.7,0.9,0.0,0.48100000000000004,0.5,0.8740000000000001,3.1
16,Vincent Askew,0.537,12.1,4.7,1.6,1.9,0.3,0.0,0.48,0.0,0.818,4.1
17,Keith Askins,0.293,6.8,2.2,1.7,0.5,0.4,0.3,0.42,0.24,0.48,0.2
18,Miloš Babić,0.402,4.3,1.6,0.8,0.3,0.1,0.1,0.316,0.0,0.583,0.6
19,Thurl Bailey,0.659,30.3,12.4,5.0,1.5,0.6,1.1,0.45799999999999996,0.0,0.8079999999999999,-0.1
20,Cedric Ball,0.37799999999999995,3.7,1.1,1.6,0.0,0.0,0.3,0.375,0.0,1.0,3.7
21,Ken Bannister,0.37799999999999995,7.2,2.4,2.0,0.2,0.1,0.1,0.531,0.0,0.385,0.0
22,Charles Barkley*,0.537,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,0.2
23,Dana Barros,0.5,11.4,6.3,1.1,1.7,0.3,0.0,0.495,0.395,0.9179999999999999,13.4
24,John Battle,0.524,23.6,13.6,2.0,2.7,0.6,0.1,0.461,0.28600000000000003,0.8540000000000001,2.5
25,Kenny Battle,0.6709999999999999,16.4,6.0,3.3,0.9,1.2,0.4,0.442,0.0,0.69,4.0
26,Kenny Battle,0.244,17.1,6.1,3.1,1.2,1.0,0.3,0.485,0.136,0.7809999999999999,1.3
27,William Bedford,0.61,9.4,4.5,2.2,0.5,0.0,0.6,0.43799999999999994,0.385,0.705,0.4
28,Benoit Benjamin,0.37799999999999995,34.3,14.9,12.0,1.9,0.7,2.3,0.49200000000000005,0.0,0.728,0.9
29,Benoit Benjamin,0.5,29.0,12.9,8.2,1.5,0.9,1.7,0.502,0.0,0.69,1.3
30,Winston Bennett,0.402,12.4,4.3,2.4,1.0,0.3,0.1,0.374,0.0,0.745,3.0
31,Larry Bird*,0.6829999999999999,38.0,19.4,8.5,7.2,1.8,1.0,0.45399999999999996,0.389,0.8909999999999999,1.9
32,Rolando Blackman,0.341,37.1,19.9,3.2,3.8,0.9,0.2,0.48200000000000004,0.35100000000000003,0.865,1.1
33,Lance Blanks,0.61,5.6,1.7,0.5,0.7,0.2,0.1,0.426,0.125,0.7140000000000001,0.2
34,Mookie Blaylock,0.317,35.9,14.1,3.5,6.1,2.3,0.6,0.41600000000000004,0.154,0.79,6.6
35,Muggsy Bogues,0.317,28.4,7.0,2.7,8.3,1.7,0.0,0.46,0.0,0.7959999999999999,5.5
36,Manute Bol,0.537,18.6,1.9,4.3,0.2,0.2,3.0,0.396,0.071,0.585,0.1
37,Anthony Bonner,0.305,22.1,7.4,4.7,1.4,1.1,0.1,0.44799999999999995,0.0,0.579,2.1
38,Sam Bowie,0.317,30.9,12.9,7.7,2.4,0.7,1.5,0.434,0.182,0.732,4.8
39,Randy Breuer,0.354,20.6,5.9,4.7,1.0,0.5,1.1,0.45299999999999996,0.0,0.44299999999999995,1.3
40,Frank Brickowski,0.585,25.5,12.6,5.7,1.7,1.1,0.6,0.527,0.0,0.7979999999999999,0.7
41,Scott Brooks,0.354,12.3,5.3,0.9,2.6,0.7,0.1,0.43,0.33299999999999996,0.847,2.6
42,Chucky Brown,0.402,20.1,8.5,2.9,1.1,0.4,0.3,0.524,0.0,0.701,1.0
43,Dee Brown,0.6829999999999999,23.7,8.7,2.2,4.2,1.0,0.2,0.46399999999999997,0.20600000000000002,0.873,4.7
44,Mike Brown,0.659,17.0,4.8,4.1,0.6,0.4,0.3,0.45399999999999996,0.0,0.742,2.6
45,Tony Brown,0.7070000000000001,3.9,0.7,0.6,0.4,0.0,0.0,0.667,1.0,0.0,1.6
46,Tony Brown,0.659,11.6,3.4,1.7,0.6,0.2,0.0,0.364,0.182,0.87,3.5
47,Mark Bryant,0.768,14.7,5.1,3.6,0.5,0.3,0.2,0.488,0.0,0.733,2.4
48,Jud Buechler,0.317,11.6,3.1,1.9,0.7,0.4,0.2,0.41600000000000004,0.25,0.652,0.2
49,Matt Bullard,0.634,3.5,2.2,0.8,0.1,0.2,0.0,0.452,0.0,0.647,0.0
50,Willie Burton,0.293,25.4,12.0,3.4,1.4,0.9,0.3,0.441,0.133,0.782,0.2
51,Greg Butler,0.37799999999999995,4.1,1.6,1.8,0.1,0.0,0.0,0.263,0.0,0.667,2.1
52,Michael Cage,0.5,26.1,6.4,6.8,1.1,1.0,0.7,0.508,0.0,0.625,1.2
53,Adrian Caldwell,0.634,8.2,1.8,2.4,0.2,0.5,0.2,0.42200000000000004,0.0,0.41200000000000003,0.2
54,Rick Calloway,0.305,10.6,3.2,1.2,1.0,0.3,0.1,0.391,0.0,0.696,2.1
55,Elden Campbell,0.7070000000000001,7.3,2.8,1.8,0.2,0.2,0.7,0.455,0.0,0.653,-0.1
56,Tony Campbell,0.354,37.6,21.8,4.5,2.8,1.6,0.6,0.434,0.262,0.8029999999999999,4.3
57,Antoine Carr,0.305,32.8,20.1,5.5,2.5,0.6,1.3,0.511,0.0,0.758,0.1
58,Joe Barry Carroll,0.6709999999999999,8.7,3.4,2.2,1.0,0.1,0.7,0.361,0.0,0.917,-0.3
59,Bill Cartwright,0.7440000000000001,28.8,9.6,6.2,1.6,0.4,0.2,0.49,0.0,0.6970000000000001,1.1
60,Terry Catledge,0.37799999999999995,28.6,14.6,7.0,1.1,0.7,0.2,0.462,0.0,0.624,3.7
61,Duane Causwell,0.305,22.6,6.9,5.1,0.9,0.6,1.9,0.508,0.0,0.636,5.4
62,Cedric Ceballos,0.6709999999999999,11.6,8.2,2.4,0.6,0.3,0.1,0.48700000000000004,0.16699999999999998,0.6629999999999999,0.0
63,Tom Chambers,0.6709999999999999,32.6,19.9,6.4,2.6,0.9,0.7,0.43700000000000006,0.27399999999999997,0.826,4.2
64,Rex Chapman,0.317,30.0,15.7,2.7,3.6,1.0,0.2,0.445,0.324,0.83,1.6
65,Maurice Cheeks*,0.47600000000000003,28.3,7.8,2.3,5.7,1.7,0.1,0.499,0.25,0.8140000000000001,2.8
66,Derrick Chievous,0.402,6.1,2.4,1.0,0.1,0.2,0.1,0.37,0.0,0.563,1.3
67,Richard Coffey,0.354,6.2,1.3,1.5,0.1,0.1,0.1,0.373,0.0,0.545,5.4
68,Derrick Coleman,0.317,35.2,18.4,10.3,2.2,1.0,1.3,0.467,0.342,0.731,3.0
69,Bimbo Coles,0.293,16.5,4.9,1.9,2.8,0.8,0.1,0.41200000000000003,0.17600000000000002,0.747,5.2
70,Steve Colter,0.305,13.2,3.1,1.4,1.9,0.6,0.1,0.41100000000000003,0.35700000000000004,0.7,-0.1
71,Lester Conner,0.317,14.0,4.1,1.6,1.7,1.1,0.0,0.523,0.0,0.69,0.2
72,Lester Conner,0.585,13.3,2.9,1.4,2.7,1.2,0.0,0.396,0.0,0.75,5.8
73,Anthony Cook,0.244,19.3,5.3,5.6,0.4,0.6,1.2,0.41700000000000004,0.0,0.55,1.1
74,Wayne Cooper,0.768,11.1,2.2,2.8,0.3,0.1,0.9,0.39299999999999996,0.0,0.7859999999999999,0.3
75,Tyrone Corbin,0.354,39.0,18.0,7.2,4.2,2.0,0.6,0.44799999999999995,0.2,0.7979999999999999,2.1
76,Dave Corzine,0.5,5.3,1.7,1.2,0.1,0.2,0.2,0.447,0.0,0.591,1.0
77,Pat Cummings,0.659,6.5,3.8,1.3,0.0,0.0,0.0,0.667,0.0,0.7,1.1
78,Terry Cummings,0.6709999999999999,32.8,17.6,7.8,2.3,0.9,0.4,0.484,0.212,0.6829999999999999,0.5
79,Earl Cureton,0.317,17.7,1.9,4.0,0.3,0.0,0.3,0.33299999999999996,0.0,0.33299999999999996,1.4
80,Dell Curry,0.317,19.9,10.6,2.6,2.2,1.0,0.3,0.47100000000000003,0.37200000000000005,0.8420000000000001,5.4
81,Quintin Dailey,0.5,10.0,6.1,1.1,0.5,0.2,0.0,0.47100000000000003,0.0,0.613,0.4
82,Adrian Dantley*,0.585,12.6,5.7,1.3,0.9,0.5,0.0,0.38,0.33299999999999996,0.6920000000000001,0.1
83,Brad Daugherty,0.402,38.8,21.6,10.9,3.3,1.0,0.6,0.524,0.0,0.7509999999999999,5.6
84,Brad Davis,0.341,17.8,5.4,1.5,2.9,0.6,0.2,0.426,0.259,0.7709999999999999,-0.1
85,Terry Davis,0.293,18.1,5.5,4.8,0.7,0.3,0.5,0.48700000000000004,0.5,0.556,2.7
86,Walter Davis,0.244,26.8,18.7,3.2,2.2,1.6,0.1,0.474,0.303,0.915,0.3
87,Walter Davis,0.768,13.7,6.1,1.8,1.3,0.6,0.0,0.446,0.33299999999999996,0.9129999999999999,0.1
