,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Shareef Abdur-Rahim,0.402,25.2,9.9,5.0,1.4,0.7,0.5,0.474,0.15,0.726,2.8
1,Hassan Adams,0.5,8.1,2.9,1.3,0.2,0.3,0.1,0.556,0.0,0.667,1.0
2,Maurice Ager,0.8170000000000001,6.7,2.2,0.7,0.2,0.1,0.1,0.314,0.33299999999999996,0.606,-0.3
3,LaMarcus Aldridge,0.39,22.1,9.0,5.0,0.4,0.3,1.2,0.503,0.0,0.722,3.4
4,Malik Allen,0.598,10.6,4.0,2.0,0.3,0.3,0.3,0.415,0.0,0.8240000000000001,1.0
5,Ray Allen*,0.37799999999999995,40.3,26.4,4.5,4.1,1.5,0.2,0.43799999999999994,0.37200000000000005,0.903,6.3
6,Tony Allen,0.293,24.4,11.5,3.8,1.7,1.5,0.4,0.514,0.242,0.784,1.9
7,Rafer Alston,0.634,37.1,13.3,3.4,5.4,1.6,0.1,0.375,0.363,0.7340000000000001,6.6
8,Lou Amundson,0.622,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
9,Lou Amundson,0.42700000000000005,8.7,1.6,2.8,0.1,0.1,0.8,0.4,0.0,0.4,0.0
10,Alan Anderson,0.402,15.1,5.8,1.9,1.2,0.4,0.0,0.457,0.25,0.826,0.1
11,Derek Anderson,0.402,23.8,8.0,2.3,2.7,1.0,0.1,0.429,0.355,0.877,0.1
12,Carmelo Anthony,0.5489999999999999,38.2,28.9,6.0,3.8,1.2,0.4,0.47600000000000003,0.268,0.8079999999999999,2.9
13,Rafael Araújo,0.622,8.9,2.6,2.4,0.4,0.2,0.1,0.415,0.0,0.621,7.3
14,Gilbert Arenas,0.5,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.35100000000000003,0.8440000000000001,0.1
15,Trevor Ariza,0.488,22.4,8.9,4.4,1.1,1.0,0.3,0.539,0.0,0.62,10.8
16,Darrell Armstrong,0.42700000000000005,15.7,5.6,1.7,2.4,0.9,0.1,0.414,0.336,0.785,3.4
17,Hilton Armstrong,0.47600000000000003,11.3,3.1,2.7,0.2,0.2,0.5,0.544,0.0,0.597,3.2
18,Carlos Arroyo,0.488,18.1,7.7,1.9,2.8,0.5,0.0,0.425,0.275,0.795,1.2
19,Chucky Atkins,0.268,27.5,13.2,1.9,4.6,0.7,0.1,0.434,0.379,0.81,2.5
20,James Augustine,0.488,3.5,1.0,1.5,1.0,0.0,0.0,0.33299999999999996,0.0,0.0,4.9
21,Kelenna Azubuike,0.512,16.3,7.1,2.3,0.7,0.5,0.2,0.445,0.43,0.782,0.0
22,Renaldo Balkman,0.402,15.6,4.9,4.3,0.6,0.8,0.6,0.505,0.185,0.5670000000000001,1.2
23,Marcus Banks,0.7440000000000001,11.2,4.9,0.8,1.3,0.5,0.1,0.429,0.172,0.8,2.8
24,Leandro Barbosa,0.7440000000000001,32.7,18.1,2.7,4.0,1.2,0.2,0.47600000000000003,0.434,0.845,0.4
25,J.J. Barea,0.8170000000000001,5.8,2.4,0.8,0.7,0.0,0.0,0.359,0.28600000000000003,0.667,8.2
26,Andrea Bargnani,0.573,25.1,11.6,3.9,0.8,0.5,0.8,0.42700000000000005,0.373,0.8240000000000001,0.1
27,Matt Barnes,0.512,23.9,9.8,4.6,2.1,1.0,0.5,0.43799999999999994,0.366,0.732,1.9
28,Andre Barrett,0.598,4.8,1.3,0.8,1.2,0.0,0.0,0.5,0.0,0.0,3.7
29,Earl Barron,0.537,7.3,2.3,1.5,0.2,0.2,0.1,0.289,0.0,0.9440000000000001,0.0
30,Brent Barry,0.7070000000000001,21.7,8.5,2.1,1.8,0.7,0.2,0.475,0.446,0.88,-0.3
31,Brandon Bass,0.47600000000000003,7.7,2.0,2.0,0.1,0.1,0.1,0.341,0.0,0.75,6.8
32,Maceo Baston,0.42700000000000005,8.6,2.9,1.6,0.3,0.3,0.4,0.645,0.429,0.787,0.0
33,Esteban Batista,0.366,6.2,1.5,2.3,0.3,0.2,0.0,0.5,0.0,0.5710000000000001,1.1
34,Tony Battie,0.488,23.9,6.1,5.2,0.5,0.4,0.5,0.489,0.0,0.675,0.2
35,Shane Battier,0.634,36.4,10.1,4.1,2.1,1.0,0.7,0.446,0.42100000000000004,0.779,2.7
